,count,mean,std,min,25%,50%,75%,max,missing_pct
dow_0,360.0,0.11944444444444445,0.32476213231753825,0.0,0.0,0.0,0.0,1.0,0.0
dow_1,360.0,0.23333333333333334,0.42354124548800026,0.0,0.0,0.0,0.0,1.0,0.0
week_of_month,360.0,2.772222222222222,1.2548759743199367,1.0,2.0,3.0,4.0,5.0,0.0
quarter_4,360.0,0.20833333333333334,0.4066816594645581,0.0,0.0,0.0,0.0,1.0,0.0
month_10,360.0,0.06388888888888888,0.24489526813580523,0.0,0.0,0.0,0.0,1.0,0.0
month_7,360.0,0.10833333333333334,0.3112335060121644,0.0,0.0,0.0,0.0,1.0,0.0
month_2,360.0,0.06388888888888888,0.24489526813580528,0.0,0.0,0.0,0.0,1.0,0.0
month_4,360.0,0.08055555555555556,0.2725301286090962,0.0,0.0,0.0,0.0,1.0,0.0
is_quarter_end,360.0,0.08888888888888889,0.2849793793818365,0.0,0.0,0.0,0.0,1.0,0.0
dow_3,360.0,0.225,0.41816351375267463,0.0,0.0,0.0,0.0,1.0,0.0
regime_duration,360.0,2.6305555555555555,3.194643797690044,1.0,1.0,1.0,3.0,19.0,0.0
frac_diff_0.4,360.0,-33.988104612505104,555.5243047347064,-1441.3954416429722,-109.90409008610146,-49.3095357506714,-27.17434763147383,1434.2668722543385,0.0
is_month_end,360.0,0.2222222222222222,0.4163183316468817,0.0,0.0,0.0,0.0,1.0,0.0
dow_4,360.0,0.18055555555555555,0.38518486278744374,0.0,0.0,0.0,0.0,1.0,0.0
regime_transition,360.0,0.5722222222222222,0.4954450525153121,0.0,0.0,1.0,1.0,1.0,0.0
days_to_fomc,360.0,868.5666666666667,253.33035452483165,447.0,648.25,886.0,1078.25,1343.0,0.0
month_12,360.0,0.08888888888888889,0.2849793793818365,0.0,0.0,0.0,0.0,1.0,0.0
quarter_2,360.0,0.24444444444444444,0.4303554561429453,0.0,0.0,0.0,0.0,1.0,0.0
month_9,360.0,0.10277777777777777,0.3040910572386847,0.0,0.0,0.0,0.0,1.0,0.0
month_11,360.0,0.05555555555555555,0.22938022884305354,0.0,0.0,0.0,0.0,1.0,0.0
month_8,360.0,0.12222222222222222,0.32799815808225874,0.0,0.0,0.0,0.0,1.0,0.0
month_6,360.0,0.06111111111111111,0.23986739346984093,0.0,0.0,0.0,0.0,1.0,0.0
days_to_expiry,360.0,13.941666666666666,9.337344525373117,0.0,7.0,14.0,22.25,32.0,0.0
seasonal_ramadan,360.0,0.17777777777777778,0.3828576839898007,0.0,0.0,0.0,0.0,1.0,0.0
seasonal_q4,360.0,0.20833333333333334,0.4066816594645581,0.0,0.0,0.0,0.0,1.0,0.0
month_1,360.0,0.05277777777777778,0.22390073296767082,0.0,0.0,0.0,0.0,1.0,0.0
month_3,360.0,0.09722222222222222,0.2966724567262795,0.0,0.0,0.0,0.0,1.0,0.0
month_5,360.0,0.10277777777777777,0.3040910572386847,0.0,0.0,0.0,0.0,1.0,0.0
quarter_1,360.0,0.21388888888888888,0.41062000663428977,0.0,0.0,0.0,0.0,1.0,0.0
dow_2,360.0,0.24166666666666667,0.4286891335910591,0.0,0.0,0.0,0.0,1.0,0.0
quarter_3,360.0,0.3333333333333333,0.47206061647498304,0.0,0.0,0.0,1.0,1.0,0.0
rolling_mean_5,360.0,1151.391778700087,572.7241104986811,152.98799743652344,683.3720062255859,1211.1020141601562,1617.6805038452148,2434.77998046875,0.0
zscore_5,360.0,-0.01142508352013187,0.9552890150166152,-1.7888230272426708,-0.7312220513011634,0.3299864087297957,0.7361272203008238,1.7888541259287813,0.0
drawdown_5,360.0,-0.3614870456246782,0.44145882095249483,-0.9112864099460201,-0.9073153977144586,-0.013273409406574978,-0.000846360949491528,0.0,0.0
