fold,entry_bar,exit_bar,direction,confidence,realized_return,source
1,15078,15097,1,0.786691,-0.0019527,model
1,15098,15117,1,0.72837,0.00227431,model
1,15118,15137,1,0.693871,0.00029914,model
1,15138,15157,1,0.730798,-0.00208873,model
1,15158,15177,1,0.915417,-0.00050169,model
1,15179,15198,1,0.750668,-0.0013615,model
1,15199,15218,1,0.797928,-0.00048693,model
1,15222,15241,1,0.691862,-0.00398172,model
1,15250,15269,1,0.684768,-0.00150338,model
1,15270,15289,1,0.691197,-0.00112617,model
1,15326,15345,1,0.733522,0.0005513,model
1,15346,15365,1,0.80105,0.00066976,model
1,15366,15385,1,0.71906,0.00070822,model
1,15393,15412,1,0.7577,-0.00063487,model
1,15417,15436,1,0.700332,-0.00224165,model
1,15437,15456,1,0.971995,0.00063336,model
1,15457,15476,1,0.76199,-0.00238835,model
1,15477,15496,1,0.954879,-0.00037624,model
1,15497,15516,1,0.899524,0.00431948,model
1,15519,15538,1,0.691359,0.0015276,model
1,15569,15588,1,0.688305,-0.00372258,model
1,15589,15608,1,0.808227,-0.0005191,model
1,15609,15628,1,0.711223,0.00069638,model
1,15629,15648,1,0.745371,0.00080567,model
1,15651,15670,-1,0.310144,-0.00208735,model
1,15671,15690,-1,0.17491,-0.00059151,model
1,15691,15710,-1,0.310658,0.00042756,model
1,15728,15747,-1,0.285147,0.00246175,model
1,15748,15767,1,0.820644,0.00059486,model
1,15769,15788,1,0.681347,0.00738328,model
1,15798,15817,-1,0.243439,-0.0064675,model
1,15818,15837,-1,0.163336,-0.00469792,model
1,15838,15857,-1,0.134635,0.00105231,model
1,15858,15877,-1,0.215497,0.00071378,model
1,15891,15910,-1,0.284051,0.00084193,model
1,15912,15931,-1,0.296187,-0.00104503,model
1,15938,15957,1,0.694177,0.00077172,model
1,15960,15979,-1,0.3105,0.00162465,model
1,16004,16023,-1,0.201496,0.00025767,model
1,16024,16043,-1,0.269507,0.00276944,model
1,16056,16075,1,0.692411,0.00249183,model
1,16123,16142,1,0.691535,0.01215189,model
1,16143,16162,-1,0.23683,-0.00035415,model
1,16163,16182,-1,0.275677,0.00061645,model
1,16190,16209,-1,0.286824,-0.00260163,model
1,16210,16229,-1,0.132723,0.00344201,model
1,16230,16249,1,0.75296,0.0010965,model
1,16250,16269,1,0.836309,0.00187298,model
1,16270,16289,-1,0.310323,-0.00172054,model
1,16296,16315,1,0.687136,-0.00091966,model
1,16323,16342,1,0.737259,-0.0016529,model
1,16343,16362,1,0.77327,-0.00069794,model
1,16363,16382,1,0.802657,-0.0016517,model
1,16383,16402,1,0.848768,0.00223179,model
1,16403,16422,-1,0.291487,0.00032538,model
1,16432,16451,-1,0.317495,0.00107119,model
1,16464,16483,-1,0.319708,0.00338991,model
1,16484,16503,1,0.883867,0.00268265,model
1,16504,16523,1,0.861538,0.00107072,model
1,16524,16543,1,0.855401,0.00032405,model
1,16544,16563,1,0.812958,-0.00160526,model
1,16564,16583,1,0.838965,-0.00063778,model
1,16594,16613,1,0.703491,-0.00061993,model
1,16614,16633,1,0.83631,0.00151666,model
1,16638,16657,1,0.733673,0.00148388,model
1,16672,16691,-1,0.253729,-0.00108417,model
1,16692,16711,-1,0.222276,0.0023445,model
1,16712,16731,-1,0.193801,-0.00103668,model
1,16734,16753,-1,0.316555,0.00074423,model
1,16775,16794,1,0.7488,0.00029645,model
1,16796,16815,1,0.819121,-0.00101475,model
1,16820,16839,1,0.684575,0.00332682,model
1,16842,16861,1,0.709042,0.00061007,model
1,16863,16882,1,0.685422,-0.00215083,model
1,16883,16902,1,0.821826,-0.00141071,model
1,16904,16923,1,0.69929,-0.00037204,model
1,16924,16943,1,0.844746,-0.00178615,model
1,16948,16967,-1,0.31988,-0.00020895,model
1,16968,16987,1,0.715784,0.00161722,model
1,16998,17017,1,0.69783,0.0006624,model
1,17027,17046,-1,0.259426,0.00071245,model
1,17053,17072,1,0.710778,-0.00022606,model
1,17073,17092,1,0.759685,0.00031193,model
1,17093,17112,1,0.873735,0.00084231,model
1,17113,17132,1,0.817425,-0.00057616,model
1,17136,17155,-1,0.300392,-0.00059084,model
1,17157,17176,1,0.694802,-0.00151014,model
1,17179,17198,-1,0.204277,-0.00710216,model
1,17223,17242,-1,0.307264,0.00077351,model
1,17295,17314,1,0.717793,0.00165679,model
1,17330,17349,-1,0.289201,-0.00027805,model
1,17361,17380,-1,0.210029,0.00245391,model
1,17381,17400,1,0.683579,-0.00042175,model
1,17410,17429,1,0.713321,-0.00155779,model
1,17432,17451,1,0.768089,-0.00190815,model
1,17452,17471,1,0.855245,-0.00049702,model
1,17472,17491,1,0.959809,0.00407557,model
1,17511,17530,1,0.697127,0.00075087,model
