trade_num,entry_bar,exit_bar,direction,return_net,cumulative_equity
1,16075,16146,1,0.00085765,0.00085765
2,16148,16219,1,-0.00469027,-0.00383261
3,16220,16291,1,0.00298558,-0.00084703
4,16292,16363,1,-0.00248018,-0.0033272
5,16364,16435,1,0.00204097,-0.00128623
6,16436,16507,-1,0.00022671,-0.00105953
7,16508,16579,1,0.00711057,0.00605105
8,16580,16651,-1,-0.00827806,-0.00222702
9,16652,16723,-1,0.00013772,-0.0020893
10,16724,16795,-1,-0.00142675,-0.00351605
11,16796,16867,-1,0.00359647,8.042e-05
12,16871,16942,1,0.01314929,0.01322971
13,16943,17014,-1,-0.00499273,0.00823699
14,17015,17086,-1,6.448e-05,0.00830147
15,17087,17158,-1,0.00623516,0.01453663
16,17159,17230,1,-0.00181054,0.01272609
17,17237,17308,1,-0.00316677,0.00955932
18,17309,17380,1,4.81e-06,0.00956413
19,17381,17452,1,-0.00137517,0.00818896
20,17453,17524,-1,-0.00120921,0.00697975
21,17525,17596,-1,0.0017846,0.00876435
22,17597,17668,-1,0.00636565,0.01513001
23,17669,17740,1,-0.00474321,0.0103868
24,17741,17812,-1,0.00012128,0.01050808
25,17813,17884,1,-0.00202139,0.00848668
26,17885,17956,1,-0.00043391,0.00805277
27,17957,18028,1,0.0013593,0.00941207
28,18029,18100,1,0.00651166,0.01592373
29,18101,18172,-1,-0.00217527,0.01374846
30,18173,18244,-1,0.00040291,0.01415137
31,18245,18316,1,-0.00650356,0.00764782
32,18317,18388,-1,0.00046084,0.00810866
33,18389,18460,1,-0.00177462,0.00633404
34,18461,18532,-1,0.00583796,0.012172
35,18533,18604,1,-0.00167638,0.01049563
36,18605,18676,1,0.00121854,0.01171416
37,18677,18748,1,-0.00131766,0.0103965
38,18749,18820,1,-0.0016103,0.0087862
39,18821,18892,1,0.00424159,0.0130278
40,18893,18964,-1,-0.00646374,0.00656406
41,18965,19036,-1,0.00183727,0.00840133
42,19037,19108,-1,-0.00529525,0.00310608
43,19109,19180,-1,0.00809484,0.01120092
44,19181,19252,1,0.00232053,0.01352145
45,19253,19324,1,0.0039744,0.01749585
46,19325,19396,-1,0.00026333,0.01775919
47,19397,19468,-1,1.416e-05,0.01777334
48,19469,19540,1,-0.00083496,0.01693838
49,19541,19612,-1,0.00918063,0.02611901
50,19613,19684,-1,0.00237126,0.02849028
51,19685,19756,1,0.00030042,0.0287907
52,19757,19828,-1,-0.00153837,0.02725233
53,19829,19900,-1,-0.00336129,0.02389104
54,19901,19972,-1,0.00043129,0.02432233
55,19973,20044,1,0.00051524,0.02483756
56,20045,20116,-1,0.00192389,0.02676145
57,20117,20188,-1,0.01054531,0.03730676
58,20189,20260,1,-0.00150997,0.03579679
59,20261,20332,-1,-0.00241415,0.03338264
60,20333,20404,1,0.00443162,0.03781426
61,20405,20476,-1,-0.0009949,0.03681935
62,20477,20548,1,-0.00237765,0.0344417
63,20549,20620,-1,1.284e-05,0.03445454
64,20621,20692,-1,0.01230616,0.0467607
65,20693,20764,1,0.00516517,0.05192587
66,20765,20836,-1,0.00036687,0.05229274
67,20837,20908,-1,-0.01659111,0.03570163
68,20909,20980,-1,-0.00068131,0.03502032
69,20981,21052,-1,0.00059641,0.03561673
70,21053,21124,-1,-0.0023975,0.03321923
71,21125,21196,-1,-0.008567,0.02465223
72,21197,21268,-1,0.00095438,0.02560661
73,21269,21340,-1,0.00243614,0.02804275
74,21341,21412,-1,0.00010152,0.02814427
75,21413,21484,-1,0.00242261,0.03056689
76,21485,21556,-1,0.00078832,0.0313552
77,21557,21628,-1,-0.00116937,0.03018583
78,21629,21700,-1,0.01987737,0.05006319
79,21701,21772,1,0.00319417,0.05325737
80,21773,21844,1,-0.0010825,0.05217487
81,21845,21916,-1,0.0008764,0.05305127
82,21917,21988,-1,0.00645415,0.05950541
83,21989,22060,-1,-0.00789257,0.05161285
84,22061,22132,-1,8.15e-05,0.05169435
85,22133,22204,-1,-0.0075675,0.04412685
86,22205,22276,-1,0.00032807,0.04445492
87,22277,22348,-1,0.00085534,0.04531026
88,22349,22420,-1,-0.00406412,0.04124614
89,22421,22492,-1,-0.00231965,0.03892649
90,22493,22564,-1,-0.00065306,0.03827342
91,22565,22636,1,0.00155883,0.03983225
92,22637,22708,-1,0.00015239,0.03998464
93,22709,22780,-1,-0.00231427,0.03767038
94,22781,22852,-1,0.00358026,0.04125064
95,22853,22924,-1,0.00313248,0.04438312
96,22925,22996,-1,0.00142258,0.0458057
97,22997,23068,1,-0.0005488,0.0452569
98,23069,23140,-1,-0.00273558,0.04252132
99,23141,23212,-1,0.00080289,0.04332421
100,23213,23284,1,0.0034446,0.0467688
101,23285,23356,-1,0.00271788,0.04948668
102,23357,23428,-1,-0.00396261,0.04552407
103,23429,23500,-1,0.00496145,0.05048553
104,23501,23572,-1,-0.00046177,0.05002376
105,23573,23644,-1,-0.01017597,0.03984779
106,23645,23716,-1,0.00040497,0.04025276
107,23717,23788,-1,0.00120617,0.04145893
108,23789,23860,-1,-0.0025515,0.03890744
109,23861,23932,-1,-0.01699183,0.02191561
110,23933,24004,-1,-0.00245633,0.01945928
111,24005,24076,-1,0.00095751,0.02041679
112,24077,24148,-1,-0.00264146,0.01777533
113,24149,24220,-1,-0.005469,0.01230633
114,24221,24292,-1,0.00106165,0.01336798
115,24293,24364,-1,0.00200239,0.01537036
116,24365,24436,-1,0.00312895,0.01849932
117,24437,24508,-1,-0.00918606,0.00931325
118,24509,24580,-1,0.0014252,0.01073845
119,24581,24652,-1,-0.00491009,0.00582836
120,24653,24724,-1,0.00135914,0.0071875
121,24725,24796,-1,0.0013816,0.0085691
122,24797,24868,1,-0.00295491,0.00561419
123,24869,24940,-1,-0.00047168,0.00514252
124,24941,25012,-1,0.01255271,0.01769522
125,25013,25084,1,0.00092847,0.01862369
126,25085,25156,-1,0.00138187,0.02000556
127,25157,25228,-1,-0.00150756,0.01849799
128,25229,25300,-1,0.00064296,0.01914096
129,25302,25373,-1,-0.00197502,0.01716594
130,25375,25446,1,-0.00232718,0.01483876
131,25447,25518,-1,0.00253769,0.01737645
132,25520,25591,1,0.00026548,0.01764194
133,25592,25663,-1,-0.00529791,0.01234403
134,25664,25735,-1,0.00453285,0.01687688
135,25736,25807,-1,0.00058954,0.01746642
136,25808,25879,-1,-0.00043246,0.01703395
137,25880,25951,-1,0.00042339,0.01745735
138,25952,26023,-1,-0.00079312,0.01666422
139,26024,26095,-1,0.00935061,0.02601484
140,26104,26175,-1,0.00598195,0.03199679
141,26176,26247,1,0.00060681,0.0326036
142,26248,26319,-1,-0.00186257,0.03074104
143,26320,26391,-1,0.00280756,0.03354859
144,26392,26463,-1,-0.00099736,0.03255124
145,26464,26535,-1,-0.00133553,0.03121571
146,26536,26607,-1,-0.00244951,0.0287662
147,26608,26679,-1,0.00076831,0.02953451
148,26680,26751,-1,-0.0015883,0.02794621
149,26752,26823,-1,0.00050714,0.02845335
150,26824,26895,-1,-0.00097841,0.02747494
151,26896,26967,-1,0.00135183,0.02882677
152,26968,27039,-1,-0.00069875,0.02812802
153,27040,27111,-1,0.00381077,0.03193879
154,27112,27183,-1,-0.00120337,0.03073542
155,27184,27255,-1,0.00164332,0.03237874
156,27256,27327,1,-0.001113,0.03126574
157,27328,27399,-1,-0.00453636,0.02672938
158,27400,27471,-1,-0.00088493,0.02584445
159,27472,27543,-1,0.00160903,0.02745348
160,27544,27615,-1,0.00040014,0.02785362
161,27616,27687,-1,0.00294865,0.03080227
162,27688,27759,1,-0.00590478,0.02489749
163,27760,27831,1,-0.00159211,0.02330538
164,27832,27903,1,0.00038975,0.02369513
165,27904,27975,-1,0.00200922,0.02570435
166,27976,28047,-1,0.00100667,0.02671102
167,28048,28119,-1,0.00053366,0.02724467
168,28120,28191,-1,-0.00072794,0.02651673
169,28192,28263,-1,-0.00470337,0.02181337
170,28264,28335,-1,0.0027908,0.02460417
171,28336,28407,-1,0.00011397,0.02471813
172,28408,28479,-1,-0.00588027,0.01883786
173,28480,28551,-1,-0.00291708,0.01592078
174,28552,28623,1,-0.00269004,0.01323074
175,28624,28695,-1,0.00077111,0.01400185
176,28697,28768,1,0.00086446,0.0148663
177,28769,28840,-1,0.00249971,0.01736601
178,28841,28912,-1,-0.001712,0.01565401
179,28913,28984,-1,0.00268559,0.01833961
180,28985,29056,-1,-0.00282995,0.01550966
181,29057,29128,-1,0.0021553,0.01766496
182,29129,29200,-1,-0.00202271,0.01564224
183,29201,29272,-1,-0.00334781,0.01229444
184,29273,29344,-1,-0.0016865,0.01060794
185,29345,29416,-1,-0.01109879,-0.00049085
186,29417,29488,-1,-0.0004059,-0.00089675
187,29489,29560,-1,-0.00104544,-0.00194219
188,29561,29632,-1,0.00173923,-0.00020295
189,29633,29704,-1,0.00571954,0.00551658
190,29705,29776,-1,0.0070431,0.01255968
191,29777,29848,-1,-0.00052634,0.01203334
192,29849,29920,-1,0.00424723,0.01628057
193,29921,29992,-1,6.649e-05,0.01634707
194,29993,30064,-1,0.00118161,0.01752868
195,30065,30136,-1,0.00204643,0.01957512
196,30137,30208,-1,-0.00139744,0.01817767
197,30211,30282,-1,-0.00201087,0.0161668
198,30283,30354,-1,0.00124251,0.01740931
199,30355,30426,-1,0.00121989,0.0186292
200,30427,30498,-1,-0.00246288,0.01616632
201,30499,30570,-1,0.00049291,0.01665923
202,30571,30642,-1,0.00408475,0.02074398
203,30643,30714,-1,-0.00353954,0.01720444
204,30715,30786,-1,-0.00753559,0.00966885
205,30787,30858,-1,0.0050063,0.01467515
206,30859,30930,-1,-0.0010762,0.01359895
207,30931,31002,-1,-0.00051288,0.01308607
208,31003,31074,-1,0.002859,0.01594507
209,31075,31146,-1,0.00269431,0.01863939
210,31151,31222,1,0.00068653,0.01932592
211,31223,31294,1,0.00173084,0.02105676
212,31295,31366,-1,0.00162189,0.02267865
213,31367,31438,-1,0.00174659,0.02442524
214,31439,31510,-1,0.00104322,0.02546846
215,31511,31582,1,-0.00306414,0.02240432
216,31583,31654,-1,0.00021252,0.02261684
217,31655,31726,-1,-0.00090378,0.02171306
218,31727,31798,-1,0.00016253,0.02187558
219,31799,31861,-1,-0.00100393,0.02087166
220,31862,31933,-1,0.00055666,0.02142832
221,31934,32005,-1,0.00108708,0.0225154
222,32006,32077,-1,0.00194811,0.02446351
223,32078,32149,-1,-0.00705264,0.01741086
224,32150,32221,-1,0.00266923,0.02008009
225,32222,32293,-1,6.362e-05,0.02014371
226,32294,32365,-1,0.00915015,0.02929386
227,32366,32437,1,-0.00167696,0.02761689
228,32441,32512,1,-0.00323601,0.02438089
229,32513,32584,-1,-0.00101993,0.02336095
230,32585,32656,-1,-0.00646569,0.01689526
231,32657,32728,-1,0.00450751,0.02140277
232,32729,32800,-1,-0.00071039,0.02069237
233,32801,32872,-1,-0.00361664,0.01707574
234,32873,32944,-1,0.00175376,0.0188295
235,32946,33017,1,-0.00127798,0.01755152
236,33019,33090,-1,-0.00296739,0.01458414
237,33091,33162,-1,0.00240407,0.0169882
238,33164,33235,-1,-0.00177888,0.01520932
239,33236,33307,-1,0.00169825,0.01690757
240,33308,33379,-1,0.00279304,0.01970061
241,33380,33451,-1,0.00020502,0.01990563
242,33452,33523,-1,0.00126663,0.02117226
243,33524,33595,-1,0.00015802,0.02133028
244,33596,33667,-1,-0.00203807,0.01929222
245,33668,33739,-1,0.00155036,0.02084258
246,33740,33811,-1,0.00046423,0.02130681
247,33812,33883,-1,0.00027213,0.02157894
248,33884,33955,-1,0.00558399,0.02716293
249,33956,34027,1,-0.00076499,0.02639794
250,34028,34099,-1,0.00057488,0.02697282
251,34100,34171,-1,0.00328968,0.03026249
252,34172,34243,-1,-0.00121768,0.02904481
253,34246,34317,-1,0.00016373,0.02920854
254,34318,34389,-1,0.00037107,0.02957962
255,34390,34461,-1,0.00835444,0.03793406
256,34462,34533,1,-0.02170643,0.01622763
257,34534,34605,-1,-0.00522185,0.01100579
258,34606,34677,-1,0.00995957,0.02096536
259,34678,34749,1,-0.00491344,0.01605192
260,34750,34821,1,0.00701812,0.02307004
261,34823,34894,-1,-0.00491137,0.01815867
262,34895,34966,-1,0.00204911,0.02020779
263,34967,35038,1,-0.00282661,0.01738118
264,35040,35111,1,-0.0082531,0.00912807
265,35112,35183,1,-0.00432657,0.0048015
266,35184,35255,1,0.00082002,0.00562152
267,35256,35327,-1,-0.00232526,0.00329627
268,35328,35399,-1,-0.00235991,0.00093636
269,35400,35471,-1,0.00153194,0.00246829
270,35472,35543,1,-0.00754153,-0.00507324
271,35544,35615,1,-0.00841,-0.01348324
272,35616,35687,1,0.00519002,-0.00829322
273,35688,35759,1,-0.0006371,-0.00893032
274,35762,35833,-1,-0.01172483,-0.02065515
275,35834,35905,-1,-0.00638472,-0.02703986
276,35906,35977,-1,0.01160533,-0.01543454
277,35978,36049,1,0.00448763,-0.0109469
278,36050,36121,1,-0.00173543,-0.01268233
279,36122,36193,-1,-0.00225808,-0.01494041
280,36194,36265,-1,-0.00072991,-0.01567032
281,36266,36337,-1,-0.00133666,-0.01700698
282,36338,36409,-1,-0.00161299,-0.01861997
283,36410,36481,-1,0.00174915,-0.01687082
284,36482,36553,-1,-0.00163725,-0.01850806
285,36554,36625,-1,0.00228247,-0.01622559
286,36626,36697,-1,0.00605238,-0.01017322
287,36698,36769,1,0.00362627,-0.00654694
288,36770,36841,-1,0.00192446,-0.00462248
289,36842,36913,1,-0.00285569,-0.00747817
290,36914,36985,1,-0.00361739,-0.01109556
291,36986,37057,1,0.01361848,0.00252291
292,37058,37129,-1,0.00176464,0.00428755
293,37130,37201,-1,-0.00236482,0.00192273
294,37202,37273,-1,0.00321913,0.00514186
295,37274,37345,-1,0.00434143,0.00948329
296,37346,37417,1,-0.00182794,0.00765535
297,37418,37489,-1,-0.0063178,0.00133755
298,37490,37561,-1,-0.00202826,-0.0006907
299,37562,37633,-1,0.00507525,0.00438454
300,37634,37705,1,-0.00071979,0.00366475
301,37706,37777,-1,-0.00186886,0.00179589
302,37778,37849,-1,0.00400724,0.00580313
303,37850,37921,1,0.00029406,0.00609719
304,37922,37993,-1,-0.00042669,0.0056705
305,37994,38065,-1,-0.00465548,0.00101502
306,38066,38137,-1,0.00056398,0.001579
307,38138,38209,-1,0.00079562,0.00237462
308,38210,38281,-1,-0.00280797,-0.00043335
309,38282,38353,-1,-0.00317468,-0.00360803
310,38355,38426,-1,7.961e-05,-0.00352842
311,38427,38498,-1,-0.00097118,-0.00449961
312,38499,38570,-1,-0.01103855,-0.01553815
313,38571,38642,-1,0.00206675,-0.0134714
314,38643,38714,-1,0.00359758,-0.00987382
315,38715,38786,1,0.00895243,-0.00092139
316,38787,38858,1,-0.0008097,-0.00173108
317,38859,38930,-1,0.00486258,0.0031315
318,38932,39003,1,0.01227564,0.01540714
319,39004,39075,-1,0.00036104,0.01576819
320,39076,39147,-1,-0.0052488,0.01051939
321,39148,39219,-1,0.00187097,0.01239035
322,39220,39291,-1,0.00405108,0.01644143
323,39292,39363,-1,0.00078931,0.01723074
324,39364,39435,-1,0.00038094,0.01761169
325,39436,39507,-1,0.00093058,0.01854226
326,39508,39579,-1,-0.00456529,0.01397698
327,39580,39651,-1,0.00493653,0.01891351
328,39652,39723,1,0.00302852,0.02194203
329,39724,39795,-1,-0.00063684,0.02130518
330,39796,39867,-1,-0.00228413,0.01902106
331,39868,39939,-1,0.00097174,0.0199928
332,39940,40011,-1,-0.0015641,0.0184287
333,40012,40083,-1,-0.00126141,0.0171673
334,40084,40155,-1,0.00153788,0.01870518
335,40160,40231,-1,-0.00067469,0.01803049
336,40232,40303,-1,-0.00439487,0.01363562
337,40304,40375,-1,-0.00587556,0.00776006
338,40376,40447,-1,-0.00397545,0.00378461
339,40448,40519,-1,-0.004594,-0.00080939
340,40520,40591,-1,-0.0008818,-0.00169119
341,40592,40663,-1,-0.01315224,-0.01484344
342,40664,40735,-1,-0.00163937,-0.0164828
343,40736,40807,-1,-0.00486681,-0.02134962
344,40808,40879,-1,0.00247897,-0.01887065
345,40880,40951,-1,-0.0031104,-0.02198104
346,40952,41023,-1,0.00133265,-0.02064839
347,41024,41095,-1,0.00157424,-0.01907415
348,41096,41167,-1,0.00086483,-0.01820932
349,41168,41239,1,-0.00092708,-0.0191364
350,41240,41311,1,-0.0029693,-0.0221057
351,41312,41383,1,-0.01132597,-0.03343167
352,41384,41455,1,-0.0007536,-0.03418527
353,41456,41527,1,-0.01452686,-0.04871213
354,41528,41599,1,0.00191005,-0.04680207
355,41601,41672,1,0.00245907,-0.044343
356,41673,41744,-1,-0.00171947,-0.04606247
357,41745,41816,-1,0.00229268,-0.04376979
358,41819,41890,-1,-0.00178999,-0.04555978
359,41891,41962,-1,-0.00410934,-0.04966912
360,41963,42034,-1,0.003606,-0.04606312
361,42037,42108,-1,-0.00605327,-0.05211639
362,42109,42180,-1,0.00015957,-0.05195682
363,42181,42252,-1,0.00152122,-0.05043561
364,42253,42324,-1,-0.00193753,-0.05237313
365,42325,42396,-1,-0.0008346,-0.05320774
366,42397,42468,-1,-0.00591529,-0.05912303
367,42469,42540,-1,0.00158216,-0.05754087
368,42541,42612,-1,0.00201614,-0.05552473
369,42613,42684,-1,0.00463829,-0.05088643
370,42685,42756,1,-0.00734654,-0.05823298
371,42757,42828,1,-0.00254,-0.06077298
372,42829,42900,1,-0.00228128,-0.06305426
373,42901,42972,-1,-0.00274255,-0.06579681
374,42973,43044,-1,0.01610336,-0.04969345
375,43045,43116,-1,-0.0005011,-0.05019454
376,43117,43188,-1,0.00215401,-0.04804053
377,43190,43261,-1,-0.00349925,-0.05153978
378,43262,43333,-1,0.0021759,-0.04936388
379,43334,43405,-1,0.00104385,-0.04832003
380,43406,43477,-1,-0.00098358,-0.04930361
381,43478,43549,-1,-0.00186828,-0.0511719
382,43550,43621,-1,-0.01101805,-0.06218995
383,43622,43693,-1,-0.00044919,-0.06263914
384,43694,43765,-1,-0.00138835,-0.06402749
385,43766,43837,-1,0.00076834,-0.06325915
386,43838,43909,-1,-0.01203782,-0.07529697
387,43910,43981,-1,0.00120704,-0.07408994
388,43982,44053,-1,-0.00958754,-0.08367747
389,44054,44125,-1,0.00087287,-0.08280461
390,44126,44197,-1,-0.00139825,-0.08420286
391,44198,44269,-1,0.00480538,-0.07939748
392,44270,44341,-1,2.46e-05,-0.07937288
393,44342,44413,-1,-0.00073797,-0.08011085
394,44414,44485,-1,0.01073323,-0.06937762
395,44486,44557,1,0.00210023,-0.06727739
396,44558,44629,1,-0.00082236,-0.06809975
397,44630,44701,-1,-0.00282154,-0.07092129
398,44702,44773,-1,-0.00288857,-0.07380986
399,44774,44845,-1,-0.00042992,-0.07423978
400,44846,44917,-1,-0.00320675,-0.07744653
401,44918,44989,-1,-0.00174673,-0.07919326
402,44990,45061,-1,-0.01571959,-0.09491285
403,45062,45133,-1,0.00380748,-0.09110537
404,45134,45205,-1,0.00182743,-0.08927794
405,45206,45277,-1,0.00280538,-0.08647256
406,45278,45349,-1,-0.00178063,-0.08825319
