trade_num,entry_bar,exit_bar,direction,return_net,cumulative_equity
1,16853,16924,1,0.0022614,0.0022614
2,16927,16998,1,-0.00081009,0.00145131
3,16999,17070,1,0.00011966,0.00157097
4,17080,17151,-1,-0.00109153,0.00047944
5,17153,17224,-1,-0.00511106,-0.00463162
6,17228,17299,-1,-0.01087877,-0.01551039
7,17300,17371,-1,0.00055099,-0.0149594
8,17374,17445,-1,-0.00036489,-0.01532429
9,17447,17518,-1,0.00373791,-0.01158638
10,17526,17597,1,0.00444486,-0.00714152
11,17601,17672,-1,0.00050404,-0.00663749
12,17673,17744,-1,-0.00211628,-0.00875376
13,17745,17816,-1,0.00087158,-0.00788218
14,17819,17890,1,-0.00372622,-0.0116084
15,17891,17962,1,-0.00038834,-0.01199675
16,17966,18037,-1,0.00168466,-0.01031208
17,18038,18109,1,-0.00081662,-0.0111287
18,18112,18183,-1,0.00131575,-0.00981295
19,18184,18255,-1,-0.00094721,-0.01076016
20,18256,18327,-1,0.00563992,-0.00512024
21,18341,18412,1,-0.00212399,-0.00724422
22,18413,18484,1,-0.00424665,-0.01149088
23,18486,18557,1,0.00210716,-0.00938371
24,18578,18649,1,-0.00432324,-0.01370695
25,18650,18721,1,0.00060314,-0.01310381
26,18723,18794,1,0.00099998,-0.01210383
27,18795,18866,-1,-0.00931907,-0.0214229
28,18869,18940,-1,-0.00027283,-0.02169574
29,18941,19012,-1,0.00345366,-0.01824208
30,19013,19084,1,-0.00353946,-0.02178154
31,19086,19157,1,0.00042892,-0.02135261
32,19158,19229,1,-0.00045927,-0.02181188
33,19230,19301,1,-0.00617376,-0.02798563
34,19302,19373,1,-0.00657847,-0.0345641
35,19374,19445,1,0.00698461,-0.0275795
36,19456,19527,1,-0.00135771,-0.02893721
37,19531,19602,-1,0.00136895,-0.02756826
38,19603,19674,1,0.00405567,-0.02351259
39,19700,19771,-1,-0.00567491,-0.02918749
40,19772,19843,-1,0.0020605,-0.027127
41,19845,19916,-1,-0.0014843,-0.02861129
42,19917,19988,1,-0.00380985,-0.03242114
43,19989,20060,-1,0.00234535,-0.03007579
44,20061,20132,1,0.00240526,-0.02767054
45,20138,20209,-1,0.00149652,-0.02617402
46,20210,20281,-1,-0.00259225,-0.02876627
47,20282,20353,-1,0.0005846,-0.02818167
48,20361,20432,-1,0.00355502,-0.02462665
49,20435,20506,1,-0.00304427,-0.02767092
50,20511,20582,1,0.00093605,-0.02673487
51,20600,20671,1,0.0004324,-0.02630247
52,20672,20743,-1,-0.00022467,-0.02652714
53,20747,20818,-1,-0.00413288,-0.03066003
54,20819,20890,-1,0.00199391,-0.02866612
55,20897,20968,-1,-0.00195189,-0.03061801
56,20969,21040,-1,0.01004028,-0.02057773
57,21041,21112,-1,0.00102436,-0.01955337
58,21113,21184,1,0.00082594,-0.01872743
59,21185,21256,-1,-0.00087245,-0.01959988
60,21257,21328,-1,-0.00150915,-0.02110902
61,21329,21400,-1,-0.00193686,-0.02304589
62,21401,21472,1,-0.0017854,-0.02483129
63,21473,21544,1,-0.00402333,-0.02885462
64,21545,21616,1,-0.00937811,-0.03823273
65,21618,21689,1,0.00439055,-0.03384218
66,21690,21761,-1,0.00072404,-0.03311814
67,21762,21833,-1,-0.01659111,-0.04970925
68,21834,21905,-1,-0.00045042,-0.05015967
69,21910,21981,1,-0.00090985,-0.05106951
70,21983,22054,1,0.00113284,-0.04993667
71,22060,22131,-1,-0.00934356,-0.05928024
72,22132,22203,-1,0.00095438,-0.05832586
73,22207,22278,1,-0.00212704,-0.0604529
74,22280,22351,-1,-0.00240534,-0.06285824
75,22358,22429,-1,0.00236919,-0.06048905
76,22430,22501,1,-0.00051001,-0.06099906
77,22510,22581,1,0.00048161,-0.06051745
78,22585,22656,-1,0.01861771,-0.04189974
79,22659,22730,1,0.00332217,-0.03857757
80,22732,22803,-1,0.00141961,-0.03715796
81,22814,22885,-1,0.00174191,-0.03541605
82,22886,22957,1,-0.00401092,-0.03942697
83,22959,23030,-1,-0.00737236,-0.04679933
84,23031,23102,-1,-2.216e-05,-0.04682149
85,23103,23174,-1,-0.00575464,-0.05257613
86,23175,23246,-1,0.0010868,-0.05148932
87,23247,23318,-1,0.00150427,-0.04998505
88,23326,23397,-1,-0.00066866,-0.05065371
89,23398,23469,-1,-0.00567541,-0.05632912
90,23472,23543,-1,-0.00114934,-0.05747846
91,23544,23615,-1,-0.00116015,-0.05863861
92,23616,23687,1,-0.00504991,-0.06368852
93,23688,23759,1,0.00044312,-0.0632454
94,23760,23831,1,-0.00287229,-0.06611769
95,23832,23903,1,-0.00413457,-0.07025226
96,23904,23975,1,0.00368026,-0.06657201
97,23976,24047,-1,0.0025442,-0.06402781
98,24063,24134,-1,-0.00011514,-0.06414296
99,24136,24207,1,0.00219681,-0.06194614
100,24208,24279,-1,-0.00089902,-0.06284517
101,24280,24351,-1,-0.00096473,-0.0638099
102,24352,24423,1,-0.0037594,-0.06756929
103,24424,24495,-1,-0.0037657,-0.071335
104,24496,24567,-1,0.00454246,-0.06679254
105,24569,24640,-1,-0.00091866,-0.0677112
106,24649,24720,-1,-0.00456279,-0.07227399
107,24721,24792,-1,-0.00351338,-0.07578737
108,24793,24864,-1,0.00030997,-0.0754774
109,24865,24936,-1,-0.00058889,-0.07606629
110,24944,25015,-1,-0.0030985,-0.07916479
111,25016,25087,-1,-0.01760475,-0.09676954
112,25088,25159,-1,0.00369899,-0.09307055
113,25162,25233,1,0.00185119,-0.09121935
114,25234,25305,-1,-0.00060793,-0.09182728
115,25306,25377,-1,-0.00491564,-0.09674292
116,25379,25450,-1,0.00263101,-0.0941119
117,25464,25535,1,0.00025506,-0.09385684
118,25536,25607,-1,-0.00209345,-0.09595029
119,25609,25680,-1,-0.00129831,-0.0972486
120,25681,25752,1,0.00354918,-0.09369942
121,25753,25824,-1,0.00171563,-0.09198379
122,25836,25907,-1,0.00165724,-0.09032655
123,25912,25983,1,-0.00366718,-0.09399374
124,25984,26055,1,-0.00159886,-0.0955926
125,26056,26127,-1,0.00330717,-0.09228542
126,26129,26200,-1,0.00470822,-0.0875772
127,26201,26272,1,-0.00011769,-0.08769489
128,26273,26344,1,0.00078265,-0.08691224
129,26345,26416,-1,9.51e-06,-0.08690272
130,26417,26488,-1,-0.00058717,-0.0874899
131,26489,26560,1,0.00145982,-0.08603008
132,26568,26639,1,-0.00250748,-0.08853756
133,26640,26711,1,-0.00285944,-0.091397
134,26712,26783,1,0.00081021,-0.09058679
135,26794,26865,-1,-0.00558124,-0.09616803
136,26866,26937,-1,0.0078352,-0.08833284
137,26938,27009,1,0.00147608,-0.08685675
138,27013,27084,-1,0.00133771,-0.08551904
139,27086,27157,1,4.714e-05,-0.0854719
140,27160,27231,1,0.00076232,-0.08470958
141,27234,27305,1,-0.00649744,-0.09120702
142,27306,27377,1,-0.0068694,-0.09807642
143,27382,27453,1,0.00061965,-0.09745677
144,27454,27525,1,0.00094272,-0.09651405
145,27526,27597,1,-0.00237461,-0.09888865
146,27598,27669,-1,-0.00083931,-0.09972796
147,27670,27741,-1,-0.00142806,-0.10115603
148,27742,27813,-1,-0.00066876,-0.10182479
149,27815,27886,1,-0.00192455,-0.10374934
150,27888,27959,-1,-0.00155502,-0.10530436
151,27960,28031,-1,0.00051496,-0.1047894
152,28032,28103,-1,-0.00084349,-0.10563288
153,28104,28175,-1,-0.00056446,-0.10619734
154,28176,28247,-1,-0.00120399,-0.10740134
155,28249,28320,-1,-0.00029068,-0.10769202
156,28329,28400,-1,0.00458619,-0.10310583
157,28424,28495,-1,-0.00071646,-0.10382229
158,28497,28568,1,-0.00043971,-0.104262
159,28569,28640,1,-0.00071662,-0.10497862
160,28642,28713,1,0.00495282,-0.1000258
161,28714,28785,-1,0.00023906,-0.09978674
162,28786,28857,-1,0.00042492,-0.09936182
163,28858,28929,-1,0.00285222,-0.0965096
164,28930,29001,-1,-0.00195798,-0.09846758
165,29002,29073,-1,0.00475918,-0.0937084
166,29074,29145,1,-0.00914371,-0.1028521
167,29147,29218,1,0.00224194,-0.10061016
168,29221,29292,1,0.00020771,-0.10040245
169,29293,29364,-1,0.00068062,-0.09972183
170,29365,29436,-1,0.00134433,-0.0983775
171,29437,29508,-1,0.00053366,-0.09784384
172,29509,29580,-1,-0.00240276,-0.1002466
173,29586,29657,-1,-0.00290904,-0.10315564
174,29658,29729,-1,0.00085658,-0.10229906
175,29730,29801,-1,0.00093567,-0.10136339
176,29802,29873,-1,-0.00734078,-0.10870417
177,29874,29945,-1,-0.00121253,-0.1099167
178,29952,30023,-1,0.00272627,-0.10719043
179,30024,30095,-1,0.00150852,-0.10568191
180,30096,30167,-1,-0.00100976,-0.10669167
181,30168,30239,-1,0.00244261,-0.10424906
182,30240,30311,-1,-0.00114244,-0.10539151
183,30312,30383,1,0.00079144,-0.10460006
184,30384,30455,-1,0.00079822,-0.10380185
185,30456,30527,-1,-0.00055964,-0.10436149
186,30528,30599,-1,0.00461297,-0.09974852
187,30605,30676,-1,-0.00688227,-0.10663079
188,30677,30748,-1,-0.00199852,-0.10862931
189,30749,30820,-1,-0.00919863,-0.11782795
190,30821,30892,-1,-0.0032084,-0.12103635
191,30893,30964,-1,0.00057113,-0.12046522
192,30965,31036,-1,-0.00080306,-0.12126827
193,31037,31108,-1,0.005226,-0.11604227
194,31109,31180,1,-0.00747642,-0.12351869
195,31184,31255,1,0.00224647,-0.12127222
196,31256,31327,-1,0.00252802,-0.1187442
197,31339,31410,1,-0.00399077,-0.12273497
198,31434,31505,-1,0.00069331,-0.12204166
199,31506,31577,-1,0.00012245,-0.12191922
200,31578,31649,-1,0.003072,-0.11884721
