fold,entry_bar,exit_bar,direction,confidence,realized_return,source
1,16853,16924,1,0.803213,0.0024614,model
1,16928,16999,1,0.716676,-0.00116023,model
1,17004,17075,1,0.753661,0.00190267,model
1,17083,17154,-1,0.317506,0.00176431,model
1,17162,17233,-1,0.295651,-0.00848626,model
1,17234,17305,-1,0.281492,-0.00657084,model
1,17307,17378,-1,0.253104,0.00141312,model
1,17390,17461,-1,0.311372,0.00179564,model
1,17472,17543,-1,0.300316,0.00474116,model
1,17544,17615,-1,0.283134,-0.01373912,model
1,17616,17687,-1,0.067885,-0.00146346,model
1,17688,17759,-1,0.09487,-0.00101421,model
1,17760,17831,-1,0.16098,0.00352155,model
1,17833,17904,1,0.718756,-0.00125343,model
1,17908,17979,-1,0.28361,0.00477643,model
1,17980,18051,1,0.785561,0.00438513,model
1,18095,18166,1,0.693965,0.00213527,model
1,18167,18238,-1,0.115705,-0.00061708,model
1,18239,18310,-1,0.183995,0.00235976,model
1,18311,18382,-1,0.271744,0.0064674,model
1,18386,18457,-1,0.239869,0.00454321,model
1,18458,18529,1,0.751512,-0.00032128,model
1,18530,18601,-1,0.276265,0.0010594,model
1,18602,18673,-1,0.191671,0.00079724,model
1,18674,18745,1,0.81183,0.00091723,model
1,18784,18855,-1,0.311471,-0.0084399,model
1,18869,18940,-1,0.300302,-7.283e-05,model
1,18941,19012,-1,0.19329,0.00365366,model
1,19013,19084,1,0.773105,-0.00333946,model
1,19086,19157,1,0.768942,0.00062892,model
1,19158,19229,1,0.708161,-0.00025927,model
1,19230,19301,1,0.84616,-0.00597376,model
1,19302,19373,1,0.869818,-0.00637847,model
1,19374,19445,1,0.90161,0.00718461,model
1,19485,19556,-1,0.296697,0.00024935,model
1,19557,19628,-1,0.282657,0.00095775,model
1,19645,19716,-1,0.297705,-0.00868148,model
1,19717,19788,-1,0.23188,-0.00269059,model
1,19789,19860,-1,0.125354,0.00183221,model
1,19862,19933,-1,0.293413,0.00102707,model
1,19942,20013,1,0.805272,0.00042031,model
1,20017,20088,1,0.701897,-0.00129737,model
1,20089,20160,1,0.766875,0.00613988,model
1,20199,20270,-1,0.316957,-0.00045383,model
1,20275,20346,-1,0.300714,0.00020843,model
1,20371,20442,-1,0.267815,0.00478637,model
