fold,entry_bar,exit_bar,direction,confidence,realized_return,source
1,16954,16973,1,0.908196,0.00158636,model
1,16974,16993,1,0.810741,0.00387062,model
1,16994,17013,1,0.662707,0.00171702,model
1,17015,17034,1,0.622313,0.00027498,model
1,17035,17054,1,0.594056,-0.00372258,model
1,17055,17074,1,0.672773,-0.0005191,model
1,17075,17094,1,0.735409,0.00091374,model
1,17095,17114,1,0.709121,-5.492e-05,model
1,17115,17134,-1,0.438021,-0.00130161,model
1,17136,17155,1,0.625457,0.00238665,model
1,17156,17175,-1,0.308066,-0.00066877,model
1,17176,17195,-1,0.409872,0.00042756,model
1,17196,17215,-1,0.274762,0.00194568,model
1,17216,17235,-1,0.238846,0.00246175,model
1,17236,17255,1,0.790244,0.00113071,model
1,17257,17276,1,0.572349,0.00749955,model
1,17277,17296,-1,0.394596,-0.0073089,model
1,17297,17316,-1,0.14677,-0.00066645,model
1,17317,17336,-1,0.114152,-0.00374293,model
1,17337,17356,-1,0.118975,0.00188902,model
1,17358,17377,1,0.572198,-0.00041186,model
1,17378,17397,-1,0.418678,0.00024711,model
1,17398,17417,-1,0.110205,0.00144279,model
1,17418,17437,-1,0.392869,-0.00104063,model
1,17438,17457,-1,0.383992,-0.0003303,model
1,17458,17477,1,0.649555,0.00017944,model
1,17478,17497,-1,0.368769,0.00010176,model
1,17500,17519,1,0.574177,-0.00052593,model
1,17520,17539,-1,0.416568,-0.00166077,model
1,17540,17559,-1,0.315955,0.00227221,model
1,17560,17579,-1,0.434492,0.00449564,model
1,17580,17599,1,0.559304,0.00201987,model
1,17600,17619,-1,0.370198,-0.00188226,model
1,17620,17639,-1,0.377874,-0.00050245,model
1,17640,17659,-1,0.361042,-0.01310467,model
1,17661,17680,1,0.552383,-0.00188308,model
1,17681,17700,-1,0.439575,-0.00070272,model
1,17701,17720,-1,0.265289,-8.298e-05,model
1,17721,17740,-1,0.304524,-0.00107194,model
1,17741,17760,-1,0.103539,-0.00241883,model
1,17761,17780,-1,0.168981,0.00275987,model
1,17781,17800,1,0.550374,-0.0010797,model
1,17801,17820,1,0.615854,0.0029964,model
1,17821,17840,-1,0.26862,-0.00109857,model
1,17841,17860,-1,0.351746,0.00236694,model
1,17861,17880,-1,0.422406,0.0010671,model
1,17881,17900,1,0.597074,-0.00230717,model
1,17901,17920,1,0.805569,4.61e-05,model
1,17921,17940,1,0.725739,-0.00270768,model
1,17941,17960,1,0.965137,0.00223179,model
1,17961,17980,1,0.585161,-0.00109755,model
1,17981,18000,1,0.764938,0.00119801,model
1,18005,18024,-1,0.449159,0.00073286,model
1,18025,18044,1,0.675609,-0.00375758,model
1,18045,18064,1,0.645523,0.00165902,model
1,18065,18084,1,0.715326,-0.00036678,model
1,18085,18104,1,0.689935,0.00269938,model
1,18105,18124,1,0.553466,-0.00135435,model
1,18125,18144,1,0.61391,-0.00104598,model
1,18145,18164,1,0.625652,-0.00023626,model
1,18165,18184,1,0.573276,-0.00136082,model
1,18185,18204,1,0.574338,0.00052355,model
1,18205,18224,1,0.646555,0.00129859,model
1,18229,18248,-1,0.428088,0.00101196,model
1,18249,18268,1,0.623425,0.00193825,model
1,18269,18288,-1,0.395664,0.00066633,model
1,18289,18308,-1,0.186877,-0.00037597,model
1,18309,18328,-1,0.332706,-0.00028168,model
1,18329,18348,-1,0.304924,0.00267421,model
1,18349,18368,1,0.709274,0.00104208,model
1,18369,18388,1,0.614271,-0.00355284,model
1,18389,18408,1,0.712167,-0.00197122,model
1,18409,18428,1,0.847125,-0.00105036,model
1,18430,18449,1,0.579201,0.00180408,model
1,18450,18469,-1,0.41916,0.00059379,model
1,18470,18489,1,0.763572,-0.00075106,model
1,18490,18509,1,0.596063,-0.00287295,model
1,18510,18529,1,0.740271,0.00031262,model
1,18530,18549,1,0.717234,-0.00072473,model
1,18550,18569,1,0.679823,-0.00079631,model
1,18570,18589,1,0.644065,-0.00012539,model
1,18590,18609,1,0.559755,0.00161722,model
1,18610,18629,-1,0.445114,-0.0024351,model
1,18631,18650,1,0.574341,-0.00523673,model
1,18654,18673,-1,0.425356,0.00071437,model
1,18676,18695,-1,0.436525,-7.322e-05,model
1,18696,18715,-1,0.379004,0.00062943,model
1,18717,18736,-1,0.449103,-0.0002097,model
1,18737,18756,1,0.576442,-0.00020928,model
1,18757,18776,1,0.790369,-0.00029809,model
1,18777,18796,1,0.969201,0.00196608,model
1,18797,18816,-1,0.441154,-0.00058782,model
1,18821,18840,-1,0.412999,0.00163287,model
1,18842,18861,-1,0.371265,-0.00557069,model
1,18865,18884,1,0.622764,-0.00052573,model
1,18885,18904,-1,0.369816,0.00059796,model
1,18905,18924,1,0.59159,0.0058569,model
1,18926,18945,-1,0.313678,0.00092544,model
1,18946,18965,-1,0.326871,0.00281842,model
1,18966,18985,1,0.650622,0.00231749,model
1,18986,19005,1,0.580542,0.00049141,model
1,19006,19025,-1,0.27146,-0.00085888,model
1,19026,19045,-1,0.387825,0.00219665,model
1,19046,19065,1,0.61364,-0.0015612,model
1,19066,19085,1,0.78694,2.366e-05,model
1,19089,19108,1,0.569014,-0.00236403,model
1,19109,19128,1,0.73273,-0.00306994,model
1,19129,19148,1,0.780563,0.00124344,model
1,19149,19168,1,0.817842,0.00360108,model
1,19169,19188,-1,0.428319,0.00366068,model
1,19190,19209,1,0.55574,0.0003207,model
1,19212,19231,1,0.653,0.00035336,model
1,19232,19251,1,0.694114,0.00014248,model
1,19252,19271,-1,0.364715,0.00093396,model
1,19272,19291,1,0.621802,0.00074315,model
1,19292,19311,1,0.605324,0.00064934,model
1,19312,19331,-1,0.133681,0.00014033,model
1,19332,19351,1,0.601264,-0.00159496,model
1,19352,19371,1,0.78339,-0.00392464,model
1,19372,19391,1,0.761791,-0.00060274,model
1,19392,19411,1,0.823352,-0.00235792,model
1,19412,19431,1,0.927196,-0.00192157,model
1,19432,19451,1,0.915833,0.00597662,model
1,19452,19471,1,0.617635,0.00187213,model
1,19472,19491,1,0.56501,-0.00340421,model
1,19492,19511,1,0.687969,-0.00028365,model
1,19512,19531,1,0.681126,-0.00013829,model
1,19532,19551,1,0.564764,-0.00011149,model
1,19552,19571,-1,0.418338,-0.00059752,model
1,19572,19591,1,0.826604,-1.173e-05,model
1,19592,19611,-1,0.403976,0.00210466,model
1,19612,19631,-1,0.447574,-0.00166891,model
1,19632,19651,-1,0.156274,0.00011274,model
1,19652,19671,-1,0.056832,0.00296385,model
1,19672,19691,1,0.603985,0.00250103,model
1,19692,19711,-1,0.41422,0.0008285,model
1,19712,19731,1,0.600652,0.00286266,model
1,19733,19752,1,0.555444,0.00126241,model
1,19753,19772,1,0.590739,0.00308008,model
1,19773,19792,1,0.651692,0.00302864,model
1,19793,19812,-1,0.296118,0.00026395,model
1,19813,19832,-1,0.350884,-0.00075177,model
1,19833,19852,-1,0.302685,-0.00299401,model
1,19853,19872,-1,0.184349,0.000723,model
