trade_num,entry_bar,exit_bar,direction,return_net,cumulative_equity
1,16954,16973,1,0.00138636,0.00138636
2,16974,16993,1,0.00367062,0.00505698
3,17058,17077,1,-0.00073712,0.00431986
4,17078,17097,1,0.00049638,0.00481624
5,17137,17156,-1,-0.00098382,0.00383242
6,17159,17178,-1,-0.00019537,0.00363705
7,17195,17214,-1,0.00208488,0.00572193
8,17216,17235,-1,0.00226175,0.00798368
9,17236,17255,1,0.00093071,0.00891438
10,17287,17306,-1,-0.0066675,0.00224689
11,17307,17326,-1,-0.00469296,-0.00244607
12,17327,17346,-1,0.00099435,-0.00145172
13,17347,17366,-1,0.00038879,-0.00106293
14,17367,17386,-1,0.00078707,-0.00027586
15,17389,17408,-1,0.00053268,0.00025682
16,17415,17434,1,0.00080751,0.00106432
17,17450,17469,1,-7.123e-05,0.00099309
18,17479,17498,-1,0.00050076,0.00149385
19,17503,17522,1,0.00059289,0.00208674
20,17523,17542,-1,-0.00115163,0.00093511
21,17544,17563,-1,0.00144235,0.00237745
22,17583,17602,1,0.00292304,0.00530049
23,17663,17682,-1,0.00173971,0.0070402
24,17687,17706,-1,-0.00083024,0.00620996
25,17712,17731,-1,2.264e-05,0.00623259
26,17732,17751,-1,-0.00484215,0.00139045
27,17752,17771,-1,0.00306808,0.00445853
28,17788,17807,-1,0.0007535,0.00521202
29,17811,17830,-1,0.00048263,0.00569465
30,17836,17855,-1,0.00333962,0.00903427
31,17858,17877,-1,0.001556,0.01059027
32,17878,17897,1,-0.00205782,0.00853245
33,17898,17917,1,-0.00089963,0.00763282
34,17918,17937,1,-0.00097881,0.00665401
35,17938,17957,1,-0.00055893,0.00609508
36,17958,17977,1,-0.00046712,0.00562796
37,17978,17997,1,0.0011044,0.00673236
38,18017,18036,1,-0.00420683,0.00252553
39,18037,18056,1,0.00122058,0.00374611
40,18057,18076,1,0.00023206,0.00397817
41,18077,18096,1,1.555e-05,0.00399371
42,18097,18116,1,0.00141635,0.00541006
43,18121,18140,1,-0.00180526,0.0036048
44,18141,18160,1,-0.00083778,0.00276702
45,18161,18180,1,9.19e-06,0.00277621
46,18207,18226,1,0.00131666,0.00409287
47,18239,18258,1,0.00096065,0.00505352
48,18284,18303,-1,-0.00111316,0.00394036
49,18304,18323,-1,4.979e-05,0.00399015
50,18328,18347,-1,0.00145883,0.00544898
51,18349,18368,1,0.00084208,0.00629106
52,18372,18391,1,-0.004269,0.00202206
53,18392,18411,1,-0.00081299,0.00120908
54,18412,18431,1,-0.00345407,-0.00224499
55,18447,18466,-1,0.00014528,-0.00209972
56,18467,18486,1,-0.00186906,-0.00396878
57,18496,18515,-1,0.00347783,-0.00049095
58,18516,18535,1,0.00087502,0.00038407
59,18536,18555,1,-0.00301671,-0.00263264
60,18556,18575,1,5.94e-05,-0.00257324
61,18576,18595,1,0.00140384,-0.0011694
62,18624,18643,1,-0.00229577,-0.00346518
63,18686,18705,1,-0.00042606,-0.00389123
64,18720,18739,-1,-0.0002272,-0.00411843
65,18753,18772,1,0.00057497,-0.00354347
66,18773,18792,1,-0.00036273,-0.00390619
67,18804,18823,1,0.00068393,-0.00322226
68,18828,18847,1,-0.00146381,-0.00468607
69,18886,18905,-1,0.00317711,-0.00150895
70,18912,18931,-1,-0.00281824,-0.00432719
71,18965,18984,1,0.00217912,-0.00214808
72,19000,19019,-1,-0.00011804,-0.00226612
73,19030,19049,-1,0.00332553,0.00105942
74,19050,19069,1,-0.000503,0.00055641
75,19070,19089,1,0.00020966,0.00076607
76,19094,19113,1,-0.00295702,-0.00219095
77,19114,19133,1,-0.00171579,-0.00390674
78,19134,19153,1,-0.00069702,-0.00460376
79,19154,19173,1,0.00387557,-0.00072818
80,19195,19214,1,0.00055087,-0.00017732
81,19218,19237,1,-0.000215,-0.00039232
82,19238,19257,1,-0.00027794,-0.00067026
83,19264,19283,1,-0.00016079,-0.00083105
84,19284,19303,1,0.00094684,0.00011579
85,19304,19323,-1,-0.00072983,-0.00061404
86,19335,19354,1,-0.00194349,-0.00255753
87,19355,19374,1,-0.0041651,-0.00672263
88,19375,19394,1,-0.00207012,-0.00879275
89,19395,19414,1,-0.00295054,-0.01174329
90,19415,19434,1,-0.00085408,-0.01259737
91,19435,19454,1,0.00481252,-0.00778485
92,19455,19474,1,0.00270402,-0.00508082
93,19492,19511,1,-0.00048365,-0.00556447
94,19512,19531,1,-0.00033829,-0.00590277
95,19568,19587,1,0.00058077,-0.00532199
