stage,dataset,label_column,return_column,horizon_bars,threshold,model,cost_bps,max_rows,folds,process_exit_code,verdict,trade_count,win_rate,avg_trade_return,total_return_gross,total_return_net,max_drawdown,long_count,short_count,best_baseline_name,best_baseline_return_net,excess_over_best_baseline,promoted,promotion_reason,gate_status,summary_json_path,summary_md_path,log_path,command
MEDIUM_STAGE,reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_72b.parquet,lab_raw_sign_72b,fwd_ret_72b,72,0.72,lightgbm_or_sklearn_fallback,2.0,100000,3,0,WEAK_EDGE_NONOVERLAP,838,0.5035799522673031,0.00015399064143848732,0.29664415752545237,0.12904415752545237,-0.11646620562181818,374,464,random_seed_8,0.035344222873104396,0.09369993465234797,True,medium promotion gate passed,PROMOTED_TO_FULL,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/medium_stage_lightgbm_or_sklearn_fallback_thr_0.72_cost_2.0_rows_100000/nonoverlap_raw_sign_72b_lab_raw_sign_72b_20260522_231718/summary.json,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/medium_stage_lightgbm_or_sklearn_fallback_thr_0.72_cost_2.0_rows_100000/nonoverlap_raw_sign_72b_lab_raw_sign_72b_20260522_231718/summary.md,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/logs/medium_stage_lightgbm_or_sklearn_fallback_thr_0.72_cost_2.0_rows_100000.log,python scripts/validate_hydra_nonoverlap.py --dataset reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_72b.parquet --label-column lab_raw_sign_72b --return-column fwd_ret_72b --horizon-bars 72 --folds 3 --embargo-bars 288 --threshold 0.72 --cost-bps 2.0 --model lightgbm_or_sklearn_fallback --output-dir reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/medium_stage_lightgbm_or_sklearn_fallback_thr_0.72_cost_2.0_rows_100000 --max-rows 100000
MEDIUM_STAGE,reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_72b.parquet,lab_raw_sign_72b,fwd_ret_72b,72,0.65,hist_gradient_boosting,2.0,100000,3,0,WEAK_EDGE_NONOVERLAP,959,0.5213764337851929,7.610694212566483e-05,0.26478655749851254,0.07298655749851257,-0.12322627719697583,495,464,random_seed_8,0.035344222873104396,0.037642334625408176,True,medium promotion gate passed,PROMOTED_TO_FULL,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/medium_stage_hist_gradient_boosting_thr_0.65_cost_2.0_rows_100000/nonoverlap_raw_sign_72b_lab_raw_sign_72b_20260522_230929/summary.json,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/medium_stage_hist_gradient_boosting_thr_0.65_cost_2.0_rows_100000/nonoverlap_raw_sign_72b_lab_raw_sign_72b_20260522_230929/summary.md,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/logs/medium_stage_hist_gradient_boosting_thr_0.65_cost_2.0_rows_100000.log,python scripts/validate_hydra_nonoverlap.py --dataset reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_72b.parquet --label-column lab_raw_sign_72b --return-column fwd_ret_72b --horizon-bars 72 --folds 3 --embargo-bars 288 --threshold 0.65 --cost-bps 2.0 --model hist_gradient_boosting --output-dir reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/medium_stage_hist_gradient_boosting_thr_0.65_cost_2.0_rows_100000 --max-rows 100000
MEDIUM_STAGE,reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_72b.parquet,lab_raw_sign_72b,fwd_ret_72b,72,0.58,hist_gradient_boosting,2.0,100000,3,0,WEAK_EDGE_NONOVERLAP,1019,0.5161923454367027,5.35596812899721e-05,0.25837731523448154,0.054577315234481574,-0.12382668795613744,542,477,random_seed_8,0.035344222873104396,0.01923309236137718,True,medium promotion gate passed,PROMOTED_TO_FULL,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/medium_stage_hist_gradient_boosting_thr_0.58_cost_2.0_rows_100000/nonoverlap_raw_sign_72b_lab_raw_sign_72b_20260522_230612/summary.json,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/medium_stage_hist_gradient_boosting_thr_0.58_cost_2.0_rows_100000/nonoverlap_raw_sign_72b_lab_raw_sign_72b_20260522_230612/summary.md,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/logs/medium_stage_hist_gradient_boosting_thr_0.58_cost_2.0_rows_100000.log,python scripts/validate_hydra_nonoverlap.py --dataset reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_72b.parquet --label-column lab_raw_sign_72b --return-column fwd_ret_72b --horizon-bars 72 --folds 3 --embargo-bars 288 --threshold 0.58 --cost-bps 2.0 --model hist_gradient_boosting --output-dir reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/medium_stage_hist_gradient_boosting_thr_0.58_cost_2.0_rows_100000 --max-rows 100000
MEDIUM_STAGE,reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_72b.parquet,lab_raw_sign_72b,fwd_ret_72b,72,0.55,lightgbm_or_sklearn_fallback,2.0,100000,3,0,WEAK_EDGE_NONOVERLAP,1031,0.513094083414161,4.451297080495523e-05,0.25209287289990884,0.045892872899908836,-0.13758220812463645,483,548,random_seed_8,0.035344222873104396,0.01054865002680444,True,medium promotion gate passed,PROMOTED_TO_FULL,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/medium_stage_lightgbm_or_sklearn_fallback_thr_0.55_cost_2.0_rows_100000/nonoverlap_raw_sign_72b_lab_raw_sign_72b_20260522_231332/summary.json,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/medium_stage_lightgbm_or_sklearn_fallback_thr_0.55_cost_2.0_rows_100000/nonoverlap_raw_sign_72b_lab_raw_sign_72b_20260522_231332/summary.md,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/logs/medium_stage_lightgbm_or_sklearn_fallback_thr_0.55_cost_2.0_rows_100000.log,python scripts/validate_hydra_nonoverlap.py --dataset reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_72b.parquet --label-column lab_raw_sign_72b --return-column fwd_ret_72b --horizon-bars 72 --folds 3 --embargo-bars 288 --threshold 0.55 --cost-bps 2.0 --model lightgbm_or_sklearn_fallback --output-dir reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/medium_stage_lightgbm_or_sklearn_fallback_thr_0.55_cost_2.0_rows_100000 --max-rows 100000
MEDIUM_STAGE,reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_72b.parquet,lab_raw_sign_72b,fwd_ret_72b,72,0.62,hist_gradient_boosting,2.0,100000,3,0,WEAK_EDGE_NONOVERLAP,983,0.5015259409969481,3.9539308525933787e-05,0.23546714028099291,0.03886714028099291,-0.1459440489164565,516,467,random_seed_8,0.035344222873104396,0.003522917407888515,True,medium promotion gate passed,PROMOTED_TO_FULL,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/medium_stage_hist_gradient_boosting_thr_0.62_cost_2.0_rows_100000/nonoverlap_raw_sign_72b_lab_raw_sign_72b_20260522_230824/summary.json,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/medium_stage_hist_gradient_boosting_thr_0.62_cost_2.0_rows_100000/nonoverlap_raw_sign_72b_lab_raw_sign_72b_20260522_230824/summary.md,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/logs/medium_stage_hist_gradient_boosting_thr_0.62_cost_2.0_rows_100000.log,python scripts/validate_hydra_nonoverlap.py --dataset reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_72b.parquet --label-column lab_raw_sign_72b --return-column fwd_ret_72b --horizon-bars 72 --folds 3 --embargo-bars 288 --threshold 0.62 --cost-bps 2.0 --model hist_gradient_boosting --output-dir reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/medium_stage_hist_gradient_boosting_thr_0.62_cost_2.0_rows_100000 --max-rows 100000
SMOKE_STAGE,reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_72b.parquet,lab_raw_sign_72b,fwd_ret_72b,72,0.68,lightgbm_or_sklearn_fallback,2.0,50000,2,0,WEAK_EDGE_NONOVERLAP,437,0.5423340961098398,0.0002739346356566062,0.2071094357819369,0.11970943578193691,-0.07823739888009498,106,331,random_seed_9,0.002319934289830252,0.11738950149210665,True,smoke promotion gate passed,PROMOTED_TO_MEDIUM,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/smoke_stage_lightgbm_or_sklearn_fallback_thr_0.68_cost_2.0_rows_50000/nonoverlap_raw_sign_72b_lab_raw_sign_72b_20260522_230330/summary.json,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/smoke_stage_lightgbm_or_sklearn_fallback_thr_0.68_cost_2.0_rows_50000/nonoverlap_raw_sign_72b_lab_raw_sign_72b_20260522_230330/summary.md,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/logs/smoke_stage_lightgbm_or_sklearn_fallback_thr_0.68_cost_2.0_rows_50000.log,python scripts/validate_hydra_nonoverlap.py --dataset reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_72b.parquet --label-column lab_raw_sign_72b --return-column fwd_ret_72b --horizon-bars 72 --folds 2 --embargo-bars 288 --threshold 0.68 --cost-bps 2.0 --model lightgbm_or_sklearn_fallback --output-dir reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/smoke_stage_lightgbm_or_sklearn_fallback_thr_0.68_cost_2.0_rows_50000 --max-rows 50000
SMOKE_STAGE,reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_72b.parquet,lab_raw_sign_72b,fwd_ret_72b,72,0.65,hist_gradient_boosting,2.0,50000,2,0,WEAK_EDGE_NONOVERLAP,448,0.5357142857142857,0.00024989153753981113,0.2015514088178354,0.1119514088178354,-0.10876597178377691,113,335,random_seed_9,0.002319934289830252,0.10963147452800515,True,smoke promotion gate passed,PROMOTED_TO_MEDIUM,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/smoke_stage_hist_gradient_boosting_thr_0.65_cost_2.0_rows_50000/nonoverlap_raw_sign_72b_lab_raw_sign_72b_20260522_230036/summary.json,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/smoke_stage_hist_gradient_boosting_thr_0.65_cost_2.0_rows_50000/nonoverlap_raw_sign_72b_lab_raw_sign_72b_20260522_230036/summary.md,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/logs/smoke_stage_hist_gradient_boosting_thr_0.65_cost_2.0_rows_50000.log,python scripts/validate_hydra_nonoverlap.py --dataset reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_72b.parquet --label-column lab_raw_sign_72b --return-column fwd_ret_72b --horizon-bars 72 --folds 2 --embargo-bars 288 --threshold 0.65 --cost-bps 2.0 --model hist_gradient_boosting --output-dir reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/smoke_stage_hist_gradient_boosting_thr_0.65_cost_2.0_rows_50000 --max-rows 50000
SMOKE_STAGE,reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_72b.parquet,lab_raw_sign_72b,fwd_ret_72b,72,0.7,hist_gradient_boosting,2.0,50000,2,0,WEAK_EDGE_NONOVERLAP,435,0.5218390804597701,0.00022619487713927062,0.18539477155558273,0.09839477155558272,-0.07671314467397886,95,340,random_seed_9,0.002319934289830252,0.09607483726575247,True,smoke promotion gate passed,PROMOTED_TO_MEDIUM,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/smoke_stage_hist_gradient_boosting_thr_0.7_cost_2.0_rows_50000/nonoverlap_raw_sign_72b_lab_raw_sign_72b_20260522_230132/summary.json,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/smoke_stage_hist_gradient_boosting_thr_0.7_cost_2.0_rows_50000/nonoverlap_raw_sign_72b_lab_raw_sign_72b_20260522_230132/summary.md,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/logs/smoke_stage_hist_gradient_boosting_thr_0.7_cost_2.0_rows_50000.log,python scripts/validate_hydra_nonoverlap.py --dataset reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_72b.parquet --label-column lab_raw_sign_72b --return-column fwd_ret_72b --horizon-bars 72 --folds 2 --embargo-bars 288 --threshold 0.7 --cost-bps 2.0 --model hist_gradient_boosting --output-dir reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/smoke_stage_hist_gradient_boosting_thr_0.7_cost_2.0_rows_50000 --max-rows 50000
SMOKE_STAGE,reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_72b.parquet,lab_raw_sign_72b,fwd_ret_72b,72,0.55,lightgbm_or_sklearn_fallback,2.0,50000,2,0,WEAK_EDGE_NONOVERLAP,458,0.5218340611353712,0.0001945029659624737,0.18068235841081295,0.08908235841081295,-0.06908991025482591,127,331,random_seed_9,0.002319934289830252,0.0867624241209827,True,smoke promotion gate passed,PROMOTED_TO_MEDIUM,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/smoke_stage_lightgbm_or_sklearn_fallback_thr_0.55_cost_2.0_rows_50000/nonoverlap_raw_sign_72b_lab_raw_sign_72b_20260522_230214/summary.json,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/smoke_stage_lightgbm_or_sklearn_fallback_thr_0.55_cost_2.0_rows_50000/nonoverlap_raw_sign_72b_lab_raw_sign_72b_20260522_230214/summary.md,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/logs/smoke_stage_lightgbm_or_sklearn_fallback_thr_0.55_cost_2.0_rows_50000.log,python scripts/validate_hydra_nonoverlap.py --dataset reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_72b.parquet --label-column lab_raw_sign_72b --return-column fwd_ret_72b --horizon-bars 72 --folds 2 --embargo-bars 288 --threshold 0.55 --cost-bps 2.0 --model lightgbm_or_sklearn_fallback --output-dir reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/smoke_stage_lightgbm_or_sklearn_fallback_thr_0.55_cost_2.0_rows_50000 --max-rows 50000
SMOKE_STAGE,reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_72b.parquet,lab_raw_sign_72b,fwd_ret_72b,72,0.68,hist_gradient_boosting,2.0,50000,2,0,WEAK_EDGE_NONOVERLAP,440,0.5113636363636364,0.00018365548351876237,0.16880841274825542,0.08080841274825544,-0.08388535511972917,100,340,random_seed_9,0.002319934289830252,0.07848847845842519,True,smoke promotion gate passed,PROMOTED_TO_MEDIUM,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/smoke_stage_hist_gradient_boosting_thr_0.68_cost_2.0_rows_50000/nonoverlap_raw_sign_72b_lab_raw_sign_72b_20260522_230104/summary.json,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/smoke_stage_hist_gradient_boosting_thr_0.68_cost_2.0_rows_50000/nonoverlap_raw_sign_72b_lab_raw_sign_72b_20260522_230104/summary.md,reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/logs/smoke_stage_hist_gradient_boosting_thr_0.68_cost_2.0_rows_50000.log,python scripts/validate_hydra_nonoverlap.py --dataset reports/hydra_label_lab/hydra_label_lab_20260522T210742Z/datasets/raw_sign_72b.parquet --label-column lab_raw_sign_72b --return-column fwd_ret_72b --horizon-bars 72 --folds 2 --embargo-bars 288 --threshold 0.68 --cost-bps 2.0 --model hist_gradient_boosting --output-dir reports/hydra_research_gauntlet_standard_raw_72b/hydra_gauntlet_standard_lab_raw_sign_72b_20260522T225803Z/stage_outputs/smoke_stage_hist_gradient_boosting_thr_0.68_cost_2.0_rows_50000 --max-rows 50000
