fold,entry_bar,exit_bar,direction,confidence,realized_return,source
1,16954,17025,1,0.949895,0.0084032,model
1,17026,17097,-1,0.193901,0.0050843,model
1,17124,17195,-1,0.336309,-0.00376502,model
1,17196,17267,-1,0.239903,0.00237088,model
1,17268,17339,1,0.66682,0.0168171,model
1,17340,17411,-1,0.062465,0.00266583,model
1,17419,17490,1,0.670636,0.00295084,model
1,17493,17564,-1,0.280662,0.00232879,model
1,17565,17636,-1,0.223496,0.00221268,model
1,17637,17708,1,0.742642,0.01314202,model
1,17709,17780,-1,0.032581,-0.00077527,model
1,17781,17852,-1,0.054655,-0.00230008,model
1,17853,17924,-1,0.195953,0.00465155,model
1,17925,17996,1,0.737266,-0.00069392,model
1,18032,18103,1,0.696379,0.00206879,model
1,18105,18176,-1,0.295271,0.00365704,model
1,18177,18248,-1,0.33348,0.00059771,model
1,18250,18321,-1,0.346148,-0.00150551,model
1,18322,18393,-1,0.088605,0.00556081,model
1,18394,18465,1,0.710059,-0.00043415,model
1,18466,18537,1,0.76143,-0.00402685,model
1,18538,18609,-1,0.170717,0.00026372,model
1,18611,18682,-1,0.283017,0.00224398,model
1,18689,18760,1,0.685191,0.00031731,model
1,18761,18832,1,0.792624,0.00167528,model
1,18833,18904,1,0.733555,0.00453459,model
1,18905,18976,-1,0.259742,-0.00411652,model
1,18977,19048,-1,0.162835,0.00060291,model
1,19050,19121,-1,0.294837,0.00459852,model
1,19122,19193,-1,0.200047,4.67e-05,model
1,19222,19293,1,0.650126,-0.00118816,model
1,19296,19367,-1,0.239504,0.00597376,model
1,19368,19439,1,0.926587,-0.00637847,model
1,19440,19511,1,0.983263,0.00718461,model
1,19512,19583,1,0.886104,0.00138271,model
1,19584,19655,-1,0.272763,0.00282063,model
1,19656,19727,1,0.866105,0.00380645,model
1,19733,19804,1,0.71321,0.00726348,model
1,19805,19876,-1,0.154083,-0.00170818,model
1,19877,19948,-1,0.284291,-0.00075535,model
1,19949,20020,-1,0.166249,0.00753544,model
1,20021,20092,1,0.784214,0.00123419,model
1,20093,20164,1,0.831634,-9.472e-05,model
1,20170,20241,-1,0.286612,-0.00591824,model
1,20242,20313,-1,0.308151,0.00237731,model
1,20314,20385,1,0.734016,0.00223131,model
1,20402,20473,-1,0.335042,-0.00159866,model
1,20474,20545,-1,0.306019,0.01127858,model
1,20553,20624,1,0.663393,0.00160372,model
1,20631,20702,-1,0.297929,0.00015626,model
1,20703,20774,-1,0.241568,-0.0017818,model
1,20775,20846,-1,0.131632,-0.00189687,model
1,20847,20918,-1,0.284409,-0.00135668,model
1,20927,20998,1,0.798208,0.00112546,model
1,20999,21070,-1,0.048386,0.00212389,model
1,21071,21142,-1,0.039511,0.01074531,model
1,21143,21214,1,0.845257,1.263e-05,model
1,21215,21286,1,0.790405,-0.00064864,model
1,21287,21358,1,0.792858,0.00218937,model
1,21362,21433,1,0.655559,0.00549165,model
1,21445,21516,1,0.657141,-0.0017135,model
1,21517,21588,-1,0.315789,0.00020464,model
1,21589,21660,-1,0.234612,0.0111715,model
1,21661,21732,1,0.973794,0.00122915,model
1,21734,21805,1,0.693968,0.00207927,model
1,21806,21877,-1,0.082365,-0.00289632,model
1,21878,21949,-1,0.034108,-0.01415721,model
1,21950,22021,-1,0.318685,0.00264428,model
1,22022,22093,1,0.905509,0.00028161,model
1,22094,22165,-1,0.095402,-0.00217025,model
1,22166,22237,-1,0.100969,-0.00817508,model
1,22238,22309,-1,0.193648,0.00245667,model
1,22310,22381,1,0.919323,-0.00147393,model
1,22382,22453,-1,0.32042,-0.00118295,model
1,22454,22525,-1,0.096089,0.00450102,model
1,22538,22609,1,0.692386,-0.00134728,model
1,22612,22683,-1,0.301721,0.00132981,model
1,22685,22756,-1,0.341981,0.01927433,model
1,22757,22828,1,0.932992,0.00330782,model
1,22829,22900,1,0.75317,-0.00115113,model
1,22901,22972,-1,0.06371,0.00109321,model
1,22973,23044,-1,0.047759,0.00767759,model
1,23045,23116,-1,0.314857,-0.00882575,model
1,23117,23188,-1,0.130389,-0.00041876,model
1,23189,23260,-1,0.069901,-0.00411908,model
1,23261,23332,-1,0.032918,-0.00056111,model
1,23333,23404,-1,0.191697,0.00134777,model
1,23405,23476,1,0.696198,0.00136165,model
1,23507,23578,-1,0.234305,-0.00109589,model
1,23579,23650,-1,0.287331,-0.0005454,model
1,23651,23722,-1,0.323919,-0.00088967,model
1,23725,23796,-1,0.298816,0.00206326,model
1,23797,23868,-1,0.09072,0.00204865,model
1,23870,23941,-1,0.338957,0.00317721,model
1,23943,24014,-1,0.293449,0.00456716,model
1,24020,24091,1,0.684972,0.00145357,model
1,24104,24175,1,0.669071,0.00035508,model
1,24179,24250,1,0.767483,0.00015072,model
1,24251,24322,-1,0.068169,-0.00036932,model
1,24323,24394,-1,0.175125,-0.00378582,model
1,24410,24481,1,0.682365,-0.00036386,model
1,24482,24553,-1,0.099149,0.00230445,model
1,24554,24625,-1,0.247172,0.00439658,model
1,24626,24697,-1,0.301443,-0.00304919,model
1,24718,24789,1,0.672225,-0.00155044,model
1,24797,24868,-1,0.348309,-0.00884961,model
1,24869,24940,-1,0.024787,-7.873e-05,model
1,24941,25012,-1,0.140127,0.00213282,model
1,25014,25085,-1,0.122517,-0.00251069,model
1,25086,25157,-1,0.056564,-0.01109332,model
1,25158,25229,-1,0.059219,-0.0053986,model
1,25230,25301,-1,0.308361,0.00132055,model
1,25303,25374,-1,0.343995,-0.00023646,model
1,25376,25447,-1,0.286571,-0.00967583,model
1,25448,25519,-1,0.096261,0.00368272,model
1,25520,25591,1,0.673997,-0.00118141,model
1,25593,25664,-1,0.299495,0.00139708,model
1,25673,25744,1,0.677475,0.0086085,model
1,25747,25818,-1,0.348517,0.00172183,model
1,25819,25890,1,0.85351,0.00510453,model
1,25891,25962,-1,0.266722,0.00098557,model
1,25963,26034,-1,0.069926,0.0008124,model
1,26035,26106,-1,0.297701,0.00347595,model
1,26107,26178,-1,0.146402,0.00224542,model
1,26179,26250,-1,0.03396,0.00832872,model
1,26251,26322,-1,0.233551,0.00086431,model
1,26323,26394,1,0.651124,0.0005214,model
1,26395,26466,-1,0.245728,0.00171752,model
1,26467,26538,-1,0.147029,-0.00384337,model
1,26539,26610,-1,0.151627,0.00129381,model
1,26619,26690,-1,0.328888,-0.00164722,model
1,26691,26762,-1,0.298887,0.00158029,model
1,26763,26834,-1,0.313437,0.00461478,model
1,26835,26906,1,0.926006,0.00110221,model
1,26907,26978,1,0.796114,0.00192192,model
1,26979,27050,-1,0.28617,-0.00292919,model
1,27051,27122,-1,0.024264,0.00694166,model
1,27123,27194,1,0.880293,0.00134398,model
1,27201,27272,1,0.69844,-0.00068707,model
1,27273,27344,-1,0.111461,-0.00178249,model
1,27345,27416,-1,0.100511,0.00124318,model
1,27417,27488,-1,0.119804,0.00723663,model
1,27490,27561,1,0.658357,-0.00679329,model
1,27562,27633,1,0.888516,0.00092,model
1,27634,27705,-1,0.21543,-0.00108179,model
1,27706,27777,-1,0.061319,0.00367223,model
1,27778,27849,-1,0.032468,-0.00133271,model
1,27850,27921,-1,0.066033,-0.00098974,model
1,27924,27995,-1,0.294804,-8.201e-05,model
1,27996,28067,-1,0.055077,0.0017435,model
1,28068,28139,-1,0.06572,-0.00180616,model
1,28140,28211,-1,0.250598,0.00021113,model
1,28212,28283,-1,0.121804,0.00025325,model
1,28284,28355,-1,0.216301,-0.00310902,model
1,28356,28427,-1,0.089225,0.00155183,model
1,28428,28499,1,0.705767,0.00131357,model
1,28500,28571,-1,0.063316,0.00471359,model
1,28572,28643,-1,0.052751,-0.00188532,model
1,28650,28721,1,0.684314,-0.00062263,model
1,28722,28793,1,0.902759,0.00095944,model
1,28794,28865,-1,0.105274,4.961e-05,model
1,28866,28937,-1,0.090532,-0.0038606,model
1,28938,29009,-1,0.185956,-0.00056567,model
1,29010,29081,-1,0.169499,0.00369287,model
1,29082,29153,-1,0.149202,-0.00056366,model
1,29154,29225,-1,0.090756,0.00459581,model
1,29226,29297,1,0.734578,-0.00676665,model
1,29298,29369,1,0.911024,3.695e-05,model
1,29373,29444,-1,0.321696,-0.00090445,model
1,29445,29516,-1,0.053853,0.00169492,model
1,29517,29588,-1,0.027369,0.0012669,model
1,29589,29660,-1,0.16804,0.00056633,model
1,29662,29733,-1,0.197571,0.00071632,model
1,29737,29808,1,0.679219,0.00288521,model
1,29809,29880,-1,0.073161,-0.00020462,model
1,29881,29952,-1,0.037431,0.00024537,model
1,29968,30039,-1,0.332606,-0.0064918,model
1,30040,30111,-1,0.023734,-0.00097095,model
1,30112,30183,-1,0.2028,6.029e-05,model
1,30184,30255,-1,0.212945,0.0060175,model
1,30256,30327,-1,0.079716,-0.00248962,model
1,30328,30399,-1,0.077504,-0.00044542,model
1,30400,30471,-1,0.048326,0.00177779,model
1,30472,30543,-1,0.054047,-0.00097013,model
1,30544,30615,-1,0.045592,0.00424104,model
1,30618,30689,-1,0.03449,-0.00388117,model
1,30690,30761,-1,0.0152,0.00324217,model
1,30762,30833,-1,0.031297,-0.00629347,model
1,30834,30905,-1,0.054093,-0.00098584,model
1,30906,30977,-1,0.077098,-0.00809004,model
1,30978,31049,-1,0.005333,-0.00659331,model
1,31050,31121,-1,0.00578,0.00273247,model
1,31122,31193,-1,0.095576,-0.00021218,model
1,31194,31265,-1,0.022279,0.00078239,model
1,31266,31337,-1,0.347499,0.00602864,model
1,31338,31409,-1,0.128054,0.00749475,model
1,31410,31481,-1,0.24155,0.00060575,model
1,31482,31553,-1,0.310295,0.00453298,model
1,31554,31625,-1,0.076769,0.00050956,model
1,31626,31697,-1,0.050614,0.00052638,model
1,31698,31769,-1,0.143446,0.00062437,model
1,31770,31841,-1,0.020899,0.00281663,model
1,31842,31913,-1,0.101766,-0.00139229,model
1,31914,31985,-1,0.196905,-0.00198077,model
1,31986,32057,-1,0.209519,0.00312554,model
1,32058,32129,-1,0.075744,0.00034083,model
1,32130,32201,-1,0.063758,-0.0005193,model
1,32202,32273,-1,0.097824,-0.00044879,model
1,32274,32345,-1,0.032673,0.00056251,model
1,32346,32417,-1,0.003739,-0.00063615,model
1,32418,32489,-1,0.016717,-0.00577324,model
1,32490,32561,-1,0.154487,0.0027755,model
1,32562,32633,-1,0.10203,0.00177512,model
1,32634,32705,-1,0.18772,-0.00275117,model
1,32706,32777,-1,0.296379,0.00125874,model
1,32778,32849,-1,0.080069,0.00066544,model
1,32850,32921,-1,0.162074,0.00584911,model
1,32922,32993,-1,0.330395,-0.00192181,model
1,33003,33074,1,0.654824,-0.00107182,model
1,33075,33146,-1,0.091747,0.00339471,model
1,33147,33218,-1,0.133352,-0.00012744,model
1,33219,33290,-1,0.182758,0.00112486,model
1,33291,33362,-1,0.299953,0.00166329,model
1,33363,33434,-1,0.14034,0.0005868,model
1,33439,33510,-1,0.315623,-0.00176899,model
1,33511,33582,-1,0.090312,-0.00062894,model
1,33583,33619,-1,0.091368,-0.00084853,model
2,33620,33691,-1,0.1352,-0.0005009,model
2,33692,33763,-1,0.195784,4.02e-05,model
2,33764,33835,-1,0.215864,0.00139344,model
2,33836,33907,-1,0.240398,0.00088261,model
2,33908,33979,-1,0.208875,-0.00160696,model
2,33986,34057,-1,0.329515,0.0013079,model
2,34058,34129,-1,0.033317,0.00089531,model
2,34130,34201,-1,0.109651,0.01305611,model
2,34202,34273,1,0.924323,0.00211607,model
2,34274,34345,1,0.815976,-0.00046696,model
2,34348,34419,-1,0.344646,5.631e-05,model
2,34432,34503,-1,0.301675,-0.00501193,model
2,34504,34575,-1,0.247896,0.00349129,model
2,34578,34649,1,0.682217,0.00448265,model
2,34650,34721,-1,0.128578,0.00048596,model
2,34722,34793,-1,0.144151,0.00285346,model
2,34794,34865,1,0.673171,-0.0002401,model
2,34869,34940,-1,0.265712,-0.00262367,model
2,34941,35012,-1,0.223884,0.00190356,model
2,35047,35118,1,0.675266,0.00043032,model
2,35121,35192,-1,0.325538,0.005905,model
2,35203,35274,-1,0.34828,0.00123419,model
2,35275,35346,-1,0.240051,-0.00265732,model
2,35347,35418,-1,0.142935,0.00178129,model
2,35419,35490,-1,0.049378,0.00153356,model
2,35522,35593,-1,0.345341,0.000417,model
2,35594,35665,1,0.805524,0.00163929,model
2,35673,35744,-1,0.199937,0.00084641,model
2,35745,35816,-1,0.103992,0.00602126,model
2,35825,35896,1,0.667401,0.0018506,model
2,35913,35984,-1,0.321332,0.00147173,model
2,35985,36056,-1,0.142722,0.00213699,model
2,36057,36128,-1,0.210196,-0.00016112,model
2,36129,36200,-1,0.324219,-7.029e-05,model
