trade_num,entry_bar,exit_bar,direction,return_net,cumulative_equity
1,16954,17025,1,0.0082032,0.0082032
2,17026,17097,-1,0.0048843,0.0130875
3,17098,17169,1,0.0034329,0.0165204
4,17170,17241,-1,0.00479526,0.02131566
5,17242,17313,1,0.01654346,0.03785912
6,17314,17385,-1,-0.00157174,0.03628737
7,17386,17457,-1,-0.00019003,0.03609734
8,17458,17529,-1,-0.00142675,0.03467059
9,17530,17601,-1,0.00517521,0.0398458
10,17602,17673,-1,-0.01558189,0.02426391
11,17674,17745,-1,-0.00103226,0.02323165
12,17746,17817,-1,-0.0018858,0.02134585
13,17818,17889,-1,0.00436532,0.02571117
14,17890,17961,1,-0.00111335,0.02459782
15,17962,18033,-1,0.00247731,0.02707513
16,18034,18105,1,0.00217487,0.02925
17,18106,18177,-1,0.00297988,0.03222988
18,18178,18249,-1,0.00045878,0.03268866
19,18250,18321,-1,-0.00170551,0.03098315
20,18322,18393,-1,0.00536081,0.03634396
21,18394,18465,-1,0.00023415,0.03657811
22,18468,18539,1,-0.0042513,0.03232682
23,18540,18611,-1,-0.00090806,0.03141876
24,18612,18683,-1,0.00287159,0.03429035
25,18684,18755,1,-0.00116063,0.03312972
26,18756,18827,1,0.00180686,0.03493658
27,18828,18899,1,0.00651166,0.04144824
28,18900,18971,-1,-0.00098307,0.04046518
29,18972,19043,-1,-0.00105126,0.03941392
30,19044,19115,-1,0.00467727,0.04409119
31,19116,19187,-1,0.00030575,0.04439694
32,19188,19259,-1,0.000143,0.04453994
33,19261,19332,1,0.0007531,0.04529304
34,19333,19404,-1,0.00738529,0.05267833
35,19405,19476,1,0.00381578,0.0564941
36,19477,19548,1,-0.00253914,0.05395496
37,19549,19620,-1,0.00059058,0.05454554
38,19624,19695,-1,0.00104434,0.05558988
39,19696,19767,1,0.00399069,0.05958056
40,19772,19843,1,0.00674483,0.0663254
41,19844,19915,-1,0.00261871,0.0689441
42,19916,19987,-1,-0.003233,0.0657111
43,19988,20059,-1,0.00437982,0.07009092
44,20060,20131,1,-0.00126977,0.06882114
45,20132,20203,1,0.00074652,0.06956767
46,20205,20276,-1,-0.00122876,0.0683389
47,20277,20348,1,0.00115648,0.06949539
48,20349,20420,1,-0.00049432,0.06900107
49,20421,20492,1,2.292e-05,0.06902399
50,20493,20564,-1,0.00738779,0.07641178
51,20565,20636,1,0.00049948,0.07691126
52,20638,20709,1,0.00070859,0.07761985
53,20710,20781,-1,-0.00179786,0.075822
54,20782,20853,-1,-0.00288115,0.07294085
55,20854,20925,-1,-0.00015216,0.07278869
56,20927,20998,1,0.00092546,0.07371415
57,20999,21070,-1,0.00192389,0.07563804
58,21071,21142,-1,0.01054531,0.08618335
59,21143,21214,1,-0.00018737,0.08599598
60,21215,21286,1,-0.00084864,0.08514734
61,21287,21358,1,0.00198937,0.08713672
62,21359,21430,-1,-0.00610486,0.08103185
63,21431,21502,-1,0.00279397,0.08382583
64,21503,21574,1,0.00172097,0.0855468
65,21575,21646,-1,0.00675298,0.09229978
66,21647,21718,1,-0.00699252,0.08530726
67,21719,21790,1,0.0030325,0.08833976
68,21791,21862,-1,-0.000684,0.08765576
69,21863,21934,-1,-0.02010127,0.06755449
70,21935,22006,-1,0.00519762,0.07275211
71,22007,22078,-1,-0.0011567,0.07159542
72,22079,22150,-1,-0.00093127,0.07066415
73,22151,22222,-1,-0.01014325,0.0605209
74,22223,22294,-1,0.00259069,0.06311159
75,22295,22366,1,-0.00159103,0.06152055
76,22367,22438,-1,-0.00169218,0.05982838
77,22439,22510,-1,0.00346999,0.06329837
78,22511,22582,-1,0.00075921,0.06405758
79,22583,22654,1,-0.00260871,0.06144887
80,22656,22727,-1,0.01517942,0.07662828
81,22728,22799,1,-0.00135457,0.07527372
82,22800,22871,1,-9.817e-05,0.07517555
83,22872,22943,-1,0.00037815,0.07555369
84,22944,23015,-1,0.00840765,0.08396135
85,23016,23087,-1,-0.00497024,0.07899111
86,23088,23159,-1,-0.00501221,0.0739789
87,23160,23231,-1,0.00141207,0.07539097
88,23232,23303,-1,-0.00539084,0.07000013
89,23304,23375,-1,0.00021376,0.07021389
90,23376,23447,-1,-0.00104122,0.06917267
91,23448,23519,-1,-0.00796806,0.0612046
92,23520,23591,-1,0.00315852,0.06436312
93,23592,23663,-1,-0.00068861,0.06367451
94,23664,23735,-1,9.096e-05,0.06376547
95,23736,23807,-1,0.00262358,0.06638905
96,23808,23879,-1,-0.00124331,0.06514573
97,23880,23951,-1,0.0032943,0.06844003
98,23952,24023,-1,0.00308186,0.07152188
99,24024,24095,-1,-0.00023674,0.07128514
100,24103,24174,1,-0.00012528,0.07115987
101,24176,24247,-1,-0.00012486,0.07103501
102,24248,24319,-1,-0.00158291,0.0694521
103,24320,24391,-1,-0.00205662,0.06739547
104,24392,24463,1,0.00056473,0.0679602
105,24464,24535,-1,0.0033594,0.0713196
106,24536,24607,-1,-0.0037657,0.0675539
107,24608,24679,-1,0.00454246,0.07209635
108,24680,24751,1,0.00077292,0.07286927
109,24752,24823,-1,-9.21e-06,0.07286006
110,24824,24895,-1,-0.00506858,0.06779148
111,24896,24967,-1,-0.00321972,0.06457177
112,24968,25039,-1,3.038e-05,0.06460215
113,25040,25111,-1,-0.00077795,0.0638242
114,25112,25183,-1,-0.01821892,0.04560528
115,25184,25255,-1,0.00052769,0.04613297
116,25256,25327,-1,0.00036887,0.04650184
117,25328,25399,-1,-0.00414452,0.04235732
118,25400,25471,-1,-0.00425484,0.03810248
119,25472,25543,-1,0.00189351,0.03999599
120,25544,25615,-1,0.00233771,0.04233371
121,25616,25687,-1,0.00246266,0.04479636
122,25688,25759,-1,-0.008357,0.03643937
123,25760,25831,-1,0.00152493,0.0379643
124,25832,25903,1,0.00400967,0.04197397
125,25904,25975,-1,0.00112149,0.04309547
126,25976,26047,-1,0.00082246,0.04391793
127,26048,26119,-1,0.0026052,0.04652313
128,26120,26191,-1,0.00091241,0.04743554
129,26192,26263,-1,0.00953388,0.05696942
130,26264,26335,-1,-0.00025419,0.05671523
131,26336,26407,-1,-0.00028231,0.05643292
132,26408,26479,-1,-0.00118265,0.05525027
133,26480,26551,-1,9.51e-06,0.05525978
134,26552,26623,-1,-0.00058717,0.05467261
135,26624,26695,-1,-0.00196661,0.052706
136,26696,26767,-1,0.0022762,0.0549822
137,26768,26839,-1,0.00355799,0.05854019
138,26840,26911,1,0.00112165,0.05966183
139,26912,26983,1,0.00174549,0.06140733
140,26984,27055,-1,-0.00327426,0.05813307
141,27056,27127,-1,0.00697211,0.06510518
142,27128,27199,1,0.00068922,0.06579439
143,27201,27272,1,-0.00088707,0.06490733
144,27273,27344,-1,-0.00198249,0.06292483
145,27345,27416,-1,0.00104318,0.06396801
146,27417,27488,-1,0.00703663,0.07100465
147,27489,27560,-1,0.00662834,0.07763299
148,27561,27632,1,0.0006327,0.07826569
149,27633,27704,-1,-0.00054987,0.07771582
150,27705,27776,-1,0.00252358,0.0802394
151,27777,27848,-1,-0.00090086,0.07933853
152,27849,27920,-1,-0.00140713,0.0779314
153,27921,27992,-1,-0.00161874,0.07631266
154,27993,28064,-1,0.0023315,0.07864416
155,28065,28136,-1,-0.00187016,0.07677401
156,28137,28208,-1,-0.00049098,0.07628302
157,28209,28280,-1,-0.00049678,0.07578624
158,28281,28352,-1,-0.00233457,0.07345168
159,28353,28424,-1,0.00126104,0.07471272
160,28425,28496,-1,-0.00113328,0.07357944
161,28497,28568,-1,0.00524274,0.07882218
162,28569,28640,-1,-0.00311672,0.07570546
163,28641,28712,-1,-0.00057939,0.07512606
164,28713,28784,1,-0.00083563,0.07429043
165,28786,28857,-1,-0.00340558,0.07088486
166,28858,28929,-1,-0.00198529,0.06889957
167,28930,29001,-1,-0.00010369,0.06879588
168,29002,29073,-1,0.00277292,0.07156879
169,29074,29145,-1,-0.00031549,0.0712533
170,29146,29217,-1,0.0040083,0.0752616
171,29218,29289,1,-0.00590478,0.06935682
172,29290,29361,1,-0.00159211,0.06776471
173,29362,29433,-1,-0.00069001,0.0670747
174,29434,29505,-1,0.00103057,0.06810527
175,29506,29577,-1,0.00053941,0.06864468
176,29578,29649,1,-0.00197358,0.0666711
177,29650,29721,-1,0.00068328,0.06735438
178,29722,29793,-1,-0.00502464,0.06232974
179,29794,29865,-1,-0.00282673,0.05950301
180,29866,29937,-1,0.00313153,0.06263454
181,29938,30009,-1,-0.00375248,0.05888207
182,30010,30081,-1,-0.00356782,0.05531425
183,30082,30153,-1,-0.00079203,0.05452222
184,30154,30225,-1,0.0047206,0.05924282
185,30226,30297,-1,-0.0018381,0.05740472
186,30298,30369,-1,-0.00076995,0.05663477
187,30370,30441,-1,0.00247924,0.059114
188,30442,30513,-1,-0.00217055,0.05694345
189,30514,30585,-1,0.00268559,0.05962904
190,30586,30657,-1,-0.002902,0.05672705
191,30658,30729,-1,0.00206515,0.0587922
192,30730,30801,-1,-0.00044464,0.05834756
193,30802,30873,-1,-0.00533834,0.05300922
194,30874,30945,-1,-0.00223248,0.05077675
195,30946,31017,-1,-0.01013377,0.04064297
196,31018,31089,-1,-0.00249692,0.03814606
197,31090,31161,-1,0.00181024,0.0399563
198,31162,31233,-1,-0.00214039,0.03781591
199,31234,31305,-1,0.00622491,0.04404082
200,31306,31377,1,-0.0095128,0.03452802
