fold,entry_bar,exit_bar,direction,confidence,realized_return,source
1,16954,17025,1,0.916754,0.0084032,model
1,17026,17097,-1,0.198194,0.0050843,model
1,17122,17193,-1,0.235582,-0.0039771,model
1,17194,17265,-1,0.166112,0.00283507,model
1,17274,17345,-1,0.151139,-0.00998459,model
1,17346,17417,-1,0.105518,0.00251718,model
1,17422,17493,-1,0.250945,-0.00195451,model
1,17504,17575,-1,0.189664,0.00290707,model
1,17576,17647,-1,0.155,-0.00221593,model
1,17656,17727,-1,0.109443,0.00070404,model
1,17728,17799,-1,0.01769,0.00020658,model
1,17811,17882,-1,0.151057,0.00315963,model
1,17885,17956,1,0.736799,-0.00297161,model
1,18036,18107,1,0.736098,0.00446692,model
1,18138,18209,1,0.751997,-0.00111442,model
1,18217,18288,-1,0.277856,-0.00020747,model
1,18289,18360,-1,0.162775,0.00310159,model
1,18361,18432,-1,0.19015,0.00539081,model
1,18433,18504,1,0.872604,-0.00225554,model
1,18512,18583,-1,0.264865,0.00175545,model
1,18593,18664,-1,0.27773,0.0007701,model
1,18692,18763,1,0.730346,0.00100483,model
1,18765,18836,1,0.754682,0.00041921,model
1,18837,18908,1,0.838848,0.0048142,model
1,18909,18980,-1,0.192363,-0.00471904,model
1,18981,19052,-1,0.160544,0.00103675,model
1,19053,19124,-1,0.092322,0.0054101,model
1,19130,19201,-1,0.225092,-0.00071091,model
1,19230,19301,1,0.757158,0.00118139,model
1,19302,19373,-1,0.138355,0.00602521,model
1,19374,19445,1,0.880807,-0.00455694,model
1,19446,19517,1,0.883174,0.00354738,model
1,19518,19589,1,0.903644,0.00118623,model
1,19599,19670,1,0.788639,-0.00145378,model
1,19671,19742,1,0.887642,0.00506187,model
1,19778,19849,-1,0.274785,-0.00421462,model
1,19864,19935,-1,0.210389,0.00103002,model
1,19936,20007,-1,0.155474,0.00150694,model
1,20010,20081,-1,0.224993,0.00541286,model
1,20082,20153,1,0.722661,-0.00014097,model
1,20172,20243,-1,0.22162,-0.00701331,model
1,20244,20315,-1,0.184219,0.00420541,model
1,20336,20407,1,0.727011,0.00199844,model
1,20461,20532,-1,0.233061,0.01055355,model
1,20554,20625,1,0.7511,0.00287364,model
1,20630,20701,-1,0.279937,0.00034426,model
1,20709,20780,-1,0.207701,-0.00160317,model
1,20781,20852,-1,0.162368,-0.00290469,model
1,20853,20924,-1,0.04762,-1.289e-05,model
1,20927,20998,1,0.770983,0.00112546,model
1,20999,21070,-1,0.072111,0.00212389,model
1,21071,21142,-1,0.055988,0.01074531,model
1,21143,21214,1,0.741544,1.263e-05,model
1,21215,21286,1,0.790841,-0.00064864,model
1,21289,21360,1,0.758585,0.00295322,model
1,21361,21432,-1,0.22155,-0.00479709,model
1,21452,21523,1,0.732286,-0.00192653,model
1,21554,21625,-1,0.263604,0.00418861,model
1,21626,21697,1,0.72393,-0.00786935,model
1,21698,21769,1,0.85895,0.00446379,model
1,21782,21853,1,0.724374,0.00019532,model
1,21854,21925,-1,0.117318,-0.01768123,model
1,21926,21997,-1,0.13165,0.00159944,model
1,21998,22069,-1,0.173685,0.00154784,model
1,22070,22141,-1,0.198908,-0.00223357,model
1,22142,22213,-1,0.097779,-0.00878214,model
1,22214,22285,-1,0.033087,0.00131041,model
1,22286,22357,-1,0.266777,0.00158568,model
1,22365,22436,-1,0.264533,-0.00249379,model
1,22437,22508,-1,0.096261,0.0060885,model
1,22511,22582,-1,0.225365,0.00095921,model
1,22583,22654,1,0.757614,-0.00240871,model
1,22658,22729,-1,0.200865,0.01817387,model
1,22730,22801,1,0.866355,0.00118412,model
1,22803,22874,1,0.816163,0.00050121,model
1,22875,22946,-1,0.145612,0.00159832,model
1,22947,23018,-1,0.07538,0.00677675,model
1,23019,23090,-1,0.20822,-0.00435284,model
1,23091,23162,-1,0.224549,-0.0050032,model
1,23163,23234,-1,0.040626,0.00278117,model
1,23235,23306,-1,0.035407,-0.00577684,model
1,23307,23378,-1,0.10998,0.00067059,model
1,23382,23453,-1,0.279859,0.00032401,model
1,23454,23525,-1,0.259106,-0.0076095,model
1,23526,23597,-1,0.020615,0.0026,model
