trade_num,entry_bar,exit_bar,direction,return_net,cumulative_equity
1,25292,25363,-1,-0.00230742,-0.00230742
2,25364,25435,-1,-0.00536699,-0.00767441
3,25436,25507,-1,-0.00015623,-0.00783064
4,25508,25579,-1,0.00197453,-0.00585611
5,25621,25692,1,-0.00319151,-0.00904762
6,25693,25764,1,0.00822321,-0.00082441
7,25765,25836,-1,-0.00025268,-0.00107709
8,25837,25908,-1,-0.00447438,-0.00555147
9,25909,25980,-1,0.00043898,-0.0051125
10,26002,26073,1,-0.00249278,-0.00760528
11,26074,26145,1,-0.00171141,-0.00931669
12,26146,26217,1,-0.00237039,-0.01168708
13,26226,26297,-1,0.01026789,-0.00141919
14,26298,26369,1,0.00029364,-0.00112555
15,26370,26441,1,-0.00208026,-0.00320582
16,26442,26513,1,0.00251926,-0.00068656
17,26517,26588,-1,-0.00094814,-0.0016347
18,26598,26669,1,0.00066671,-0.00096799
19,26680,26751,1,-0.0025457,-0.00351368
20,26752,26823,1,-0.00264786,-0.00616155
21,26824,26895,1,0.00079512,-0.00536643
22,26899,26970,1,0.00097173,-0.0043947
23,26971,27042,-1,-0.00435562,-0.00875032
24,27043,27114,-1,0.00649632,-0.002254
25,27115,27186,1,-0.00038012,-0.00263413
26,27206,27277,1,-0.00086306,-0.00349718
27,27304,27375,1,0.0009481,-0.00254909
28,27376,27447,-1,0.00655431,0.00400522
29,27448,27519,1,-0.00733459,-0.00332937
30,27520,27591,1,-0.00105679,-0.00438616
31,27592,27663,1,0.00022007,-0.00416609
32,27664,27735,-1,-0.00077426,-0.00494034
33,27736,27807,-1,0.00074844,-0.00419191
34,27808,27879,-1,-0.00056071,-0.00475262
35,27880,27951,-1,-8.595e-05,-0.00483857
36,27953,28024,1,-0.00020421,-0.00504278
37,28025,28096,-1,-0.00062973,-0.00567251
38,28097,28168,-1,-0.00061608,-0.00628859
39,28169,28240,-1,-0.00122159,-0.00751019
40,28241,28312,-1,0.00069542,-0.00681477
41,28313,28384,-1,-0.00031775,-0.00713252
42,28385,28456,-1,-0.00193483,-0.00906735
43,28457,28528,-1,0.00279256,-0.00627479
44,28529,28600,-1,-0.01379593,-0.02007073
45,28601,28672,-1,0.01093666,-0.00913407
46,28673,28744,-1,0.00243277,-0.00670131
47,28745,28816,1,-0.00117706,-0.00787837
48,28818,28889,1,0.00609191,-0.00178646
49,28890,28961,-1,0.00034761,-0.00143885
50,28983,29054,-1,-3.327e-05,-0.00147212
51,29101,29172,1,0.00193936,0.00046724
52,29173,29244,-1,0.00394291,0.00441015
53,29248,29319,1,-0.00991278,-0.00550263
54,29320,29391,1,0.00228027,-0.00322236
55,29401,29472,-1,-0.00058301,-0.00380536
56,29473,29544,-1,0.002875,-0.00093037
57,29545,29616,-1,0.00012199,-0.00080837
58,29626,29697,1,0.0010347,0.00022632
59,29699,29770,-1,-0.00119908,-0.00097276
60,29773,29844,-1,-0.00420069,-0.00517345
61,29845,29916,-1,0.00346198,-0.00171147
62,29938,30009,-1,-0.00375248,-0.00546395
63,30010,30081,-1,-0.00356782,-0.00903177
64,30082,30153,-1,-0.00079203,-0.0098238
65,30154,30225,-1,0.0047206,-0.0051032
66,30226,30297,-1,-0.0018381,-0.00694129
67,30298,30369,-1,-0.00076995,-0.00771125
68,30370,30441,-1,0.00247924,-0.00523201
69,30451,30522,-1,-0.00245407,-0.00768608
70,30523,30594,-1,0.00265805,-0.00502803
71,30601,30672,1,0.00568363,0.0006556
72,30673,30744,-1,0.00120069,0.00185629
73,30750,30821,-1,-0.00694726,-0.00509097
74,30822,30893,-1,-0.00037682,-0.00546779
75,30894,30965,-1,-0.00628555,-0.01175334
76,30966,31037,-1,-0.00708517,-0.01883852
77,31038,31109,-1,0.00094383,-0.01789469
78,31120,31191,-1,-0.00046943,-0.01836412
79,31192,31263,-1,0.00103383,-0.01733029
80,31264,31335,1,-0.00551251,-0.0228428
81,31337,31408,1,-0.00787119,-0.030714
82,31469,31540,1,-0.00705531,-0.03776931
83,31625,31696,-1,0.00069331,-0.037076
84,31714,31785,1,0.00099025,-0.03608575
85,31786,31857,-1,0.00410772,-0.03197803
86,31858,31929,-1,-0.0013795,-0.03335753
87,31938,32009,1,0.00186559,-0.03149193
