fold,entry_bar,exit_bar,direction,confidence,realized_return,source
1,25292,25363,-1,0.298692,-0.00210742,model
1,25364,25435,-1,0.267713,-0.00516699,model
1,25436,25507,-1,0.130852,4.377e-05,model
1,25508,25579,-1,0.186687,0.00217453,model
1,25621,25692,1,0.719136,-0.00299151,model
1,25693,25764,1,0.837057,0.00842321,model
1,25765,25836,-1,0.228846,-5.268e-05,model
1,25837,25908,-1,0.268779,-0.00427438,model
1,25909,25980,-1,0.234453,0.00063898,model
1,26002,26073,1,0.769137,-0.00229278,model
1,26074,26145,1,0.892211,-0.00151141,model
1,26146,26217,1,0.838636,-0.00217039,model
1,26226,26297,-1,0.287143,0.01046789,model
1,26298,26369,1,0.791733,0.00049364,model
1,26370,26441,1,0.82046,-0.00188026,model
1,26442,26513,1,0.770615,0.00271926,model
1,26517,26588,-1,0.25688,-0.00074814,model
1,26598,26669,1,0.708167,0.00086671,model
1,26680,26751,1,0.711102,-0.0023457,model
1,26752,26823,1,0.87778,-0.00244786,model
1,26824,26895,1,0.906367,0.00099512,model
1,26899,26970,1,0.704567,0.00117173,model
1,26971,27042,-1,0.190453,-0.00415562,model
1,27043,27114,-1,0.026532,0.00669632,model
1,27115,27186,1,0.710171,-0.00018012,model
1,27206,27277,1,0.718752,-0.00066306,model
1,27304,27375,1,0.733355,0.0011481,model
1,27376,27447,-1,0.160553,0.00675431,model
1,27448,27519,1,0.752287,-0.00713459,model
1,27520,27591,1,0.902928,-0.00085679,model
1,27592,27663,1,0.842929,0.00042007,model
1,27664,27735,-1,0.174661,-0.00057426,model
1,27736,27807,-1,0.02958,0.00094844,model
1,27808,27879,-1,0.033862,-0.00036071,model
1,27880,27951,-1,0.201678,0.00011405,model
1,27953,28024,1,0.808196,-4.21e-06,model
1,28025,28096,-1,0.046729,-0.00042973,model
1,28097,28168,-1,0.101375,-0.00041608,model
1,28169,28240,-1,0.165664,-0.00102159,model
1,28241,28312,-1,0.272942,0.00089542,model
1,28313,28384,-1,0.092725,-0.00011775,model
1,28385,28456,-1,0.17632,-0.00173483,model
1,28457,28528,-1,0.163161,0.00299256,model
1,28529,28600,-1,0.047495,-0.01359593,model
1,28601,28672,-1,0.027075,0.01113666,model
1,28673,28744,-1,0.195765,0.00263277,model
1,28745,28816,1,0.784631,-0.00097706,model
1,28818,28889,1,0.704447,0.00629191,model
1,28890,28961,-1,0.081742,0.00054761,model
1,28983,29054,-1,0.277272,0.00016673,model
1,29101,29172,1,0.7104,0.00213936,model
1,29173,29244,-1,0.156494,0.00414291,model
1,29248,29319,1,0.748445,-0.00971278,model
1,29320,29391,1,0.957496,0.00248027,model
1,29401,29472,-1,0.254855,-0.00038301,model
1,29473,29544,-1,0.132949,0.003075,model
1,29545,29616,-1,0.100446,0.00032199,model
1,29626,29697,1,0.728189,0.0012347,model
1,29699,29770,-1,0.29517,-0.00099908,model
1,29773,29844,-1,0.258756,-0.00400069,model
1,29845,29916,-1,0.011157,0.00366198,model
1,29938,30009,-1,0.272778,-0.00355248,model
1,30010,30081,-1,0.094239,-0.00336782,model
1,30082,30153,-1,0.020643,-0.00059203,model
1,30154,30225,-1,0.067959,0.0049206,model
1,30226,30297,-1,0.252739,-0.0016381,model
1,30298,30369,-1,0.159955,-0.00056995,model
1,30370,30441,-1,0.265223,0.00267924,model
1,30451,30522,-1,0.269203,-0.00225407,model
1,30523,30594,-1,0.25635,0.00285805,model
1,30601,30672,1,0.751774,0.00588363,model
1,30673,30744,-1,0.072135,0.00140069,model
1,30750,30821,-1,0.283138,-0.00674726,model
1,30822,30893,-1,0.095195,-0.00017682,model
1,30894,30965,-1,0.166459,-0.00608555,model
1,30966,31037,-1,0.053812,-0.00688517,model
1,31038,31109,-1,0.034267,0.00114383,model
1,31120,31191,-1,0.255952,-0.00026943,model
1,31192,31263,-1,0.066819,0.00123383,model
1,31264,31335,1,0.722551,-0.00531251,model
1,31337,31408,1,0.751161,-0.00767119,model
1,31469,31540,1,0.716798,-0.00685531,model
1,31625,31696,-1,0.257875,0.00089331,model
1,31714,31785,1,0.709432,0.00119025,model
1,31786,31857,-1,0.078741,0.00430772,model
1,31858,31929,-1,0.274485,-0.0011795,model
1,31938,32009,1,0.918142,0.00206559,model
1,32010,32081,-1,0.247013,0.0040191,model
1,32082,32153,-1,0.104779,-0.00023779,model
1,32154,32225,-1,0.181697,-0.00131579,model
1,32241,32312,-1,0.243354,-0.00087304,model
1,32313,32384,-1,0.029454,0.00361415,model
1,32385,32456,-1,0.059054,-0.00323881,model
1,32457,32528,-1,0.167041,-0.00693126,model
1,32529,32600,-1,0.019869,0.0035697,model
1,32602,32673,-1,0.22729,-0.00011365,model
1,32675,32746,-1,0.286309,-0.00023317,model
1,32815,32886,-1,0.293488,0.00612914,model
1,32895,32966,-1,0.288653,-0.0003421,model
1,32988,33059,-1,0.224694,-0.00024115,model
1,33064,33135,-1,0.287501,0.00372736,model
1,33158,33229,-1,0.279819,0.00103712,model
1,33230,33301,-1,0.278597,-0.00031287,model
1,33302,33373,-1,0.296857,0.00286274,model
1,33383,33454,1,0.834368,0.00011425,model
1,33485,33556,1,0.715959,0.00195366,model
1,33557,33628,1,0.74,0.00230575,model
1,33643,33714,-1,0.298405,0.00142005,model
1,33722,33793,-1,0.221947,-0.00050929,model
1,33798,33869,-1,0.254085,0.00316606,model
1,33930,34001,-1,0.288884,-0.00241928,model
1,34026,34097,1,0.804024,-0.00067978,model
1,34106,34177,-1,0.277242,0.00883528,model
1,34179,34250,1,0.782372,-0.00147696,model
1,34251,34322,1,0.921596,-0.00208078,model
1,34323,34394,1,0.862348,0.0004933,model
1,34415,34486,-1,0.272514,-0.00630965,model
1,34487,34558,-1,0.185004,0.00318998,model
1,34561,34632,1,0.716864,-0.00023407,model
1,34638,34709,-1,0.27363,-0.00242515,model
1,34710,34781,-1,0.232762,0.00227173,model
1,34789,34860,1,0.70452,-0.00107798,model
1,34861,34932,1,0.729246,0.0025932,model
1,34933,35004,-1,0.265343,0.00193878,model
1,35005,35076,-1,0.223128,-0.00128433,model
1,35086,35157,-1,0.296131,0.00210536,model
1,35158,35229,-1,0.24093,0.00310261,model
1,35232,35303,-1,0.278054,-4.322e-05,model
1,35305,35376,-1,0.218856,0.00091392,model
1,35378,35449,-1,0.224902,0.00172539,model
1,35450,35521,-1,0.111617,5.065e-05,model
1,35522,35593,-1,0.084529,0.000417,model
1,35653,35724,1,0.721242,-0.00153528,model
1,35731,35802,-1,0.23483,0.00260264,model
1,35828,35899,-1,0.293437,-0.00049472,model
1,35904,35975,-1,0.297664,0.00170827,model
1,36017,36088,-1,0.263269,0.0018209,model
1,36089,36160,-1,0.126693,-0.00100533,model
1,36161,36232,-1,0.25241,0.00131634,model
1,36233,36304,1,0.723534,0.00084545,model
1,36305,36376,-1,0.273502,0.01062166,model
1,36377,36448,1,0.812208,0.00061217,model
1,36462,36533,-1,0.293198,0.01474341,model
1,36540,36611,1,0.716547,-0.00222047,model
1,36612,36683,1,0.909699,-0.00515213,model
1,36684,36755,1,0.942463,-0.0036292,model
1,36756,36827,1,0.723284,0.003777,model
