trade_num,entry_bar,exit_bar,direction,return_net,cumulative_equity
1,25289,25360,-1,-0.00229798,-0.00229798
2,25361,25432,-1,-0.00505821,-0.00735619
3,25433,25504,-1,0.00080242,-0.00655377
4,25513,25584,1,-0.00108465,-0.00763842
5,25585,25656,1,-0.00102389,-0.00866231
6,25663,25734,1,0.00478055,-0.00388176
7,25735,25806,-1,-8.017e-05,-0.00396194
8,25807,25878,1,0.00635617,0.00239423
9,25879,25950,-1,0.0041105,0.00650474
10,25957,26028,-1,0.00270879,0.00921352
11,26036,26107,-1,0.00311336,0.01232688
12,26121,26192,1,-0.00106915,0.01125773
13,26193,26264,-1,0.01022708,0.02148482
14,26265,26336,1,0.00035939,0.02184421
15,26355,26426,1,-0.00214146,0.01970275
16,26428,26499,1,0.00329836,0.02300111
17,26521,26592,-1,0.00131416,0.02431527
18,26599,26670,1,0.00109241,0.02540768
19,26692,26763,-1,0.00247793,0.02788561
20,26764,26835,1,-0.00400834,0.02387727
21,26855,26926,-1,-0.00110805,0.02276922
22,26927,26998,-1,-0.00383347,0.01893575
23,26999,27070,-1,0.00513503,0.02407078
24,27071,27142,1,0.00031235,0.02438313
25,27144,27215,1,-0.00125916,0.02312397
26,27217,27288,1,0.00018199,0.02330596
27,27324,27395,-1,-0.00010545,0.02320051
28,27415,27486,1,-0.0071568,0.01604371
29,27487,27558,1,-0.00722533,0.00881838
30,27559,27630,1,0.00023267,0.00905105
31,27636,27707,1,0.00151931,0.01057036
32,27708,27779,-1,0.00328373,0.01385409
33,27780,27851,-1,-0.0009973,0.01285678
34,27852,27923,-1,-0.0017212,0.01113558
35,27924,27995,-1,-0.00028201,0.01085357
36,27996,28067,-1,0.0015435,0.01239707
37,28068,28139,-1,-0.00200616,0.0103909
38,28140,28211,-1,1.113e-05,0.01040204
39,28212,28283,-1,5.325e-05,0.01045529
40,28284,28355,-1,-0.00330902,0.00714627
41,28356,28427,-1,0.00135183,0.0084981
42,28428,28499,-1,-0.00151357,0.00698453
43,28500,28571,-1,0.00451359,0.01149812
44,28572,28643,-1,-0.00208532,0.00941279
45,28645,28716,-1,-6.13e-06,0.00940666
46,28717,28788,1,-0.00067537,0.00873129
47,28789,28860,1,0.00243019,0.01116148
48,28861,28932,-1,-0.00222539,0.0089361
49,28933,29004,-1,-0.00054924,0.00838686
50,29007,29078,-1,0.00346413,0.01185099
51,29080,29151,1,0.00042065,0.01227163
52,29152,29223,-1,0.00344624,0.01571788
53,29225,29296,1,-0.00858434,0.00713353
54,29297,29368,1,0.00076881,0.00790235
55,29369,29440,-1,-0.00078975,0.00711259
56,29441,29512,-1,0.00206112,0.00917371
57,29513,29584,-1,-0.00083836,0.00833536
58,29596,29667,-1,0.0004861,0.00882146
59,29672,29743,-1,-0.00233008,0.00649137
60,29744,29815,-1,0.00015158,0.00664296
61,29816,29887,-1,-0.00178517,0.00485778
62,29888,29959,-1,-0.00027938,0.0045784
63,29960,30031,1,0.0028187,0.00739709
64,30032,30103,-1,-0.00838526,-0.00098817
65,30104,30175,-1,0.00368281,0.00269464
66,30177,30248,-1,0.00524116,0.00793579
67,30249,30320,-1,-0.00175891,0.00617689
68,30321,30392,-1,-0.00112877,0.00504811
69,30393,30464,-1,0.00164867,0.00669678
70,30465,30536,-1,-0.00038667,0.00631011
71,30537,30608,-1,0.00408358,0.01039369
72,30618,30689,-1,-0.00408117,0.00631252
73,30690,30761,-1,0.00304217,0.00935469
74,30762,30833,-1,-0.00649347,0.00286122
75,30834,30905,-1,-0.00118584,0.00167538
76,30906,30977,-1,-0.00829004,-0.00661467
77,30978,31049,-1,-0.00679331,-0.01340798
78,31050,31121,-1,0.00253247,-0.01087551
79,31122,31193,-1,-0.00041218,-0.01128769
80,31194,31265,-1,0.00058239,-0.01070531
81,31266,31337,1,-0.00622864,-0.01693395
82,31338,31409,1,-0.00769475,-0.02462869
83,31410,31481,1,-0.00080575,-0.02543444
84,31488,31559,1,-0.00347504,-0.02890948
85,31565,31636,1,0.00095484,-0.02795464
86,31678,31749,1,-0.00158161,-0.02953625
87,31750,31821,-1,0.00206503,-0.02747123
88,31825,31896,-1,0.00028355,-0.02718768
89,31900,31971,-1,-0.00231706,-0.02950473
90,31972,32043,-1,0.00175997,-0.02774476
91,32044,32115,-1,0.00109614,-0.02664862
92,32116,32187,-1,-7e-05,-0.02671862
93,32188,32259,1,0.00116144,-0.02555717
94,32260,32331,-1,0.00049029,-0.02506689
95,32332,32403,-1,0.00085914,-0.02420775
96,32404,32475,-1,-0.0114128,-0.03562054
97,32476,32547,-1,0.00279591,-0.03282463
98,32548,32619,-1,-0.00054803,-0.03337266
99,32620,32691,-1,0.00237437,-0.03099829
100,32692,32763,-1,0.00108055,-0.02991774
101,32777,32848,-1,0.00064759,-0.02927016
102,32849,32920,-1,0.00502492,-0.02424524
103,32921,32992,1,0.00087515,-0.02337008
104,33000,33071,1,0.00088114,-0.02248895
105,33072,33143,-1,0.00441597,-0.01807297
106,33145,33216,-1,0.00172504,-0.01634794
107,33217,33288,-1,-0.00023039,-0.01657833
108,33289,33360,-1,0.00301026,-0.01356807
109,33366,33437,-1,0.00066903,-0.01289904
110,33438,33509,1,0.00192854,-0.0109705
111,33510,33581,-1,-0.00030282,-0.01127332
112,33584,33655,-1,-0.00100393,-0.01227725
113,33656,33727,-1,-0.00047254,-0.01274979
114,33728,33799,-1,9.436e-05,-0.01265542
115,33800,33871,-1,0.00271363,-0.0099418
116,33875,33946,-1,-0.00606577,-0.01600757
117,33951,34022,-1,0.00267851,-0.01332906
118,34036,34107,-1,0.00082507,-0.01250399
119,34110,34181,-1,0.00802254,-0.00448146
120,34182,34253,1,-0.00251235,-0.00699381
121,34254,34325,1,-0.00243537,-0.00942918
122,34326,34397,1,-0.00074315,-0.01017232
123,34400,34471,1,0.00638748,-0.00378485
124,34490,34561,-1,0.00450751,0.00072266
125,34562,34633,1,0.00025867,0.00098132
126,34634,34705,-1,-0.00423986,-0.00325853
127,34706,34777,-1,0.00111897,-0.00213956
128,34783,34854,1,0.00034591,-0.00179365
129,34855,34926,1,0.00144283,-0.00035082
130,34927,34998,-1,0.00057094,0.00022011
131,34999,35070,-1,0.00059264,0.00081275
132,35073,35144,-1,-0.00020603,0.00060673
133,35145,35216,-1,0.00507856,0.00568529
134,35219,35290,-1,-0.0014448,0.00424048
135,35291,35362,-1,-0.00024276,0.00399772
136,35377,35448,-1,0.00015067,0.00414839
137,35450,35521,-1,-0.00014935,0.00399904
138,35522,35593,-1,0.000217,0.00421604
139,35594,35665,1,0.00143929,0.00565533
140,35678,35749,-1,0.00023705,0.00589238
