fold,entry_bar,exit_bar,direction,confidence,realized_return,source
1,25288,25359,-1,0.335448,-0.00206003,model
1,25360,25431,-1,0.102462,-0.00471327,model
1,25432,25503,-1,0.126332,0.00086949,model
1,25512,25583,1,0.648426,-0.00136453,model
1,25584,25655,1,0.759747,-0.00068604,model
1,25656,25727,1,0.622738,0.00366872,model
1,25728,25799,-1,0.279488,-0.00060062,model
1,25800,25871,-1,0.303403,-0.0043431,model
1,25872,25943,-1,0.220309,0.00264943,model
1,25948,26019,1,0.604176,0.00030922,model
1,26020,26091,1,0.645307,-0.00088017,model
1,26092,26163,1,0.717386,-0.0023497,model
1,26164,26235,-1,0.243516,0.00567195,model
1,26236,26307,1,0.723179,-0.00537325,model
1,26308,26379,1,0.802511,0.00052283,model
1,26380,26451,1,0.714045,-0.00101116,model
1,26459,26530,-1,0.330334,-0.00130756,model
1,26537,26608,-1,0.23651,0.00167013,model
1,26609,26680,1,0.69606,0.00120373,model
1,26689,26760,-1,0.358092,0.00215671,model
1,26761,26832,1,0.866513,-0.00432909,model
1,26833,26904,1,0.800382,0.00155027,model
1,26905,26976,1,0.647711,0.00119477,model
1,26977,27048,-1,0.227044,-0.00309049,model
1,27049,27120,-1,0.043299,0.00659141,model
1,27121,27192,1,0.903095,0.00113362,model
1,27196,27267,-1,0.394644,0.00033531,model
1,27296,27367,1,0.652156,0.00109993,model
1,27368,27439,-1,0.399234,0.00796754,model
1,27441,27512,1,0.665905,-0.00898807,model
1,27513,27584,1,0.901993,0.00121731,model
1,27585,27656,1,0.803996,0.00025414,model
1,27657,27728,-1,0.200948,-0.00038697,model
1,27729,27800,-1,0.066859,0.00068951,model
1,27801,27872,-1,0.054332,6.355e-05,model
1,27873,27944,-1,0.20956,0.00023739,model
1,27947,28018,-1,0.295874,-0.00230983,model
1,28019,28090,-1,0.038292,0.00119461,model
1,28091,28162,-1,0.109842,0.00083704,model
1,28163,28234,-1,0.21943,-0.0018624,model
1,28235,28306,-1,0.125648,0.00049574,model
1,28307,28378,-1,0.118837,0.0001639,model
1,28379,28450,-1,0.115415,-0.00067602,model
1,28451,28522,-1,0.392504,0.00323466,model
1,28523,28594,-1,0.042669,-0.01241368,model
1,28595,28666,-1,0.037216,0.0095302,model
1,28669,28740,-1,0.330228,0.00273577,model
1,28741,28812,1,0.813743,0.00042925,model
