fold,entry_bar,exit_bar,direction,confidence,realized_return,source
1,16954,17025,1,0.949895,0.0084032,model
1,17026,17097,-1,0.193901,0.0050843,model
1,17139,17210,-1,0.26897,0.0025102,model
1,17221,17292,-1,0.2674,-0.00912175,model
1,17293,17364,-1,0.097065,-0.00616299,model
1,17365,17436,-1,0.143395,0.00105286,model
1,17438,17509,-1,0.272914,0.0005603,model
1,17510,17581,-1,0.270314,0.00473558,model
1,17618,17689,1,0.706594,0.01330342,model
1,17690,17761,-1,0.076091,-0.00304788,model
1,17762,17833,-1,0.033606,-0.0009288,model
1,17834,17905,-1,0.091965,0.00601666,model
1,17906,17977,1,0.808745,-0.00157364,model
1,18033,18104,1,0.805039,0.00226488,model
1,18105,18176,-1,0.295271,0.00365704,model
1,18178,18249,-1,0.285172,0.00065878,model
1,18252,18323,-1,0.259497,-0.00157075,model
1,18324,18395,-1,0.080445,0.0054385,model
1,18407,18478,1,0.758279,-0.0013926,model
1,18479,18550,1,0.961323,-0.00497847,model
1,18555,18626,-1,0.29839,-0.00530659,model
1,18627,18698,-1,0.225588,0.00429356,model
1,18699,18770,1,0.818608,0.00024599,model
1,18771,18842,1,0.797845,-0.00089932,model
1,18843,18914,1,0.789157,0.00877232,model
1,18915,18986,-1,0.114447,-0.00197849,model
1,18987,19058,-1,0.137172,0.00208349,model
1,19059,19130,-1,0.299356,0.00525804,model
1,19131,19202,-1,0.146633,0.00017401,model
1,19230,19301,1,0.712709,0.00118139,model
1,19302,19373,-1,0.063526,0.00602521,model
1,19374,19445,1,0.926709,-0.00455694,model
1,19446,19517,1,0.946869,0.00354738,model
1,19518,19589,1,0.923273,0.00118623,model
1,19599,19670,1,0.83728,-0.00145378,model
1,19671,19742,1,0.945334,0.00506187,model
1,19781,19852,-1,0.21002,-0.00372624,model
1,19864,19935,-1,0.177793,0.00103002,model
1,19936,20007,-1,0.120067,0.00150694,model
1,20014,20085,1,0.703789,-0.00082801,model
1,20086,20157,1,0.735455,-0.00110869,model
1,20170,20241,-1,0.286612,-0.00591824,model
1,20243,20314,-1,0.296259,0.00309978,model
1,20315,20386,1,0.748518,0.00210701,model
1,20412,20483,-1,0.29225,0.00111622,model
1,20554,20625,1,0.744699,0.00287364,model
1,20631,20702,-1,0.297929,0.00015626,model
1,20703,20774,-1,0.241568,-0.0017818,model
1,20775,20846,-1,0.131632,-0.00189687,model
1,20847,20918,-1,0.284409,-0.00135668,model
1,20927,20998,1,0.798208,0.00112546,model
1,20999,21070,-1,0.048386,0.00212389,model
1,21071,21142,-1,0.039511,0.01074531,model
1,21143,21214,1,0.845257,1.263e-05,model
1,21215,21286,1,0.790405,-0.00064864,model
1,21287,21358,1,0.792858,0.00218937,model
1,21363,21434,1,0.704865,0.00540587,model
1,21450,21521,1,0.77541,-0.0018159,model
1,21522,21593,-1,0.268454,-4.866e-05,model
1,21594,21665,-1,0.233162,0.01204153,model
1,21666,21737,1,0.970841,0.00346916,model
1,21744,21815,1,0.714115,0.00072078,model
1,21816,21887,-1,0.084352,-0.00500488,model
1,21888,21959,-1,0.051175,-0.01348979,model
1,21995,22066,-1,0.224048,0.00113818,model
1,22067,22138,-1,0.125917,-0.00132956,model
1,22139,22210,-1,0.123093,-0.00914356,model
1,22211,22282,-1,0.034237,0.00061025,model
1,22283,22354,-1,0.245284,0.00204912,model
1,22366,22437,-1,0.291984,-0.00220534,model
1,22438,22509,-1,0.165159,0.0055936,model
1,22539,22610,1,0.71553,-0.00102489,model
1,22615,22686,-1,0.254343,0.00114038,model
1,22707,22778,-1,0.25232,0.01803767,model
1,22779,22850,1,0.860596,0.00043868,model
1,22851,22922,-1,0.270008,0.00150641,model
1,22923,22994,-1,0.045725,0.00707229,model
1,22995,23066,-1,0.204549,-0.00019413,model
1,23113,23184,-1,0.161338,-0.00101693,model
1,23185,23256,-1,0.090716,-0.00415251,model
1,23257,23328,-1,0.026812,-0.00017752,model
1,23329,23400,-1,0.142298,0.00103527,model
1,23402,23473,1,0.701003,0.00118482,model
1,23507,23578,-1,0.234305,-0.00109589,model
1,23579,23650,-1,0.287331,-0.0005454,model
1,23667,23738,-1,0.265361,0.00103116,model
1,23745,23816,-1,0.290834,0.00146939,model
1,23817,23888,-1,0.172898,-0.00160911,model
1,23890,23961,-1,0.268248,0.0034438,model
1,23963,24034,-1,0.298384,0.00390285,model
1,24043,24114,-1,0.292464,0.00165058,model
1,24115,24186,1,0.907266,0.00189122,model
1,24189,24260,-1,0.086909,0.00072926,model
1,24261,24332,-1,0.143757,-0.00270366,model
1,24333,24404,-1,0.083859,-0.00156006,model
1,24411,24482,1,0.744281,0.00024572,model
1,24483,24554,-1,0.082534,0.00276826,model
1,24555,24626,-1,0.193813,0.00361899,model
1,24627,24698,-1,0.284471,-0.0026647,model
1,24737,24808,-1,0.237513,-0.00025708,model
1,24809,24880,-1,0.205914,-0.00515008,model
1,24881,24952,-1,0.061004,-0.00249371,model
1,24953,25024,-1,0.124091,0.0013157,model
1,25025,25096,-1,0.089645,-0.00193042,model
1,25097,25168,-1,0.054575,-0.01748577,model
1,25169,25240,-1,0.063692,-0.00039318,model
1,25241,25312,-1,0.105691,0.00259307,model
1,25313,25384,-1,0.170343,-0.00209211,model
1,25385,25456,-1,0.061249,-0.00488292,model
1,25459,25530,-1,0.284587,0.00127114,model
1,25549,25620,-1,0.193176,0.00303008,model
1,25621,25692,-1,0.144839,0.00299151,model
1,25702,25773,-1,0.261951,-0.00643825,model
1,25793,25864,1,0.715827,-0.00038791,model
1,25869,25940,-1,0.271443,0.00010028,model
1,25941,26012,-1,0.171422,-0.00051798,model
1,26017,26088,1,0.717717,-0.00086698,model
1,26098,26169,-1,0.198717,0.00411186,model
1,26170,26241,-1,0.020203,0.00286085,model
1,26242,26313,-1,0.092051,0.00505513,model
1,26315,26386,1,0.727816,0.00101004,model
1,26394,26465,-1,0.237828,0.00125722,model
1,26466,26537,-1,0.173439,-0.0037335,model
1,26538,26609,-1,0.162237,0.00162358,model
1,26633,26704,1,0.719189,0.0003661,model
1,26706,26777,1,0.743772,-0.00212718,model
1,26781,26852,1,0.702675,-0.00260453,model
1,26853,26924,1,0.817421,0.00108739,model
1,26929,27000,-1,0.155072,-0.00488613,model
1,27001,27072,-1,0.012912,0.00717947,model
1,27077,27148,1,0.718456,0.00167608,model
1,27159,27230,-1,0.26777,0.00155494,model
1,27239,27310,-1,0.294253,0.00091619,model
1,27311,27382,-1,0.129828,-0.00099997,model
1,27383,27454,-1,0.015692,0.00797354,model
1,27455,27526,1,0.859406,-0.00736824,model
1,27527,27598,1,0.882434,0.00035495,model
1,27602,27673,1,0.716071,0.00114272,model
1,27674,27745,-1,0.194922,0.00217461,model
1,27746,27817,-1,0.01952,-0.00063931,model
1,27818,27889,-1,0.012941,-0.00107373,model
1,27890,27961,-1,0.173814,0.00030432,model
1,27966,28037,-1,0.177771,0.00040354,model
1,28038,28109,-1,0.02849,-0.00047127,model
1,28110,28181,-1,0.129263,-0.00033438,model
1,28192,28263,1,0.747184,0.00034751,model
1,28265,28336,-1,0.188013,-0.00036446,model
1,28337,28408,-1,0.077041,-0.00100399,model
1,28409,28480,-1,0.202278,-0.00030226,model
1,28481,28552,-1,0.015895,0.00365045,model
1,28553,28624,-1,0.013486,-0.00611173,model
1,28625,28696,-1,0.299342,0.00413999,model
1,28698,28769,1,0.721829,-0.0007778,model
1,28773,28844,1,0.719665,0.00255557,model
1,28845,28916,-1,0.087809,-0.00230278,model
1,28917,28988,-1,0.164417,0.00020444,model
1,28989,29060,-1,0.190185,0.00060477,model
1,29061,29132,-1,0.159268,8.469e-05,model
1,29133,29204,-1,0.149029,0.00608566,model
1,29205,29276,1,0.712842,-0.00213375,model
1,29277,29348,1,0.712887,-0.00583241,model
1,29374,29445,-1,0.243127,-0.00081234,model
1,29446,29517,-1,0.03926,0.00203485,model
1,29518,29589,-1,0.02428,0.00062543,model
1,29590,29661,-1,0.136819,-0.00031021,model
1,29662,29733,-1,0.197571,0.00071632,model
1,29738,29809,1,0.748579,0.00244977,model
1,29810,29881,-1,0.084789,-0.00124024,model
1,29882,29953,-1,0.023739,0.00084491,model
1,29969,30040,-1,0.249404,-0.00639136,model
1,30041,30112,-1,0.027672,-0.00137912,model
1,30113,30184,-1,0.188784,-7.63e-05,model
1,30185,30256,-1,0.184086,0.00719651,model
1,30258,30329,-1,0.053135,-0.00260897,model
1,30330,30401,-1,0.078678,-0.00118065,model
1,30402,30473,-1,0.018478,0.00279446,model
1,30474,30545,-1,0.045278,-0.00100518,model
1,30546,30617,-1,0.07698,0.00250529,model
1,30618,30689,-1,0.03449,-0.00388117,model
1,30690,30761,-1,0.0152,0.00324217,model
1,30762,30833,-1,0.031297,-0.00629347,model
1,30834,30905,-1,0.054093,-0.00098584,model
1,30906,30977,-1,0.077098,-0.00809004,model
1,30978,31049,-1,0.005333,-0.00659331,model
1,31050,31121,-1,0.00578,0.00273247,model
1,31122,31193,-1,0.095576,-0.00021218,model
1,31194,31265,-1,0.022279,0.00078239,model
1,31274,31345,-1,0.23889,0.00567163,model
1,31346,31417,-1,0.092883,0.00831437,model
1,31418,31489,-1,0.214816,0.00043932,model
1,31493,31564,-1,0.203354,0.00637126,model
1,31565,31636,-1,0.059454,-0.00115484,model
1,31637,31708,-1,0.076282,0.00123808,model
1,31709,31780,-1,0.145328,-0.0020102,model
1,31781,31852,-1,0.031894,0.004594,model
1,31853,31924,-1,0.091439,-0.0009461,model
1,31925,31996,-1,0.149071,-0.00220961,model
1,31997,32068,-1,0.169317,0.00343549,model
1,32069,32140,-1,0.040972,0.00052401,model
1,32141,32212,-1,0.17878,-0.00096346,model
1,32213,32284,-1,0.109867,0.00048928,model
1,32285,32356,-1,0.025763,-0.00016823,model
1,32357,32428,-1,0.005205,-0.0005373,model
1,32429,32500,-1,0.027596,-0.0066053,model
1,32501,32572,-1,0.004823,0.00393587,model
1,32573,32644,-1,0.121675,0.00174325,model
1,32645,32716,-1,0.115437,-0.003194,model
1,32717,32788,-1,0.156732,0.00221387,model
1,32789,32860,-1,0.149985,0.00154033,model
1,32870,32941,-1,0.276988,-0.00143428,model
1,32942,33013,-1,0.147337,0.00068877,model
1,33023,33094,-1,0.271616,0.00216217,model
1,33095,33166,-1,0.08663,0.00228866,model
1,33167,33238,-1,0.095568,0.00109902,model
1,33239,33310,-1,0.280711,0.00036418,model
1,33318,33389,-1,0.275056,0.0045152,model
1,33390,33461,-1,0.177801,-0.0018444,model
1,33462,33533,-1,0.281778,-0.00099081,model
1,33534,33605,-1,0.078887,-0.00019719,model
1,33606,33619,-1,0.16464,-0.001903,model
2,33620,33691,-1,0.1352,-0.0005009,model
2,33692,33763,-1,0.195784,4.02e-05,model
2,33764,33835,-1,0.215864,0.00139344,model
2,33836,33907,-1,0.240398,0.00088261,model
2,33908,33979,-1,0.208875,-0.00160696,model
2,33992,34063,-1,0.272807,0.00209292,model
2,34064,34135,-1,0.036024,0.00107382,model
2,34136,34207,-1,0.156768,0.0105643,model
2,34208,34279,1,0.904592,0.00097792,model
2,34282,34353,1,0.705366,-0.00070085,model
2,34355,34426,-1,0.289118,-2.209e-05,model
2,34434,34505,-1,0.271568,-0.00633075,model
2,34506,34577,-1,0.226984,0.00488636,model
2,34632,34703,-1,0.262056,-0.00432197,model
2,34704,34775,-1,0.202176,0.00116227,model
2,34812,34883,-1,0.265107,-0.00011837,model
2,34885,34956,-1,0.245116,-0.00051074,model
2,34958,35029,-1,0.18932,0.00194479,model
2,35048,35119,1,0.884426,0.00166649,model
2,35128,35199,-1,0.254199,0.00585492,model
2,35212,35283,-1,0.275696,0.00132803,model
2,35284,35355,-1,0.260907,-0.002451,model
2,35356,35427,-1,0.139212,0.00197122,model
2,35428,35499,-1,0.046358,0.00199938,model
2,35536,35607,-1,0.262161,0.00355646,model
2,35616,35687,-1,0.289917,-0.00010949,model
2,35688,35759,-1,0.07672,0.00022072,model
2,35760,35831,-1,0.200319,0.00826386,model
2,35832,35903,1,0.781927,0.00333871,model
2,35938,36009,-1,0.290778,0.00084365,model
2,36010,36081,-1,0.138902,0.00260598,model
2,36082,36153,-1,0.243931,-0.00057737,model
2,36166,36237,-1,0.269023,0.00048903,model
2,36238,36309,-1,0.058863,0.00036212,model
2,36310,36381,-1,0.127205,0.01116716,model
2,36382,36453,1,0.834417,0.00267419,model
2,36462,36533,-1,0.285184,0.01474341,model
2,36540,36611,1,0.712175,-0.00222047,model
2,36612,36683,1,0.755198,-0.00515213,model
2,36684,36755,1,0.950933,-0.0036292,model
2,36756,36827,1,0.731803,0.003777,model
