trade_num,entry_bar,exit_bar,direction,return_net,cumulative_equity
1,16954,17025,1,0.0082032,0.0082032
2,17026,17097,-1,0.0048843,0.0130875
3,17121,17192,-1,-0.00402402,0.00906349
4,17193,17264,-1,0.00318775,0.01225124
5,17274,17345,-1,-0.01018459,0.00206665
6,17346,17417,-1,0.00231718,0.00438383
7,17421,17492,-1,-0.00317271,0.00121112
8,17504,17575,-1,0.00270707,0.00391819
9,17576,17647,-1,-0.00241593,0.00150226
10,17656,17727,-1,0.00050404,0.00200629
11,17728,17799,-1,6.58e-06,0.00201288
12,17811,17882,-1,0.00295963,0.00497251
13,17885,17956,1,-0.00317161,0.0018009
14,17989,18060,-1,0.003932,0.0057329
15,18061,18132,1,0.00142917,0.00716207
16,18133,18204,1,-0.0016369,0.00552517
17,18216,18287,-1,-0.00051574,0.00500943
18,18288,18359,-1,0.00323007,0.00823951
19,18360,18431,-1,0.00567999,0.0139195
20,18432,18503,1,-0.00120062,0.01271887
21,18511,18582,-1,0.0017915,0.01451037
22,18583,18654,-1,-5.99e-05,0.01445047
23,18655,18726,-1,0.00039366,0.01484414
24,18737,18808,1,0.00075543,0.01559957
25,18815,18886,1,0.0058376,0.02143717
26,18887,18958,-1,-0.00245831,0.01897886
27,18959,19030,-1,-0.00213968,0.01683917
28,19032,19103,-1,0.00316479,0.02000397
29,19104,19175,-1,0.0022181,0.02222207
30,19230,19301,1,0.00098139,0.02320346
31,19302,19373,-1,0.00582521,0.02902866
32,19374,19445,1,-0.00475694,0.02427172
33,19446,19517,1,0.00334738,0.02761911
34,19518,19589,1,0.00098623,0.02860533
35,19591,19662,-1,0.0022816,0.03088693
36,19663,19734,1,0.00092404,0.03181097
37,19735,19806,1,0.00781226,0.03962323
38,19807,19878,-1,-0.00226878,0.03735445
39,19879,19950,-1,6.677e-05,0.03742121
40,19951,20022,-1,0.00615785,0.04357906
41,20023,20094,1,0.00073285,0.04431192
42,20109,20180,-1,-0.00058776,0.04372416
43,20181,20252,-1,-0.00441765,0.03930651
44,20256,20327,-1,0.00093584,0.04024235
45,20334,20405,1,0.0013505,0.04159286
46,20412,20483,1,-0.00131622,0.04027663
47,20554,20625,1,0.00267364,0.04295028
48,20630,20701,-1,0.00014426,0.04309454
49,20709,20780,-1,-0.00180317,0.04129137
50,20781,20852,-1,-0.00310469,0.03818668
51,20853,20924,-1,-0.00021289,0.03797379
52,20927,20998,1,0.00092546,0.03889925
53,20999,21070,-1,0.00192389,0.04082314
54,21071,21142,-1,0.01054531,0.05136845
55,21143,21214,1,-0.00018737,0.05118109
56,21215,21286,1,-0.00084864,0.05033244
57,21287,21358,1,0.00198937,0.05232182
58,21360,21431,-1,-0.00540802,0.0469138
59,21432,21503,-1,0.00264606,0.04955986
60,21514,21585,-1,-0.00064177,0.0489181
61,21604,21675,-1,0.01203007,0.06094817
62,21676,21747,1,0.00188308,0.06283125
63,21748,21819,1,0.00198277,0.06481402
64,21820,21891,-1,-0.00406412,0.0607499
65,21892,21963,-1,-0.01373954,0.04701036
66,21964,22035,-1,0.00147756,0.04848792
67,22036,22107,-1,0.00027792,0.04876584
68,22109,22180,-1,-0.0088343,0.03993154
69,22181,22252,-1,-0.00055232,0.03937921
70,22253,22324,-1,0.00119269,0.0405719
71,22325,22396,1,-0.00297672,0.03759519
72,22397,22468,-1,-0.00363161,0.03396357
73,22469,22540,-1,0.00462059,0.03858416
74,22541,22612,-1,0.00084539,0.03942955
75,22613,22684,-1,0.00048327,0.03991281
76,22685,22756,-1,0.01907433,0.05898714
77,22757,22828,1,0.00310782,0.06209497
78,22841,22912,-1,0.00152068,0.06361565
79,22913,22984,-1,0.00174191,0.06535755
80,22985,23056,-1,0.00361092,0.06896847
81,23057,23128,-1,-0.0074957,0.06147277
82,23129,23200,-1,0.00024275,0.06171552
83,23201,23272,-1,-0.00626904,0.05544649
84,23273,23344,-1,0.00145873,0.05690522
85,23345,23416,-1,0.00112863,0.05803385
86,23438,23509,-1,-0.00327414,0.05475972
87,23510,23581,-1,-0.00247638,0.05228334
88,23582,23653,-1,-0.00065306,0.05163027
89,23659,23730,-1,-0.00113932,0.05049095
90,23731,23802,-1,0.000669,0.05115995
91,23803,23874,-1,0.00164845,0.0528084
92,23875,23946,-1,0.0030767,0.0558851
93,23947,24018,-1,0.00487882,0.06076392
94,24023,24094,-1,-0.0003039,0.06046002
95,24114,24185,1,0.00073751,0.06119753
96,24189,24260,-1,0.00052926,0.06172679
97,24261,24332,-1,-0.00290366,0.05882313
98,24333,24404,-1,-0.00176006,0.05706307
99,24464,24535,-1,0.0033594,0.06042246
100,24536,24607,-1,-0.0037657,0.05665676
101,24608,24679,-1,0.00454246,0.06119922
102,24689,24760,1,0.00027338,0.0614726
103,24773,24844,-1,-0.00943314,0.05203946
104,24845,24916,-1,0.00093001,0.05296947
105,24917,24988,-1,0.0003133,0.05328277
106,24989,25060,-1,-0.0008419,0.05244087
107,25061,25132,-1,-0.0030985,0.04934237
108,25133,25204,-1,-0.01760475,0.03173763
109,25205,25276,-1,0.00369899,0.03543662
110,25278,25349,1,0.00156584,0.03700246
111,25350,25421,-1,-0.00156393,0.03543853
112,25422,25493,-1,-0.00408918,0.03134935
113,25508,25579,-1,0.00197453,0.03332388
114,25592,25663,-1,0.00221426,0.03553814
115,25664,25735,-1,-0.00540944,0.0301287
116,25736,25807,-1,0.00038344,0.03051214
117,25808,25879,1,0.00582325,0.03633538
118,25880,25951,-1,0.00337157,0.03970695
119,25952,26023,-1,-0.00012656,0.03958039
120,26033,26104,-1,0.00284902,0.04242941
121,26105,26176,-1,0.00206489,0.0444943
122,26177,26248,-1,0.00365336,0.04814765
123,26249,26320,-1,0.00476654,0.0529142
124,26329,26400,1,0.00041123,0.05332543
125,26401,26472,-1,-7.61e-06,0.05331782
126,26473,26544,-1,-0.00019917,0.05311865
127,26563,26634,1,0.00111874,0.05423739
128,26644,26715,-1,0.00059375,0.05483114
129,26767,26838,-1,0.00398571,0.05881685
130,26839,26910,1,0.00106319,0.05988005
131,26929,27000,-1,-0.00508613,0.05479392
132,27001,27072,-1,0.00697947,0.06177339
133,27076,27147,1,0.00067847,0.06245186
134,27157,27228,-1,0.00092728,0.06337914
135,27229,27300,-1,0.00010185,0.06348099
136,27301,27372,-1,-0.00089531,0.06258567
137,27373,27444,-1,0.00609744,0.06868311
138,27445,27516,-1,0.0064694,0.07515251
139,27517,27588,1,-0.00103734,0.07411517
140,27628,27699,-1,-0.0013728,0.07274238
141,27700,27771,-1,0.00293207,0.07567444
142,27772,27843,-1,-0.00044575,0.07522869
143,27844,27915,-1,-0.00123882,0.07398987
144,27921,27992,-1,-0.00161874,0.07237113
145,27993,28064,-1,0.0023315,0.07470264
146,28065,28136,-1,-0.00187016,0.07283248
147,28137,28208,-1,-0.00049098,0.0723415
148,28209,28280,-1,-0.00049678,0.07184472
149,28281,28352,-1,-0.00233457,0.06951015
150,28353,28424,-1,0.00126104,0.07077119
151,28435,28506,-1,0.0002159,0.07098709
152,28507,28578,-1,0.00370262,0.07468971
153,28579,28650,-1,-0.00200621,0.0726835
154,28653,28724,-1,0.00041781,0.07310131
155,28725,28796,1,-0.00014615,0.07295516
156,28797,28868,-1,-0.00410252,0.06885263
157,28869,28940,-1,-0.00038478,0.06846786
158,28941,29012,-1,-0.00121629,0.06725157
159,29013,29084,-1,0.0032156,0.07046716
160,29100,29171,-1,-0.00162635,0.06884082
161,29172,29243,-1,0.00380136,0.07264217
162,29244,29315,1,-0.00987906,0.06276312
163,29316,29387,1,0.00223822,0.06500134
164,29388,29459,-1,-0.00032868,0.06467266
165,29460,29531,-1,0.00118914,0.06586181
166,29532,29603,-1,0.00118043,0.06704224
167,29604,29675,-1,-0.00012377,0.06691846
168,29676,29747,-1,-0.00207033,0.06484813
169,29748,29819,-1,-0.00012476,0.06472337
170,29820,29891,-1,-0.00184674,0.06287663
171,29892,29963,-1,6.7e-06,0.06288333
172,29970,30041,-1,-0.00534389,0.05753944
173,30042,30113,-1,-0.00246174,0.05507771
174,30114,30185,-1,0.00013815,0.05521586
175,30186,30257,-1,0.00574562,0.06096148
176,30258,30329,-1,-0.00280897,0.05815251
177,30330,30401,-1,-0.00138065,0.05677186
178,30402,30473,-1,0.00259446,0.05936632
179,30474,30545,-1,-0.00120518,0.05816114
180,30546,30617,-1,0.00230529,0.06046643
181,30618,30689,-1,-0.00408117,0.05638526
182,30690,30761,-1,0.00304217,0.05942743
183,30762,30833,-1,-0.00649347,0.05293396
184,30834,30905,-1,-0.00118584,0.05174812
185,30906,30977,-1,-0.00829004,0.04345808
186,30978,31049,-1,-0.00679331,0.03666476
187,31050,31121,-1,0.00253247,0.03919723
188,31122,31193,-1,-0.00041218,0.03878505
189,31194,31265,-1,0.00058239,0.03936744
190,31266,31337,-1,0.00582864,0.04519608
191,31339,31410,-1,0.00705064,0.05224671
192,31411,31482,-1,-0.00012529,0.05212142
193,31493,31564,-1,0.00617126,0.05829268
194,31571,31642,-1,-0.00017879,0.05811389
195,31643,31714,-1,0.00087109,0.05898497
196,31715,31786,-1,-0.00126684,0.05771813
197,31787,31858,-1,0.00397072,0.06168885
198,31859,31930,-1,-0.00136631,0.06032254
199,31931,32002,-1,-0.00215922,0.05816332
200,32003,32074,-1,0.00229666,0.06045998
