fold,entry_bar,exit_bar,direction,confidence,realized_return,source
1,16954,17025,1,0.916754,0.0084032,model
1,17026,17097,-1,0.198194,0.0050843,model
1,17121,17192,-1,0.319004,-0.00382402,model
1,17193,17264,-1,0.142525,0.00338775,model
1,17274,17345,-1,0.151139,-0.00998459,model
1,17346,17417,-1,0.105518,0.00251718,model
1,17421,17492,-1,0.295697,-0.00297271,model
1,17504,17575,-1,0.189664,0.00290707,model
1,17576,17647,-1,0.155,-0.00221593,model
1,17656,17727,-1,0.109443,0.00070404,model
1,17728,17799,-1,0.01769,0.00020658,model
1,17811,17882,-1,0.151057,0.00315963,model
1,17885,17956,1,0.736799,-0.00297161,model
1,17989,18060,-1,0.287525,0.004132,model
1,18061,18132,1,0.69403,0.00162917,model
1,18133,18204,1,0.707225,-0.0014369,model
1,18216,18287,-1,0.284307,-0.00031574,model
1,18288,18359,-1,0.132293,0.00343007,model
1,18360,18431,-1,0.198379,0.00587999,model
1,18432,18503,1,0.878961,-0.00100062,model
1,18511,18582,-1,0.307946,0.0019915,model
1,18583,18654,-1,0.31472,0.0001401,model
1,18655,18726,-1,0.242287,0.00059366,model
1,18737,18808,1,0.699097,0.00095543,model
1,18815,18886,1,0.691455,0.0060376,model
1,18887,18958,-1,0.06007,-0.00225831,model
1,18959,19030,-1,0.116057,-0.00193968,model
1,19032,19103,-1,0.280248,0.00336479,model
1,19104,19175,-1,0.172135,0.0024181,model
1,19230,19301,1,0.757158,0.00118139,model
1,19302,19373,-1,0.138355,0.00602521,model
1,19374,19445,1,0.880807,-0.00455694,model
1,19446,19517,1,0.883174,0.00354738,model
1,19518,19589,1,0.903644,0.00118623,model
1,19591,19662,-1,0.310373,0.0024816,model
1,19663,19734,1,0.739417,0.00112404,model
1,19735,19806,1,0.758691,0.00801226,model
1,19807,19878,-1,0.147574,-0.00206878,model
1,19879,19950,-1,0.272671,0.00026677,model
1,19951,20022,-1,0.270586,0.00635785,model
1,20023,20094,1,0.92405,0.00093285,model
1,20109,20180,-1,0.29665,-0.00038776,model
1,20181,20252,-1,0.14229,-0.00421765,model
1,20256,20327,-1,0.239083,0.00113584,model
1,20334,20405,1,0.703953,0.0015505,model
1,20412,20483,1,0.707817,-0.00111622,model
1,20554,20625,1,0.7511,0.00287364,model
1,20630,20701,-1,0.279937,0.00034426,model
1,20709,20780,-1,0.207701,-0.00160317,model
1,20781,20852,-1,0.162368,-0.00290469,model
1,20853,20924,-1,0.04762,-1.289e-05,model
1,20927,20998,1,0.770983,0.00112546,model
1,20999,21070,-1,0.072111,0.00212389,model
1,21071,21142,-1,0.055988,0.01074531,model
1,21143,21214,1,0.741544,1.263e-05,model
1,21215,21286,1,0.790841,-0.00064864,model
1,21287,21358,1,0.698417,0.00218937,model
1,21360,21431,-1,0.248059,-0.00520802,model
1,21432,21503,-1,0.298442,0.00284606,model
1,21514,21585,-1,0.288974,-0.00044177,model
1,21604,21675,-1,0.311358,0.01223007,model
1,21676,21747,1,0.964317,0.00208308,model
1,21748,21819,1,0.909829,0.00218277,model
1,21820,21891,-1,0.105265,-0.00386412,model
1,21892,21963,-1,0.131079,-0.01353954,model
1,21964,22035,-1,0.236022,0.00167756,model
1,22036,22107,-1,0.193542,0.00047792,model
1,22109,22180,-1,0.294022,-0.0086343,model
1,22181,22252,-1,0.052564,-0.00035232,model
1,22253,22324,-1,0.115971,0.00139269,model
1,22325,22396,1,0.73247,-0.00277672,model
1,22397,22468,-1,0.109095,-0.00343161,model
1,22469,22540,-1,0.037556,0.00482059,model
1,22541,22612,-1,0.308739,0.00104539,model
1,22613,22684,-1,0.295411,0.00068327,model
1,22685,22756,-1,0.178156,0.01927433,model
1,22757,22828,1,0.953633,0.00330782,model
1,22841,22912,-1,0.291945,0.00172068,model
1,22913,22984,-1,0.055658,0.00194191,model
1,22985,23056,-1,0.095131,0.00381092,model
1,23057,23128,-1,0.222898,-0.0072957,model
1,23129,23200,-1,0.07108,0.00044275,model
1,23201,23272,-1,0.02557,-0.00606904,model
1,23273,23344,-1,0.019973,0.00165873,model
1,23345,23416,-1,0.106775,0.00132863,model
