trade_num,entry_bar,exit_bar,direction,return_net,cumulative_equity
1,130736,130807,-1,0.00375209,0.00375209
2,130808,130879,1,-0.00033665,0.00341545
3,130880,130951,1,-0.00572157,-0.00230612
4,130952,131023,1,0.00418888,0.00188275
5,131024,131095,-1,-0.00332968,-0.00144692
6,131096,131167,-1,-0.00052692,-0.00197385
7,131168,131239,-1,0.00358336,0.00160952
8,131240,131311,1,0.0011133,0.00272282
9,131312,131383,1,-0.00109893,0.00162388
10,131384,131455,1,0.00079766,0.00242155
11,131456,131527,-1,-0.00212996,0.00029159
12,131528,131599,-1,-0.00115735,-0.00086576
13,131610,131681,1,-0.02085759,-0.02172335
14,131682,131753,1,0.00277446,-0.01894889
15,131754,131825,-1,0.01082327,-0.00812562
16,131826,131897,1,0.00181132,-0.0063143
17,131898,131969,1,-0.00097882,-0.00729313
18,131987,132058,-1,-0.00242927,-0.00972239
19,132059,132130,-1,0.00118608,-0.00853631
20,132135,132206,1,0.00344814,-0.00508817
21,132211,132282,-1,-0.00353554,-0.00862371
22,132283,132354,-1,0.00082176,-0.00780195
23,132355,132426,1,0.00147473,-0.00632722
24,132427,132498,1,-0.00287248,-0.0091997
25,132499,132570,-1,0.00279791,-0.00640179
26,132571,132642,-1,0.00353772,-0.00286407
27,132643,132714,-1,-0.00149136,-0.00435543
28,132715,132786,1,0.00304756,-0.00130788
29,132787,132858,-1,-0.00114229,-0.00245016
30,132859,132930,1,-0.0002022,-0.00265236
31,132931,133002,1,-0.00425418,-0.00690655
32,133003,133074,1,6.79e-06,-0.00689976
33,133075,133146,-1,-0.0002,-0.00709976
34,133147,133218,-1,-0.00052689,-0.00762664
35,133219,133290,-1,0.00256866,-0.00505798
36,133296,133367,-1,-0.00185641,-0.00691439
37,133374,133445,-1,0.0007561,-0.00615829
38,133446,133517,1,0.00170775,-0.00445054
39,133518,133589,1,0.00037453,-0.00407601
40,133593,133664,1,0.00416833,9.231e-05
41,133665,133736,-1,-0.00483852,-0.00474621
42,133737,133808,-1,0.00454708,-0.00019913
43,133809,133880,-1,-0.00281399,-0.00301312
44,133882,133953,-1,-0.00259059,-0.0056037
45,133954,134025,-1,0.0025857,-0.00301801
46,134026,134097,1,0.00146315,-0.00155485
47,134098,134169,1,0.00354565,0.0019908
48,134170,134241,-1,-0.0031547,-0.0011639
49,134242,134313,-1,0.00270497,0.00154106
50,134314,134385,-1,-0.0081045,-0.00656343
51,134386,134457,-1,-0.00442075,-0.01098418
52,134458,134529,-1,0.00131212,-0.00967206
53,134530,134601,-1,-0.00071781,-0.01038987
54,134602,134673,-1,0.00720032,-0.00318955
55,134674,134745,1,0.00566078,0.00247123
56,134746,134817,1,-0.00829713,-0.0058259
57,134823,134894,1,0.01022967,0.00440377
58,134895,134966,-1,0.00171132,0.00611509
59,134967,135038,1,0.00219482,0.00830991
60,135039,135110,-1,-0.00531075,0.00299916
61,135111,135182,-1,-0.000209,0.00279015
62,135183,135254,-1,-0.00212397,0.00066618
63,135255,135326,-1,-0.00697055,-0.00630437
64,135327,135398,-1,0.00264248,-0.00366189
65,135408,135479,1,0.00765377,0.00399188
66,135480,135551,-1,0.00265226,0.00664414
67,135552,135623,1,-0.00232135,0.00432279
68,135640,135711,-1,0.00096309,0.00528588
69,135718,135789,1,-0.00247809,0.00280778
70,135790,135861,1,0.00040516,0.00321294
71,135865,135936,-1,-0.00512913,-0.00191619
72,135937,136008,-1,-0.00361952,-0.00553571
73,136009,136080,-1,0.00094968,-0.00458603
74,136081,136152,-1,-0.00345961,-0.00804565
75,136153,136224,-1,0.00350801,-0.00453764
76,136225,136296,1,0.00421637,-0.00032127
77,136299,136370,-1,-7.869e-05,-0.00039995
78,136371,136442,-1,-0.00227799,-0.00267795
79,136443,136514,-1,0.00353194,0.00085399
80,136516,136587,1,0.00460119,0.00545519
81,136590,136661,1,0.00573322,0.01118841
82,136662,136733,-1,-0.00642569,0.00476272
83,136734,136805,-1,0.00130708,0.00606979
84,136806,136877,-1,0.00553925,0.01160904
85,136878,136949,1,-0.00245971,0.00914933
86,136950,137021,1,0.00286026,0.01200959
87,137022,137093,-1,0.00281125,0.01482084
88,137094,137165,1,0.0074041,0.02222494
89,137166,137237,-1,-0.00335136,0.01887359
90,137238,137309,-1,0.00190298,0.02077657
91,137310,137381,-1,0.00034711,0.02112368
92,137383,137454,-1,-0.00708147,0.01404221
93,137455,137526,-1,-0.00226471,0.01177751
94,137527,137598,-1,0.00125498,0.01303249
95,137600,137671,-1,-0.00300683,0.01002566
96,137672,137743,-1,0.00300162,0.01302728
97,137744,137815,-1,0.00054962,0.01357691
98,137816,137887,-1,0.00175297,0.01532988
99,137888,137959,1,-0.00946879,0.00586109
100,137960,138031,1,0.00068354,0.00654462
101,138032,138103,1,0.00143409,0.00797871
102,138106,138177,1,0.00437775,0.01235646
103,138178,138249,1,0.00095452,0.01331099
104,138250,138321,-1,0.00360664,0.01691763
105,138322,138393,1,-0.00053211,0.01638551
106,138395,138466,-1,-0.0023966,0.01398891
107,138467,138538,-1,-0.006145,0.00784391
108,138539,138610,-1,0.0017798,0.00962371
109,138616,138687,-1,-0.00275014,0.00687357
110,138688,138759,-1,-0.00143527,0.0054383
111,138760,138831,-1,0.00154116,0.00697946
112,138832,138903,-1,0.00162415,0.0086036
113,138904,138975,-1,0.00195785,0.01056146
114,138976,139047,1,-0.00164254,0.00891892
115,139048,139119,1,-0.00395912,0.00495979
116,139120,139191,1,9.516e-05,0.00505495
117,139192,139263,-1,0.00574607,0.01080102
118,139264,139335,1,0.00092423,0.01172525
119,139336,139407,-1,0.00134896,0.01307421
120,139408,139479,-1,0.00680166,0.01987587
121,139481,139552,1,0.00167057,0.02154643
122,139572,139643,-1,0.00426015,0.02580659
123,139644,139715,1,-0.0003018,0.02550479
124,139738,139809,1,0.00616374,0.03166853
125,139810,139881,1,0.00418251,0.03585104
126,139882,139953,-1,0.00366054,0.03951158
127,139954,140025,1,0.00211115,0.04162273
128,140026,140097,-1,-0.0030686,0.03855413
129,140098,140169,-1,-0.00434538,0.03420875
130,140170,140241,-1,0.00249267,0.03670142
131,140242,140313,1,0.01307939,0.04978081
132,140314,140385,-1,0.0026588,0.05243961
133,140386,140457,-1,0.00128687,0.05372648
134,140458,140529,-1,-0.00169637,0.05203011
135,140530,140601,-1,0.00398885,0.05601896
136,140602,140673,-1,-0.00392613,0.05209284
137,140674,140745,-1,-0.00582246,0.04627038
138,140746,140817,-1,-0.00416415,0.04210623
139,140818,140889,-1,0.00534994,0.04745617
140,140890,140961,1,-0.00147135,0.04598481
141,140962,141033,1,-0.00031952,0.0456653
142,141034,141105,1,-0.00118965,0.04447564
143,141108,141179,-1,-0.00434158,0.04013407
144,141180,141251,-1,-0.00559082,0.03454325
145,141252,141323,-1,-0.00016036,0.03438289
146,141324,141395,-1,-0.00287793,0.03150496
147,141396,141467,-1,-0.0072356,0.02426936
148,141468,141539,-1,0.00271358,0.02698294
149,141540,141611,-1,0.00167568,0.02865862
150,141612,141683,1,0.00286135,0.03151996
151,141684,141755,-1,-0.00044077,0.03107919
152,141756,141827,-1,8.942e-05,0.03116861
153,141829,141900,1,0.00308244,0.03425105
154,141901,141972,-1,-0.00487742,0.02937363
155,141973,142044,-1,0.00162448,0.03099811
156,142046,142117,1,0.0006503,0.03164841
157,142118,142189,-1,0.00196143,0.03360984
158,142190,142261,-1,0.00391923,0.03752907
159,142262,142333,1,-0.00647018,0.03105889
160,142336,142407,1,-0.00137951,0.02967939
161,142409,142480,1,0.00231567,0.03199506
162,142481,142552,-1,-0.0050539,0.02694116
163,142554,142625,1,-0.00110585,0.02583531
164,142626,142697,-1,0.00024144,0.02607675
165,142698,142769,-1,0.00588211,0.03195886
166,142770,142841,1,0.00276819,0.03472705
167,142843,142914,1,0.00115314,0.03588019
