fold,entry_bar,exit_bar,direction,confidence,realized_return,source
1,130736,130807,-1,0.370252,0.00395209,model
1,130808,130879,1,0.844863,-0.00013665,model
1,130880,130951,1,0.699193,-0.00552157,model
1,130952,131023,1,0.767656,0.00438888,model
1,131024,131095,-1,0.307154,-0.00312968,model
1,131096,131167,-1,0.298115,-0.00032692,model
1,131168,131239,-1,0.352347,0.00378336,model
1,131240,131311,1,0.765064,0.0013133,model
1,131312,131383,1,0.737944,-0.00089893,model
1,131384,131455,1,0.680238,0.00099766,model
1,131456,131527,-1,0.286695,-0.00192996,model
1,131528,131599,-1,0.3093,-0.00095735,model
1,131610,131681,1,0.610696,-0.02065759,model
1,131682,131753,1,0.652206,0.00297446,model
1,131754,131825,-1,0.346796,0.01102327,model
1,131826,131897,1,0.675759,0.00201132,model
1,131898,131969,1,0.803026,-0.00077882,model
1,131987,132058,-1,0.368609,-0.00222927,model
1,132059,132130,-1,0.344933,0.00138608,model
1,132135,132206,1,0.602413,0.00364814,model
1,132211,132282,-1,0.116957,-0.00333554,model
1,132283,132354,-1,0.200311,0.00102176,model
1,132355,132426,1,0.713291,0.00167473,model
1,132427,132498,1,0.700816,-0.00267248,model
1,132499,132570,-1,0.401722,0.00299791,model
1,132571,132642,-1,0.339761,0.00373772,model
1,132643,132714,-1,0.380559,-0.00129136,model
1,132715,132786,1,0.735652,0.00324756,model
1,132787,132858,-1,0.264548,-0.00094229,model
1,132859,132930,1,0.630076,-2.2e-06,model
1,132931,133002,1,0.676014,-0.00405418,model
1,133003,133074,1,0.770245,0.00020679,model
1,133075,133146,-1,0.312272,-0.0,model
1,133147,133218,-1,0.157606,-0.00032689,model
1,133219,133290,-1,0.191711,0.00276866,model
1,133296,133367,-1,0.398982,-0.00165641,model
1,133374,133445,-1,0.415037,0.0009561,model
1,133446,133517,1,0.687823,0.00190775,model
1,133518,133589,1,0.605728,0.00057453,model
1,133593,133664,1,0.623312,0.00436833,model
1,133665,133736,-1,0.100245,-0.00463852,model
1,133737,133808,-1,0.069075,0.00474708,model
1,133809,133880,-1,0.359817,-0.00261399,model
1,133882,133953,-1,0.408087,-0.00239059,model
1,133954,134025,-1,0.123405,0.0027857,model
1,134026,134097,1,0.602151,0.00166315,model
1,134098,134169,1,0.673077,0.00374565,model
1,134170,134241,-1,0.184032,-0.0029547,model
1,134242,134313,-1,0.157619,0.00290497,model
1,134314,134385,-1,0.266165,-0.0079045,model
1,134386,134457,-1,0.25501,-0.00422075,model
1,134458,134529,-1,0.071639,0.00151212,model
1,134530,134601,-1,0.136408,-0.00051781,model
1,134602,134673,-1,0.275729,0.00740032,model
1,134674,134745,1,0.595362,0.00586078,model
1,134746,134817,1,0.617985,-0.00809713,model
1,134823,134894,1,0.60546,0.01042967,model
1,134895,134966,-1,0.272101,0.00191132,model
1,134967,135038,1,0.826439,0.00239482,model
1,135039,135110,-1,0.397923,-0.00511075,model
1,135111,135182,-1,0.241649,-9e-06,model
1,135183,135254,-1,0.306756,-0.00192397,model
1,135255,135326,-1,0.227374,-0.00677055,model
1,135327,135398,-1,0.249587,0.00284248,model
1,135408,135479,1,0.852344,0.00785377,model
1,135480,135551,-1,0.323006,0.00285226,model
1,135552,135623,1,0.773631,-0.00212135,model
1,135640,135711,-1,0.35561,0.00116309,model
1,135718,135789,1,0.585792,-0.00227809,model
1,135790,135861,1,0.722801,0.00060516,model
1,135865,135936,-1,0.412692,-0.00492913,model
1,135937,136008,-1,0.28481,-0.00341952,model
1,136009,136080,-1,0.198938,0.00114968,model
1,136081,136152,-1,0.23777,-0.00325961,model
1,136153,136224,-1,0.14236,0.00370801,model
1,136225,136296,1,0.586678,0.00441637,model
1,136299,136370,-1,0.22718,0.00012131,model
1,136371,136442,-1,0.375989,-0.00207799,model
1,136443,136514,-1,0.188774,0.00373194,model
1,136516,136587,1,0.594177,0.00480119,model
1,136590,136661,1,0.594736,0.00593322,model
1,136662,136733,-1,0.090718,-0.00622569,model
1,136734,136805,-1,0.142661,0.00150708,model
1,136806,136877,-1,0.226408,0.00573925,model
1,136878,136949,1,0.750084,-0.00225971,model
1,136950,137021,1,0.598246,0.00306026,model
1,137022,137093,-1,0.126903,0.00301125,model
1,137094,137165,1,0.599421,0.0076041,model
1,137166,137237,-1,0.199459,-0.00315136,model
1,137238,137309,-1,0.078422,0.00210298,model
1,137310,137381,-1,0.172226,0.00054711,model
1,137383,137454,-1,0.375478,-0.00688147,model
1,137455,137526,-1,0.224706,-0.00206471,model
1,137527,137598,-1,0.266916,0.00145498,model
1,137600,137671,-1,0.416681,-0.00280683,model
1,137672,137743,-1,0.183494,0.00320162,model
1,137744,137815,-1,0.336074,0.00074962,model
1,137816,137887,-1,0.324481,0.00195297,model
1,137888,137959,1,0.725294,-0.00926879,model
1,137960,138031,1,0.841,0.00088354,model
1,138032,138103,1,0.623907,0.00163409,model
1,138106,138177,1,0.608382,0.00457775,model
1,138178,138249,1,0.658796,0.00115452,model
1,138250,138321,-1,0.18392,0.00380664,model
1,138322,138393,1,0.732123,-0.00033211,model
1,138395,138466,-1,0.401907,-0.0021966,model
1,138467,138538,-1,0.290752,-0.005945,model
1,138539,138610,-1,0.268673,0.0019798,model
1,138616,138687,-1,0.363508,-0.00255014,model
1,138688,138759,-1,0.259041,-0.00123527,model
1,138760,138831,-1,0.219565,0.00174116,model
1,138832,138903,-1,0.131927,0.00182415,model
1,138904,138975,-1,0.128277,0.00215785,model
1,138976,139047,1,0.594133,-0.00144254,model
1,139048,139119,1,0.706922,-0.00375912,model
1,139120,139191,1,0.641998,0.00029516,model
1,139192,139263,-1,0.309481,0.00594607,model
1,139264,139335,1,0.602711,0.00112423,model
1,139336,139407,-1,0.225674,0.00154896,model
1,139408,139479,-1,0.290722,0.00700166,model
1,139481,139552,1,0.591529,0.00187057,model
1,139572,139643,-1,0.404006,0.00446015,model
1,139644,139715,1,0.632312,-0.0001018,model
1,139738,139809,1,0.601501,0.00636374,model
1,139810,139881,1,0.754094,0.00438251,model
1,139882,139953,-1,0.267127,0.00386054,model
1,139954,140025,1,0.61302,0.00231115,model
1,140026,140097,-1,0.324537,-0.0028686,model
1,140098,140169,-1,0.201731,-0.00414538,model
1,140170,140241,-1,0.224297,0.00269267,model
1,140242,140313,1,0.665519,0.01327939,model
1,140314,140385,-1,0.136636,0.0028588,model
1,140386,140457,-1,0.246556,0.00148687,model
1,140458,140529,-1,0.187059,-0.00149637,model
1,140530,140601,-1,0.064786,0.00418885,model
1,140602,140673,-1,0.362678,-0.00372613,model
1,140674,140745,-1,0.391216,-0.00562246,model
1,140746,140817,-1,0.087992,-0.00396415,model
1,140818,140889,-1,0.102518,0.00554994,model
1,140890,140961,1,0.755918,-0.00127135,model
1,140962,141033,1,0.802299,-0.00011952,model
1,141034,141105,1,0.682411,-0.00098965,model
1,141108,141179,-1,0.405727,-0.00414158,model
1,141180,141251,-1,0.379252,-0.00539082,model
1,141252,141323,-1,0.271981,3.964e-05,model
1,141324,141395,-1,0.350896,-0.00267793,model
1,141396,141467,-1,0.400452,-0.0070356,model
1,141468,141539,-1,0.077548,0.00291358,model
1,141540,141611,-1,0.108009,0.00187568,model
1,141612,141683,1,0.635578,0.00306135,model
1,141684,141755,-1,0.311725,-0.00024077,model
1,141756,141827,-1,0.404328,0.00028942,model
1,141829,141900,1,0.585057,0.00328244,model
1,141901,141972,-1,0.316662,-0.00467742,model
1,141973,142044,-1,0.177373,0.00182448,model
1,142046,142117,1,0.621398,0.0008503,model
1,142118,142189,-1,0.144829,0.00216143,model
1,142190,142261,-1,0.319724,0.00411923,model
1,142262,142333,1,0.734133,-0.00627018,model
1,142336,142407,1,0.629991,-0.00117951,model
1,142409,142480,1,0.703313,0.00251567,model
1,142481,142552,-1,0.387273,-0.0048539,model
1,142554,142625,1,0.669061,-0.00090585,model
1,142626,142697,-1,0.341714,0.00044144,model
1,142698,142769,-1,0.402971,0.00608211,model
1,142770,142841,1,0.744687,0.00296819,model
1,142843,142914,1,0.595092,0.00135314,model
1,142915,142986,-1,0.325134,-0.00087123,model
1,142987,143058,-1,0.144552,0.00202862,model
1,143059,143130,1,0.613039,0.00184955,model
1,143131,143202,1,0.725377,-0.00234715,model
1,143242,143313,1,0.5832,-0.00319254,model
1,143314,143385,1,0.705365,0.00883393,model
1,143386,143457,-1,0.192551,-0.00311231,model
1,143458,143529,-1,0.125368,-0.00236019,model
1,143530,143601,-1,0.1878,-0.00079894,model
1,143602,143673,-1,0.315347,-1.613e-05,model
1,143674,143745,-1,0.243296,0.00134805,model
1,143746,143817,1,0.583207,0.00294399,model
1,143818,143889,-1,0.150055,0.00221969,model
1,143890,143961,1,0.74264,-0.00241273,model
1,143962,144033,1,0.645653,-0.00218014,model
1,144034,144105,1,0.704308,0.00301238,model
1,144106,144177,-1,0.368804,-2.385e-05,model
1,144178,144249,1,0.582016,-0.00263087,model
1,144250,144321,-1,0.368246,0.00220717,model
1,144325,144396,-1,0.39818,-0.00523652,model
1,144397,144468,-1,0.107625,0.00129312,model
1,144470,144541,1,0.587366,-0.00173653,model
1,144542,144613,1,0.758713,0.00241527,model
1,144614,144685,1,0.755987,-0.00092126,model
1,144686,144757,1,0.617376,0.0002991,model
1,144758,144829,-1,0.140133,0.00044464,model
1,144830,144901,-1,0.321879,-0.00957934,model
1,144902,144973,-1,0.130173,-0.00077858,model
1,144974,145045,-1,0.144001,-0.00022565,model
1,145046,145117,-1,0.118229,-0.00332171,model
1,145118,145189,-1,0.205648,0.00081493,model
1,145190,145261,1,0.654726,0.00368402,model
1,145262,145333,-1,0.274965,0.00064668,model
1,145334,145405,-1,0.247995,0.00038717,model
1,145406,145477,-1,0.214643,-0.00578954,model
1,145478,145549,-1,0.082465,0.00797293,model
1,145550,145621,-1,0.350918,-0.00029512,model
1,145622,145693,-1,0.335479,0.00108598,model
1,145694,145765,-1,0.350314,-0.00308568,model
1,145770,145841,1,0.653491,-0.00796109,model
1,145842,145913,1,0.869087,-0.00165618,model
1,145914,145985,-1,0.384179,0.00036859,model
1,145986,146057,-1,0.412375,-0.00520881,model
1,146059,146130,1,0.624869,-0.0008502,model
1,146131,146202,-1,0.20128,0.00011235,model
1,146203,146274,-1,0.220363,0.00641211,model
1,146278,146349,1,0.58807,-0.00160658,model
1,146350,146421,1,0.803952,-0.00222427,model
1,146443,146514,1,0.636899,-0.00502431,model
1,146515,146586,1,0.831993,-0.00330247,model
1,146587,146658,1,0.90688,0.0093606,model
1,146659,146730,-1,0.311088,0.00243986,model
1,146748,146819,-1,0.369259,0.00171904,model
1,146822,146893,1,0.618918,-0.00387926,model
1,146894,146965,1,0.813275,0.00066172,model
1,146966,147037,-1,0.248013,0.00229976,model
1,147038,147109,-1,0.232951,0.00505837,model
1,147118,147189,1,0.598737,-0.00288937,model
1,147190,147261,1,0.869426,0.00135601,model
1,147262,147333,-1,0.280734,0.00414036,model
1,147334,147405,-1,0.369172,0.00239359,model
1,147406,147477,1,0.728958,-0.00097261,model
1,147478,147549,1,0.806325,-0.00235606,model
1,147550,147621,-1,0.348884,0.00121582,model
1,147622,147693,-1,0.315282,8.844e-05,model
1,147694,147765,1,0.756504,-0.00420988,model
1,147766,147837,1,0.800058,-0.00091531,model
1,147838,147909,1,0.688143,-0.00016112,model
1,147910,147981,1,0.621762,0.00402858,model
1,147982,148053,1,0.689363,0.00282696,model
1,148054,148125,-1,0.137843,-0.00232069,model
1,148126,148197,-1,0.070618,0.00348181,model
1,148198,148269,1,0.586903,-0.0006145,model
1,148270,148341,1,0.643959,-0.00084389,model
1,148342,148413,-1,0.321698,-0.00034953,model
1,148414,148485,-1,0.395069,-0.00127032,model
1,148486,148557,1,0.681944,-0.00414163,model
1,148558,148629,1,0.824854,0.00236049,model
1,148630,148701,1,0.609084,-0.00087012,model
1,148702,148773,1,0.667116,0.00125711,model
1,148774,148845,1,0.698409,0.01612091,model
1,148846,148917,-1,0.204885,-0.00327964,model
1,148918,148989,-1,0.049039,-0.00451053,model
1,148990,149061,-1,0.033299,0.0033703,model
1,149062,149133,-1,0.178153,0.00091485,model
1,149134,149205,-1,0.109302,0.00028408,model
1,149206,149277,1,0.621557,0.0026481,model
1,149278,149349,-1,0.251839,0.00074874,model
1,149355,149426,1,0.684461,0.0049911,model
1,149427,149498,-1,0.193442,0.00209455,model
1,149499,149570,1,0.718819,0.00068989,model
1,149577,149648,-1,0.414066,-0.00075341,model
1,149656,149727,1,0.693989,-0.00281035,model
1,149728,149799,1,0.705699,0.00367667,model
1,149800,149871,1,0.587923,0.00821608,model
1,149872,149943,-1,0.070504,-0.00054618,model
1,149944,150015,-1,0.167502,-0.00145996,model
1,150016,150087,-1,0.278576,-0.00229095,model
1,150088,150159,-1,0.178549,0.00152231,model
1,150167,150238,-1,0.174193,0.00195842,model
1,150239,150310,-1,0.332785,0.00018494,model
1,150311,150382,-1,0.403893,0.00101918,model
1,150387,150458,1,0.664951,0.00155331,model
1,150459,150530,1,0.735777,-0.00137363,model
1,150531,150602,1,0.731269,2.813e-05,model
1,150603,150674,1,0.760043,0.00361829,model
1,150676,150747,1,0.582323,0.00694198,model
1,150748,150819,-1,0.093557,-0.0012002,model
1,150820,150891,-1,0.051221,0.00189777,model
1,150916,150987,1,0.607556,-0.00066718,model
1,150988,151059,1,0.62275,0.00090953,model
1,151060,151131,-1,0.197316,4.863e-05,model
1,151132,151203,-1,0.16096,-5.18e-06,model
