fold,entry_bar,exit_bar,direction,confidence,realized_return,source
1,25288,25359,-1,0.314741,-0.00206003,model
1,25360,25431,-1,0.200943,-0.00471327,model
1,25432,25503,-1,0.106167,0.00086949,model
1,25504,25575,-1,0.29081,0.00139726,model
1,25576,25647,1,0.616311,-0.00106185,model
1,25654,25725,-1,0.418581,-0.00297328,model
1,25726,25797,-1,0.178964,-0.00109831,model
1,25798,25869,-1,0.293604,-0.00374918,model
1,25870,25941,-1,0.365715,0.00191563,model
1,25942,26013,1,0.581131,-0.00011863,model
1,26014,26085,1,0.785473,-0.00181089,model
1,26086,26157,1,0.599805,-0.00233762,model
1,26158,26229,-1,0.310755,0.00502038,model
1,26230,26301,-1,0.389449,0.00628039,model
1,26302,26373,1,0.825612,0.00107587,model
1,26374,26445,1,0.650277,-0.00106014,model
1,26447,26518,1,0.590379,0.00176348,model
1,26519,26590,-1,0.36296,-0.00104124,model
1,26593,26664,1,0.657077,0.00139701,model
1,26666,26737,-1,0.353136,0.00060552,model
1,26738,26809,1,0.72951,-0.00447576,model
1,26810,26881,1,0.882739,0.00059,model
1,26882,26953,-1,0.272646,-0.00087006,model
1,26954,27025,-1,0.158878,-0.00408451,model
1,27026,27097,-1,0.024916,0.00487084,model
1,27098,27169,-1,0.202823,0.00247405,model
1,27170,27241,1,0.698682,0.0015693,model
1,27245,27316,-1,0.392769,0.00068692,model
1,27317,27388,-1,0.375964,-0.00064421,model
1,27389,27460,-1,0.066739,0.00878202,model
1,27461,27532,1,0.878531,-0.00528881,model
1,27533,27604,1,0.9417,-0.00128479,model
1,27605,27676,1,0.868229,0.00105724,model
1,27677,27748,-1,0.228999,0.00232049,model
1,27749,27820,-1,0.041358,-0.00116639,model
1,27821,27892,-1,0.049168,-0.00081331,model
1,27893,27964,-1,0.20262,0.00030807,model
1,27965,28036,1,0.747964,-0.0001305,model
1,28037,28108,-1,0.067541,-0.00050505,model
1,28109,28180,-1,0.15076,-0.00047031,model
1,28181,28252,-1,0.279743,-0.00026156,model
1,28253,28324,1,0.614231,0.00015976,model
1,28325,28396,-1,0.121642,-0.00116801,model
1,28397,28468,-1,0.115552,0.00039101,model
1,28469,28540,-1,0.157929,0.00214506,model
1,28541,28612,-1,0.04965,-0.01193788,model
1,28613,28684,-1,0.022361,0.01062868,model
1,28685,28756,-1,0.367669,0.00121449,model
1,28757,28828,1,0.658399,-0.00062359,model
1,28829,28900,1,0.692222,0.00384692,model
1,28901,28972,-1,0.185638,-0.00130696,model
1,28983,29054,-1,0.277272,0.00016673,model
1,29060,29131,1,0.589991,-0.0011736,model
1,29132,29203,-1,0.128188,0.00550003,model
1,29204,29275,1,0.656242,-0.00210803,model
1,29276,29347,1,0.629978,-0.00583306,model
1,29348,29419,1,0.887729,0.00219293,model
1,29421,29492,1,0.622249,-0.00041346,model
1,29493,29564,-1,0.280506,0.00741397,model
1,29566,29637,1,0.687504,0.00464635,model
1,29638,29709,1,0.625177,0.00018239,model
1,29710,29781,-1,0.289057,-0.00371383,model
1,29782,29853,-1,0.079142,-0.00350043,model
1,29854,29925,-1,0.014041,0.00426062,model
1,29928,29999,-1,0.400436,0.00094427,model
1,30001,30072,1,0.674242,0.01088294,model
1,30073,30144,-1,0.010643,0.00198755,model
