trade_num,entry_bar,exit_bar,direction,return_net,cumulative_equity
1,25288,25359,-1,-0.00226003,-0.00226003
2,25360,25431,-1,-0.00491327,-0.0071733
3,25432,25503,-1,0.00066949,-0.00650381
4,25504,25575,-1,0.00119726,-0.00530655
5,25580,25651,1,0.00014964,-0.00515692
6,25662,25733,1,0.00468476,-0.00047216
7,25734,25805,-1,0.00039666,-7.55e-05
8,25806,25877,1,0.00800013,0.00792464
9,25878,25949,-1,0.00576051,0.01368514
10,25960,26031,-1,0.0027428,0.01642795
11,26040,26111,-1,0.0020197,0.01844765
12,26112,26183,-1,0.00222753,0.02067518
13,26185,26256,-1,0.00932529,0.03000047
14,26257,26328,1,-0.0014932,0.02850726
15,26329,26400,1,0.00041123,0.02891849
16,26401,26472,1,-0.00039239,0.0285261
17,26478,26549,-1,-0.0009366,0.02758951
18,26550,26621,1,-0.00010497,0.02748454
19,26624,26695,-1,-0.00196661,0.02551793
20,26699,26770,1,-0.00154888,0.02396905
21,26771,26842,1,-0.00478682,0.01918223
22,26851,26922,-1,-0.00121021,0.01797203
23,26923,26994,1,0.00240605,0.02037808
24,26995,27066,-1,0.00456336,0.02494144
25,27067,27138,-1,-0.00245434,0.02248711
26,27150,27221,1,-0.00145208,0.02103502
27,27222,27293,1,8.857e-05,0.02112359
28,27295,27366,1,0.00137166,0.02249525
29,27367,27438,-1,0.00789039,0.03038564
30,27439,27510,1,-0.00760536,0.02278028
31,27511,27582,1,0.00079403,0.02357432
32,27584,27655,1,0.00024967,0.02382399
33,27656,27727,-1,1.913e-05,0.02384312
34,27728,27799,-1,0.00127798,0.0251211
35,27800,27871,-1,-0.00121895,0.02390215
36,27872,27943,-1,9.421e-05,0.02399636
37,27948,28019,1,0.00204951,0.02604587
38,28020,28091,-1,0.00069415,0.02674002
39,28092,28163,-1,0.00079341,0.02753344
40,28164,28235,-1,-0.00203717,0.02549627
41,28236,28307,-1,0.00067486,0.02617113
42,28308,28379,-1,-0.00039882,0.02577231
43,28380,28451,-1,-0.00065256,0.02511975
44,28452,28523,-1,0.0030106,0.02813035
45,28524,28595,-1,-0.01122516,0.01690519
46,28596,28667,-1,0.00787002,0.02477521
47,28668,28739,-1,0.00223309,0.02700829
48,28740,28811,1,0.00057647,0.02758476
49,28816,28887,1,0.00530175,0.03288652
50,28888,28959,-1,0.00013517,0.03302169
51,28983,29054,-1,-3.327e-05,0.03298841
52,29061,29132,1,-0.00028469,0.03270372
53,29133,29204,-1,0.00588566,0.03858939
54,29205,29276,1,-0.00233375,0.03625563
55,29283,29354,1,-0.00299103,0.0332646
56,29355,29426,1,0.00068861,0.03395321
57,29427,29498,-1,0.00118891,0.03514212
58,29499,29570,-1,0.00230099,0.03744311
59,29571,29642,1,-0.00062846,0.03681465
60,29643,29714,1,0.00036058,0.03717523
61,29715,29786,-1,-0.00431732,0.03285791
62,29787,29858,-1,-0.00353339,0.02932452
63,29859,29930,-1,0.00404589,0.03337041
64,29935,30006,-1,-0.00252564,0.03084477
65,30007,30078,-1,-0.00689166,0.02395311
66,30079,30150,-1,0.00100054,0.02495365
67,30151,30222,-1,0.00422537,0.02917902
68,30223,30294,-1,-0.00099688,0.02818214
69,30295,30366,-1,-0.00108796,0.02709417
70,30367,30438,-1,0.00244889,0.02954306
71,30444,30515,-1,-0.00135201,0.02819105
72,30516,30587,-1,0.00220927,0.03040032
73,30588,30659,-1,-0.00275566,0.02764465
74,30660,30731,-1,0.00216227,0.02980692
75,30732,30803,1,-0.00032723,0.02947969
76,30804,30875,-1,-0.00585837,0.02362132
77,30880,30951,-1,-0.00203749,0.02158383
78,30952,31023,-1,-0.01144929,0.01013454
79,31024,31095,-1,-0.0009542,0.00918034
80,31096,31167,-1,0.00140477,0.01058511
81,31168,31239,-1,-0.00112547,0.00945964
82,31240,31311,-1,0.00429256,0.0137522
83,31314,31385,1,-0.00885891,0.00489329
84,31386,31457,1,0.0005267,0.00541999
85,31464,31535,-1,0.00459214,0.01001212
86,31538,31609,-1,0.00146172,0.01147385
87,31610,31681,1,-0.00062648,0.01084736
88,31682,31753,1,-0.00114154,0.00970582
89,31754,31825,-1,0.00028876,0.00999458
90,31826,31897,-1,0.00040139,0.01039597
91,31902,31973,-1,-0.00218694,0.00820904
92,31974,32045,-1,0.00117381,0.00938284
93,32046,32117,-1,0.00160855,0.01099139
94,32118,32189,-1,-0.00017443,0.01081696
95,32190,32261,1,0.00092011,0.01173708
96,32262,32333,-1,0.0001193,0.01185637
97,32334,32405,-1,0.00067454,0.01253091
98,32406,32477,-1,-0.01068064,0.00185028
99,32478,32549,-1,0.00343555,0.00528583
100,32550,32621,-1,-0.00118952,0.00409631
101,32622,32693,-1,0.0020101,0.00610642
102,32694,32765,-1,0.00186424,0.00797065
103,32770,32841,1,-0.00048971,0.00748094
104,32842,32913,-1,0.0048704,0.01235134
105,32923,32994,1,0.00359125,0.01594259
106,32996,33067,-1,-0.00011015,0.01583244
107,33068,33139,-1,0.00259803,0.01843047
108,33140,33211,-1,0.00200949,0.02043996
109,33214,33285,-1,0.00043218,0.02087214
110,33299,33370,-1,0.00140451,0.02227665
111,33376,33447,1,-0.00029833,0.02197833
112,33451,33522,1,0.00135378,0.0233321
113,33525,33596,-1,-0.00110518,0.02222692
114,33597,33668,1,0.00101975,0.02324668
115,33670,33741,1,0.00032799,0.02357466
116,33742,33813,-1,0.00093975,0.02451442
117,33814,33885,-1,0.00171049,0.0262249
118,33886,33957,1,0.00601146,0.03223637
119,33958,34029,-1,0.00258145,0.03481782
120,34030,34101,1,-0.0009828,0.03383502
121,34104,34175,1,-0.00604227,0.02779275
122,34176,34247,1,-0.00444622,0.02334652
123,34248,34319,1,-0.0032423,0.02010423
124,34320,34391,1,-0.00028758,0.01981665
125,34392,34463,-1,-0.0061772,0.01363944
126,34464,34535,-1,0.00077539,0.01441483
127,34536,34607,1,-0.00111416,0.01330067
