fold,entry_bar,exit_bar,direction,confidence,realized_return,source
1,25288,25359,-1,0.335448,-0.00206003,model
1,25360,25431,-1,0.102462,-0.00471327,model
1,25432,25503,-1,0.126332,0.00086949,model
1,25505,25576,1,0.595156,-0.00162114,model
1,25577,25648,1,0.765135,-0.00020913,model
1,25649,25720,1,0.698037,0.0034635,model
1,25721,25792,-1,0.24508,-0.00107019,model
1,25793,25864,-1,0.270681,0.00038791,model
1,25868,25939,1,0.587741,0.00168216,model
1,25943,26014,1,0.63636,0.00086232,model
1,26015,26086,1,0.713544,-0.00156937,model
1,26087,26158,1,0.713564,-0.00228051,model
1,26159,26230,-1,0.374919,0.00500316,model
1,26231,26302,1,0.712616,-0.00651779,model
1,26303,26374,1,0.906855,0.0012178,model
1,26375,26446,1,0.784841,-0.00142361,model
1,26447,26518,1,0.661425,0.00176348,model
1,26521,26592,-1,0.17848,0.00151416,model
1,26593,26664,1,0.664098,0.00139701,model
1,26667,26738,-1,0.367359,0.000359,model
1,26739,26810,1,0.749339,-0.00441422,model
1,26811,26882,1,0.848983,1.327e-05,model
1,26883,26954,-1,0.31204,-0.00106106,model
1,26955,27026,-1,0.159945,-0.00381894,model
1,27027,27098,-1,0.077211,0.00489907,model
1,27099,27170,1,0.582099,-0.00214673,model
1,27171,27242,1,0.67388,0.00136543,model
1,27244,27315,-1,0.406166,0.00067177,model
1,27317,27388,-1,0.391807,-0.00064421,model
1,27389,27460,-1,0.076105,0.00878202,model
1,27461,27532,1,0.80693,-0.00528881,model
1,27533,27604,1,0.937038,-0.00128479,model
1,27605,27676,1,0.810341,0.00105724,model
1,27677,27748,-1,0.267293,0.00232049,model
1,27749,27820,-1,0.100689,-0.00116639,model
1,27821,27892,-1,0.054244,-0.00081331,model
1,27893,27964,-1,0.256389,0.00030807,model
1,27966,28037,-1,0.32922,0.00040354,model
1,28038,28109,-1,0.062196,-0.00047127,model
1,28110,28181,-1,0.113483,-0.00033438,model
1,28182,28253,-1,0.16943,-0.0002422,model
1,28254,28325,-1,0.381837,0.00063085,model
1,28326,28397,-1,0.183098,-0.00181073,model
1,28398,28469,-1,0.158965,0.00031584,model
1,28470,28541,-1,0.251155,0.00247223,model
1,28542,28613,-1,0.04099,-0.01097769,model
1,28614,28685,-1,0.121121,0.00940818,model
