trade_num,entry_bar,exit_bar,direction,return_net,cumulative_equity
1,25288,25359,-1,-0.00226003,-0.00226003
2,25360,25431,-1,-0.00491327,-0.0071733
3,25432,25503,-1,0.00066949,-0.00650381
4,25512,25583,1,-0.00156453,-0.00806834
5,25584,25655,1,-0.00088604,-0.00895438
6,25656,25727,1,0.00346872,-0.00548567
7,25728,25799,-1,-0.00080062,-0.00628628
8,25800,25871,-1,-0.0045431,-0.01082938
9,25872,25943,-1,0.00244943,-0.00837996
10,25948,26019,1,0.00010922,-0.00827074
11,26020,26091,1,-0.00108017,-0.00935091
12,26092,26163,1,-0.0025497,-0.01190061
13,26164,26235,-1,0.00547195,-0.00642867
14,26236,26307,1,-0.00557325,-0.01200192
15,26308,26379,1,0.00032283,-0.01167909
16,26380,26451,1,-0.00121116,-0.01289025
17,26459,26530,-1,-0.00150756,-0.01439781
18,26537,26608,-1,0.00147013,-0.01292768
19,26609,26680,1,0.00100373,-0.01192395
20,26689,26760,-1,0.00195671,-0.00996724
21,26761,26832,1,-0.00452909,-0.01449633
22,26833,26904,1,0.00135027,-0.01314606
23,26905,26976,1,0.00099477,-0.01215129
24,26977,27048,-1,-0.00329049,-0.01544178
25,27049,27120,-1,0.00639141,-0.00905037
26,27121,27192,1,0.00093362,-0.00811676
27,27196,27267,-1,0.00013531,-0.00798145
28,27296,27367,1,0.00089993,-0.00708152
29,27368,27439,-1,0.00776754,0.00068602
30,27441,27512,1,-0.00918807,-0.00850205
31,27513,27584,1,0.00101731,-0.00748474
32,27585,27656,1,5.414e-05,-0.0074306
33,27657,27728,-1,-0.00058697,-0.00801758
34,27729,27800,-1,0.00048951,-0.00752807
35,27801,27872,-1,-0.00013645,-0.00766452
36,27873,27944,-1,3.739e-05,-0.00762713
37,27947,28018,-1,-0.00250983,-0.01013696
38,28019,28090,-1,0.00099461,-0.00914235
39,28091,28162,-1,0.00063704,-0.00850531
40,28163,28234,-1,-0.0020624,-0.01056771
41,28235,28306,-1,0.00029574,-0.01027197
42,28307,28378,-1,-3.61e-05,-0.01030807
43,28379,28450,-1,-0.00087602,-0.01118409
44,28451,28522,-1,0.00303466,-0.00814943
45,28523,28594,-1,-0.01261368,-0.0207631
46,28595,28666,-1,0.0093302,-0.0114329
47,28669,28740,-1,0.00253577,-0.00889713
48,28741,28812,1,0.00022925,-0.00866788
49,28813,28884,1,0.00480927,-0.00385861
50,28885,28956,-1,-0.00051675,-0.00437536
51,28957,29028,-1,0.00094052,-0.00343484
52,29029,29100,-1,0.00304256,-0.00039228
53,29101,29172,1,0.00193936,0.00154708
54,29173,29244,-1,0.00394291,0.00548999
55,29245,29316,1,-0.0108863,-0.0053963
56,29317,29388,1,0.00295265,-0.00244365
57,29389,29460,-1,-0.00060771,-0.00305136
58,29461,29532,-1,0.00068062,-0.00237075
59,29533,29604,-1,0.00134433,-0.00102642
60,29605,29676,-1,0.00053366,-0.00049276
61,29677,29748,-1,-0.00240276,-0.00289552
62,29749,29820,-1,-0.00035342,-0.00324894
63,29821,29892,-1,-0.00151141,-0.00476035
64,29893,29964,-1,7.972e-05,-0.00468063
65,29965,30036,1,0.00584678,0.00116615
66,30037,30108,-1,-0.00136899,-0.00020284
67,30109,30180,-1,-0.00024636,-0.0004492
68,30181,30252,-1,0.00625162,0.00580242
69,30253,30324,-1,-0.00271981,0.00308261
70,30325,30396,-1,-0.00091564,0.00216697
71,30397,30468,-1,0.00080678,0.00297375
72,30469,30540,-1,0.00027879,0.00325254
73,30541,30612,-1,0.0034044,0.00665693
74,30616,30687,1,0.00506435,0.01172128
75,30688,30759,-1,0.00315432,0.0148756
76,30761,30832,-1,-0.00652329,0.00835231
77,30833,30904,-1,-0.00117287,0.00717944
78,30905,30976,-1,-0.00879494,-0.0016155
79,30977,31048,-1,-0.00595119,-0.00756669
80,31049,31120,-1,0.00170854,-0.00585815
81,31121,31192,-1,-0.00078753,-0.00664569
82,31193,31264,-1,0.00132256,-0.00532312
83,31265,31336,1,-0.00581646,-0.01113959
84,31337,31408,1,-0.00787119,-0.01901078
85,31409,31480,1,-0.00079377,-0.01980455
86,31482,31553,1,-0.00473298,-0.02453753
87,31555,31626,1,-0.00121631,-0.02575384
88,31627,31698,-1,0.00037733,-0.02537651
89,31709,31780,1,0.0018102,-0.02356631
90,31781,31852,-1,0.004394,-0.01917231
91,31853,31924,-1,-0.0011461,-0.02031841
92,31926,31997,-1,-0.00211785,-0.02243627
93,31998,32069,-1,0.00310424,-0.01933202
94,32070,32141,-1,8.969e-05,-0.01924233
95,32142,32213,-1,-0.00112502,-0.02036735
96,32214,32285,-1,0.00044853,-0.01991882
97,32286,32357,-1,-0.0002558,-0.02017462
98,32358,32429,-1,-0.00099194,-0.02116656
99,32430,32501,-1,-0.00666907,-0.02783563
100,32502,32573,-1,0.00302782,-0.02480781
101,32585,32656,1,0.00159814,-0.02320967
102,32657,32728,-1,-0.0014036,-0.02461327
103,32729,32800,-1,0.00270783,-0.02190544
104,32802,32873,-1,0.00288961,-0.01901583
105,32878,32949,-1,-0.00088281,-0.01989864
106,32950,33021,-1,-0.00077298,-0.02067161
107,33022,33093,-1,0.00147345,-0.01919816
108,33094,33165,-1,0.00257979,-0.01661837
109,33170,33241,-1,0.00175756,-0.01486082
110,33245,33316,1,-0.00070064,-0.01556146
111,33318,33389,1,-0.0047152,-0.02027666
112,33390,33461,1,0.0016444,-0.01863226
113,33462,33533,-1,-0.00119081,-0.01982307
114,33539,33610,1,0.00108958,-0.01873349
115,33615,33686,-1,-0.00128105,-0.02001454
116,33687,33758,-1,-0.00098416,-0.0209987
117,33764,33835,-1,0.00119344,-0.01980526
118,33856,33927,-1,-0.00332998,-0.02313524
119,33928,33999,-1,-0.00210553,-0.02524077
120,34000,34071,-1,0.00134109,-0.02389968
121,34079,34150,-1,0.00125804,-0.02264164
122,34151,34222,-1,0.00773294,-0.0149087
