fold,entry_bar,exit_bar,direction,confidence,realized_return,source
1,16954,17025,1,0.949895,0.0084032,model
1,17026,17097,-1,0.193901,0.0050843,model
1,17098,17169,1,0.589859,0.0036329,model
1,17170,17241,-1,0.253471,0.00499526,model
1,17242,17313,1,0.793172,0.01674346,model
1,17314,17385,-1,0.045639,-0.00137174,model
1,17386,17457,-1,0.04603,9.97e-06,model
1,17458,17529,-1,0.227322,-0.00122675,model
1,17530,17601,-1,0.206402,0.00537521,model
1,17602,17673,1,0.597886,0.01538189,model
1,17674,17745,-1,0.197447,-0.00083226,model
1,17746,17817,-1,0.023532,-0.0016858,model
1,17818,17889,-1,0.151528,0.00456532,model
1,17890,17961,1,0.850819,-0.00091335,model
1,17962,18033,1,0.61784,-0.00267731,model
1,18034,18105,1,0.79535,0.00237487,model
1,18106,18177,-1,0.334364,0.00317988,model
1,18178,18249,-1,0.285172,0.00065878,model
1,18250,18321,-1,0.346148,-0.00150551,model
1,18322,18393,-1,0.088605,0.00556081,model
1,18394,18465,1,0.710059,-0.00043415,model
1,18466,18537,1,0.76143,-0.00402685,model
1,18538,18609,-1,0.170717,0.00026372,model
1,18610,18681,-1,0.354041,0.00191071,model
1,18687,18758,1,0.586634,1.214e-05,model
1,18759,18830,1,0.757591,0.00245292,model
1,18831,18902,1,0.689478,0.00518119,model
1,18903,18974,-1,0.145161,-0.00314019,model
1,18975,19046,-1,0.07978,0.0009666,model
1,19047,19118,-1,0.340415,0.00506533,model
1,19119,19190,-1,0.214725,0.00042504,model
1,19191,19262,-1,0.415927,0.0004786,model
1,19263,19334,1,0.800001,0.00133475,model
1,19335,19406,-1,0.092217,0.00737397,model
1,19407,19478,1,0.981055,0.00422865,model
1,19479,19550,1,0.778833,-0.00324283,model
1,19551,19622,1,0.595777,-0.00030767,model
1,19626,19697,-1,0.406064,0.00104943,model
1,19698,19769,1,0.853359,0.00447974,model
1,19773,19844,-1,0.300768,-0.00547491,model
1,19845,19916,-1,0.353478,0.0022605,model
1,19917,19988,-1,0.298353,-0.00304918,model
1,19989,20060,-1,0.184333,0.00444264,model
1,20061,20132,1,0.787201,-0.00171798,model
1,20133,20204,1,0.858431,0.00190855,model
1,20205,20276,-1,0.333665,-0.00102876,model
1,20286,20357,-1,0.399135,-0.00099572,model
1,20358,20429,1,0.732704,-0.00128865,model
1,20430,20501,-1,0.330488,0.00295608,model
1,20503,20574,-1,0.416602,0.00424316,model
1,20575,20646,1,0.604449,0.00112257,model
1,20647,20718,1,0.712453,0.000387,model
1,20719,20790,-1,0.245126,-0.00448514,model
1,20791,20862,-1,0.063087,-0.00108262,model
1,20863,20934,-1,0.06027,0.00224429,model
1,20935,21006,1,0.668212,0.00252598,model
1,21007,21078,-1,0.02084,0.00288421,model
1,21079,21150,-1,0.058201,0.01097313,model
1,21151,21222,1,0.813603,-0.00130997,model
1,21223,21294,1,0.817014,0.00201651,model
1,21296,21367,-1,0.371968,-0.00062811,model
1,21368,21439,-1,0.371705,-0.00496467,model
1,21441,21512,1,0.645575,-0.00145686,model
1,21513,21584,-1,0.328717,-0.00058417,model
1,21585,21656,-1,0.211155,0.01325943,model
1,21657,21728,1,0.969271,0.00119095,model
1,21729,21800,1,0.738453,0.00365056,model
1,21801,21872,-1,0.02814,-0.00313202,model
1,21873,21944,-1,0.047541,-0.01357329,model
1,21945,22016,-1,0.266586,0.00332065,model
1,22017,22088,1,0.94547,0.00076049,model
1,22089,22160,-1,0.123722,-0.00422237,model
1,22161,22232,-1,0.120811,-0.00641324,model
1,22233,22304,-1,0.196204,0.00230735,model
1,22305,22376,1,0.949379,-0.00120324,model
1,22378,22449,-1,0.406052,0.00023036,model
1,22450,22521,-1,0.096089,0.00347338,model
1,22522,22593,1,0.580977,-0.00023952,model
1,22597,22668,-1,0.285668,-0.00102595,model
1,22669,22740,-1,0.209468,0.02058874,model
1,22741,22812,1,0.799858,0.00252502,model
1,22813,22884,1,0.78395,-0.00095675,model
1,22885,22956,-1,0.088221,0.00290034,model
1,22957,23028,-1,0.08371,0.00574931,model
1,23029,23100,-1,0.162108,-0.00522913,model
1,23102,23173,1,0.601765,0.0041775,model
1,23174,23245,-1,0.068396,0.00062553,model
1,23246,23317,-1,0.070164,-0.00563174,model
1,23318,23389,-1,0.109537,0.00163313,model
1,23390,23461,-1,0.337096,-0.00067603,model
1,23466,23537,-1,0.378225,-0.0056489,model
1,23538,23609,-1,0.052884,0.00280495,model
1,23610,23681,1,0.607227,0.00232114,model
1,23682,23753,-1,0.239134,0.0033937,model
1,23754,23825,-1,0.243104,0.00064569,model
1,23826,23897,-1,0.136518,-0.00164069,model
1,23898,23969,-1,0.202869,0.00401922,model
1,23970,24041,-1,0.189743,0.00363484,model
1,24042,24113,-1,0.35997,0.00046823,model
1,24114,24185,1,0.77051,0.00093751,model
1,24186,24257,1,0.637509,-0.00014993,model
1,24258,24329,-1,0.119513,-0.00242097,model
1,24330,24401,-1,0.091953,-0.00270678,model
1,24402,24473,-1,0.403102,0.00075832,model
1,24474,24545,-1,0.145626,0.00314239,model
1,24546,24617,-1,0.241788,-0.00357207,model
1,24618,24689,-1,0.116137,0.00484134,model
1,24690,24761,1,0.820471,0.00040751,model
1,24763,24834,-1,0.408998,-0.00038669,model
1,24835,24906,-1,0.131754,-0.00876488,model
1,24907,24978,-1,0.059957,0.00185808,model
1,24979,25050,-1,0.278645,-5.239e-05,model
1,25051,25122,-1,0.126299,-0.00106404,model
1,25123,25194,-1,0.056695,-0.01890084,model
1,25195,25266,-1,0.052876,0.00231166,model
1,25267,25338,-1,0.239234,0.00037646,model
1,25339,25410,-1,0.167405,-0.00244815,model
1,25411,25482,-1,0.154539,-0.00632013,model
1,25483,25554,-1,0.260696,0.00277703,model
1,25555,25626,-1,0.147941,0.00175911,model
1,25627,25698,-1,0.259109,0.00169029,model
1,25699,25770,-1,0.340945,-0.00676288,model
1,25782,25853,-1,0.388176,0.00057963,model
1,25857,25928,-1,0.392567,-0.00341863,model
1,25929,26000,-1,0.088103,0.00094711,model
1,26001,26072,-1,0.344493,0.0025156,model
1,26073,26144,-1,0.41326,0.00178964,model
1,26145,26216,-1,0.079883,0.00163677,model
1,26217,26288,-1,0.043965,0.01005062,model
1,26289,26360,1,0.745379,-0.0006018,model
1,26361,26432,1,0.805286,-0.0016226,model
1,26433,26504,-1,0.256078,-0.003095,model
1,26505,26576,-1,0.16562,-0.0013951,model
1,26577,26648,-1,0.280857,8.298e-05,model
1,26649,26720,-1,0.391703,0.00016805,model
1,26721,26792,1,0.658281,-0.00508913,model
1,26793,26864,1,0.927061,0.0009927,model
1,26865,26936,-1,0.278579,-0.0009855,model
1,26937,27008,-1,0.058595,-0.00516853,model
1,27009,27080,-1,0.010859,0.00717952,model
1,27082,27153,1,0.691054,0.00147292,model
1,27155,27226,-1,0.406616,0.00143852,model
1,27227,27298,-1,0.321792,0.00032683,model
1,27299,27370,-1,0.385329,-0.00096232,model
1,27371,27442,-1,0.101832,0.00591477,model
1,27444,27515,1,0.636912,-0.00689814,model
1,27516,27587,1,0.875845,-0.00048373,model
1,27588,27659,-1,0.377061,3.787e-05,model
1,27660,27731,-1,0.147791,-0.00042487,model
1,27732,27803,-1,0.01964,0.00045853,model
1,27804,27875,-1,0.011952,0.00022387,model
1,27876,27947,-1,0.159722,0.00019277,model
1,27948,28019,-1,0.162483,-0.00224951,model
1,28020,28091,-1,0.033814,0.00089415,model
1,28092,28163,-1,0.021507,0.00099341,model
1,28172,28243,-1,0.414539,-0.00080687,model
1,28244,28315,-1,0.361851,0.00109756,model
1,28316,28387,-1,0.162307,-0.00084536,model
1,28388,28459,-1,0.177502,-0.00157777,model
1,28460,28531,-1,0.017957,0.00329067,model
1,28532,28603,-1,0.019271,-0.0107621,model
1,28604,28675,-1,0.035189,0.00927371,model
1,28676,28747,1,0.769068,-0.00120081,model
1,28748,28819,-1,0.377891,0.00013936,model
1,28820,28891,-1,0.276583,-0.00421388,model
1,28892,28963,-1,0.082618,-0.00041501,model
1,28964,29035,-1,0.395629,0.00070477,model
1,29036,29107,-1,0.101026,0.00289474,model
1,29108,29179,-1,0.160302,-0.00164622,model
1,29180,29251,-1,0.084318,0.00464386,model
1,29252,29323,1,0.788934,-0.00899826,model
1,29324,29395,1,0.928366,0.00162612,model
1,29396,29467,-1,0.255747,-0.00160439,model
1,29468,29539,-1,0.022522,0.00321263,model
1,29540,29611,-1,0.017857,0.00036361,model
1,29612,29683,-1,0.18597,-0.00126141,model
1,29684,29755,-1,0.091341,-0.00014885,model
1,29756,29827,-1,0.125353,-0.00350341,model
1,29828,29899,-1,0.023122,0.00166803,model
1,29900,29971,-1,0.145227,0.00097335,model
1,29972,30043,-1,0.28886,-0.00709195,model
1,30044,30115,-1,0.030395,-0.00070892,model
1,30116,30187,-1,0.188255,0.00048198,model
1,30188,30259,-1,0.161849,0.0015145,model
1,30260,30331,-1,0.008181,0.00124565,model
1,30332,30403,-1,0.079111,-0.00092963,model
1,30404,30475,-1,0.024625,0.00413732,model
1,30476,30547,-1,0.141532,-0.00181015,model
1,30548,30619,-1,0.266913,-0.00066897,model
1,30620,30691,-1,0.02182,-0.00076157,model
1,30692,30763,-1,0.048465,0.0034066,model
1,30764,30835,-1,0.076386,-0.0062995,model
1,30836,30907,-1,0.051752,-0.00160206,model
1,30908,30979,-1,0.094924,-0.00870941,model
1,30980,31051,-1,0.004756,-0.00515766,model
1,31052,31123,-1,0.007671,0.00185201,model
1,31124,31195,-1,0.157911,-0.0007926,model
1,31196,31267,-1,0.02007,0.00171323,model
1,31272,31343,-1,0.306252,0.00587522,model
1,31344,31415,-1,0.090105,0.00754023,model
1,31416,31487,-1,0.150181,0.00055697,model
1,31492,31563,-1,0.302851,0.00446308,model
1,31564,31635,-1,0.050077,-0.00024607,model
1,31636,31707,-1,0.093328,0.00098039,model
1,31708,31779,-1,0.165581,0.00012272,model
1,31780,31851,-1,0.024929,0.00366525,model
1,31852,31923,-1,0.156194,-0.00196512,model
1,31924,31995,-1,0.133926,-0.00229874,model
1,31996,32067,-1,0.169277,0.00379086,model
1,32068,32139,-1,0.067791,0.00016872,model
1,32140,32211,-1,0.168042,-0.00113789,model
1,32212,32283,-1,0.128336,0.00084734,model
1,32284,32355,-1,0.027789,0.00015592,model
1,32356,32427,-1,0.005257,-0.00070485,model
1,32428,32499,-1,0.028146,-0.00665728,model
1,32500,32571,-1,0.005635,0.00311923,model
1,32572,32643,-1,0.035555,0.00248446,model
1,32644,32715,-1,0.409823,-0.00323763,model
1,32716,32787,-1,0.15072,0.00168438,model
1,32788,32859,-1,0.127807,0.00189397,model
1,32865,32936,1,0.603596,0.00536247,model
1,32937,33008,-1,0.059469,0.00304342,model
1,33010,33081,1,0.597693,-0.00054808,model
1,33082,33153,-1,0.070712,0.00471431,model
1,33154,33225,-1,0.094573,-0.00019129,model
1,33226,33297,-1,0.115913,0.00059668,model
1,33299,33370,-1,0.203465,0.00160451,model
1,33371,33442,-1,0.13851,0.00248661,model
1,33443,33514,-1,0.352588,-0.00225547,model
1,33515,33586,-1,0.218897,-0.00153423,model
1,33587,33619,-1,0.072975,-0.00080046,model
2,33620,33691,-1,0.1352,-0.0005009,model
2,33692,33763,-1,0.195784,4.02e-05,model
2,33764,33835,-1,0.215864,0.00139344,model
2,33836,33907,-1,0.240398,0.00088261,model
2,33908,33979,-1,0.208875,-0.00160696,model
2,33982,34053,-1,0.40731,0.00044889,model
2,34054,34125,-1,0.0336,0.00059213,model
2,34126,34197,-1,0.120514,0.01264471,model
2,34198,34269,1,0.886008,0.00399484,model
2,34270,34341,1,0.605114,-0.00315853,model
2,34348,34419,-1,0.344646,5.631e-05,model
2,34420,34491,1,0.581764,0.00686695,model
2,34492,34563,-1,0.340666,0.00439698,model
2,34566,34637,1,0.599032,0.00303,model
2,34638,34709,-1,0.232632,-0.00242515,model
2,34710,34781,-1,0.143252,0.00227173,model
2,34783,34854,1,0.648508,0.00054591,model
2,34857,34928,-1,0.407857,-0.00151877,model
2,34929,35000,-1,0.179252,0.00208487,model
2,35004,35075,-1,0.396944,-0.00078076,model
2,35076,35147,1,0.748883,0.00028278,model
2,35148,35219,-1,0.142931,0.00499553,model
2,35220,35291,-1,0.241577,-0.00109451,model
2,35292,35363,-1,0.233532,-0.00014688,model
2,35364,35435,-1,0.128907,0.00186008,model
2,35436,35507,-1,0.08084,0.00112499,model
2,35517,35588,-1,0.40113,-0.00038552,model
2,35589,35660,1,0.842582,0.001426,model
2,35670,35741,-1,0.413459,0.00059185,model
2,35742,35813,-1,0.085164,0.00677409,model
