trade_num,entry_bar,exit_bar,direction,return_net,cumulative_equity
1,16954,17025,1,0.0082032,0.0082032
2,17026,17097,-1,0.0048843,0.0130875
3,17139,17210,-1,0.0023102,0.0153977
4,17221,17292,-1,-0.00932175,0.00607595
5,17293,17364,-1,-0.00636299,-0.00028705
6,17365,17436,-1,0.00085286,0.00056581
7,17438,17509,-1,0.0003603,0.00092611
8,17510,17581,-1,0.00453558,0.00546169
9,17621,17692,1,0.01311278,0.01857446
10,17693,17764,-1,-0.00327656,0.01529791
11,17765,17836,-1,-0.00208807,0.01320984
12,17837,17908,-1,0.0069872,0.02019704
13,17909,17980,1,-0.00172816,0.01846888
14,18033,18104,1,0.00206488,0.02053376
15,18124,18195,1,-0.00212833,0.01840543
16,18198,18269,-1,-0.0012216,0.01718382
17,18270,18341,-1,0.00031418,0.01749801
18,18342,18413,-1,0.005786,0.023284
19,18415,18486,1,-0.00215286,0.02113115
20,18491,18562,-1,0.00556829,0.02669944
21,18563,18634,-1,-0.00418883,0.02251061
22,18635,18706,-1,0.00431739,0.02682799
23,18707,18778,1,-0.00044826,0.02637973
24,18779,18850,1,0.00103526,0.02741499
25,18870,18941,-1,-0.00358716,0.02382783
26,18942,19013,-1,-0.00071245,0.02311539
27,19018,19089,-1,0.0027225,0.02583788
28,19090,19161,-1,0.00248471,0.02832259
29,19162,19233,-1,0.00087616,0.02919875
30,19235,19306,1,0.00030529,0.02950404
31,19307,19378,-1,0.00453507,0.03403911
32,19379,19450,1,0.001375,0.03541411
33,19451,19522,1,-0.00330932,0.03210479
34,19523,19594,1,-0.00026538,0.03183941
35,19599,19670,1,-0.00165378,0.03018563
36,19671,19742,1,0.00486187,0.0350475
37,19781,19852,-1,-0.00392624,0.03112126
38,19864,19935,-1,0.00083002,0.03195128
39,19936,20007,-1,0.00130694,0.03325821
40,20015,20086,1,0.00022031,0.03347852
41,20087,20158,1,-0.00136504,0.03211348
42,20171,20242,-1,-0.00677004,0.02534345
43,20244,20315,-1,0.00400541,0.02934886
44,20316,20387,1,0.00235027,0.03169912
45,20424,20495,-1,-0.0001647,0.03153442
46,20554,20625,1,0.00267364,0.03420807
47,20638,20709,1,0.00070859,0.03491666
48,20710,20781,-1,-0.00179786,0.0331188
49,20782,20853,-1,-0.00288115,0.03023766
50,20854,20925,-1,-0.00015216,0.03008549
51,20927,20998,1,0.00092546,0.03101096
52,20999,21070,-1,0.00192389,0.03293484
53,21071,21142,-1,0.01054531,0.04348016
54,21143,21214,1,-0.00018737,0.04329279
55,21215,21286,1,-0.00084864,0.04244415
56,21287,21358,1,0.00198937,0.04443352
57,21373,21444,1,0.00592217,0.05035569
58,21450,21521,1,-0.0020159,0.04833979
59,21522,21593,-1,-0.00024866,0.04809113
60,21594,21665,-1,0.01184153,0.05993266
61,21666,21737,1,0.00326916,0.06320182
62,21745,21816,1,0.0007991,0.06400091
63,21817,21888,-1,-0.00472157,0.05927934
64,21889,21960,-1,-0.01489663,0.04438271
65,21995,22066,-1,0.00093818,0.0453209
66,22067,22138,-1,-0.00152956,0.04379134
67,22139,22210,-1,-0.00934356,0.03444777
68,22211,22282,-1,0.00041025,0.03485802
69,22283,22354,-1,0.00184912,0.03670714
70,22369,22440,-1,-0.00013881,0.03656833
71,22441,22512,-1,0.00242261,0.03899094
72,22555,22626,1,-0.00106128,0.03792966
73,22651,22722,1,-0.01053768,0.02739198
74,22723,22794,1,-0.00591385,0.02147813
75,22795,22866,1,8.026e-05,0.02155839
76,22867,22938,-1,-0.00032298,0.0212354
77,22939,23010,-1,0.0065522,0.0277876
78,23011,23082,-1,-0.00193013,0.02585747
79,23113,23184,-1,-0.00121693,0.02464054
80,23185,23256,-1,-0.00435251,0.02028803
81,23257,23328,-1,-0.00037752,0.01991051
82,23329,23400,-1,0.00083527,0.02074579
83,23407,23478,1,0.00030633,0.02105212
84,23507,23578,-1,-0.00129589,0.01975623
85,23581,23652,-1,-0.00070418,0.01905206
86,23667,23738,-1,0.00083116,0.01988321
87,23747,23818,-1,0.00121628,0.02109949
88,23819,23890,-1,-0.00149757,0.01960193
89,23891,23962,-1,0.00315504,0.02275697
90,23964,24035,-1,0.0039009,0.02665787
91,24051,24122,-1,0.00343559,0.03009345
92,24127,24198,1,-0.00020127,0.02989218
93,24200,24271,-1,-0.00223549,0.02765669
94,24272,24343,-1,-0.00337978,0.02427691
95,24345,24416,-1,0.0011027,0.02537961
96,24421,24492,1,0.00021912,0.02559873
97,24493,24564,-1,0.00108906,0.02668779
98,24565,24636,-1,0.00339133,0.03007912
99,24642,24713,-1,-0.00013874,0.02994038
100,24737,24808,-1,-0.00045708,0.0294833
101,24809,24880,-1,-0.00535008,0.02413321
102,24881,24952,-1,-0.00269371,0.0214395
103,24953,25024,-1,0.0011157,0.0225552
104,25025,25096,-1,-0.00213042,0.02042479
105,25097,25168,-1,-0.01768577,0.00273901
106,25169,25240,-1,-0.00059318,0.00214583
107,25241,25312,-1,0.00239307,0.0045389
108,25313,25384,-1,-0.00229211,0.00224679
109,25385,25456,-1,-0.00508292,-0.00283613
110,25472,25543,-1,0.00189351,-0.00094261
111,25549,25620,-1,0.00283008,0.00188746
112,25621,25692,-1,0.00279151,0.00467897
113,25702,25773,-1,-0.00663825,-0.00195927
114,25801,25872,1,0.00488879,0.00292952
115,25873,25944,-1,0.0024225,0.00535202
116,25945,26016,-1,0.00041508,0.00576711
117,26018,26089,1,-0.00093472,0.00483239
118,26098,26169,-1,0.00391186,0.00874425
119,26170,26241,-1,0.00266085,0.0114051
120,26242,26313,-1,0.00485513,0.01626023
121,26315,26386,1,0.00081004,0.01707027
122,26394,26465,-1,0.00105722,0.01812749
123,26466,26537,-1,-0.0039335,0.01419399
124,26538,26609,-1,0.00142358,0.01561756
125,26634,26705,1,-8.389e-05,0.01553367
126,26706,26777,1,-0.00232718,0.01320649
127,26784,26855,1,-0.0007949,0.01241159
128,26861,26932,-1,-0.0009075,0.01150409
129,26933,27004,-1,-0.00558124,0.00592285
130,27005,27076,-1,0.0078352,0.01375804
131,27078,27149,1,0.00111189,0.01486993
132,27159,27230,-1,0.00135494,0.01622487
133,27245,27316,-1,0.00048692,0.01671179
134,27317,27388,-1,-0.00084421,0.01586758
135,27389,27460,-1,0.00858202,0.0244496
136,27461,27532,1,-0.00548881,0.01896079
137,27538,27609,1,-0.0004282,0.01853259
138,27629,27700,-1,-0.00130418,0.01722841
139,27701,27772,-1,0.00288939,0.0201178
140,27773,27844,-1,-0.0005317,0.0195861
141,27845,27916,-1,-0.00117677,0.01840933
142,27930,28001,-1,-0.0018058,0.01660352
143,28002,28073,-1,0.00656566,0.02316919
144,28075,28146,-1,-0.00331383,0.01985535
145,28192,28263,1,0.00014751,0.02000286
146,28265,28336,-1,-0.00056446,0.0194384
147,28337,28408,-1,-0.00120399,0.01823441
148,28409,28480,-1,-0.00050226,0.01773215
149,28481,28552,-1,0.00345045,0.0211826
150,28553,28624,-1,-0.00631173,0.01487087
151,28651,28722,1,-0.00078445,0.01408642
152,28723,28794,1,0.00064858,0.014735
153,28795,28866,-1,-0.00220059,0.01253441
154,28867,28938,-1,-0.00239009,0.01014432
155,28939,29010,-1,-0.00073882,0.0094055
156,29011,29082,-1,0.00324349,0.01264898
157,29083,29154,-1,0.00024277,0.01289176
158,29155,29226,-1,0.0038014,0.01669316
159,29227,29298,1,-0.0066725,0.01002066
160,29299,29370,1,-0.00055546,0.0094652
161,29374,29445,-1,-0.00101234,0.00845286
162,29446,29517,-1,0.00183485,0.01028771
163,29518,29589,-1,0.00042543,0.01071314
164,29590,29661,-1,-0.00051021,0.01020293
165,29662,29733,-1,0.00051632,0.01071925
166,29738,29809,1,0.00224977,0.01296902
167,29810,29881,-1,-0.00144024,0.01152878
168,29882,29953,-1,0.00064491,0.01217369
169,29969,30040,-1,-0.00659136,0.00558233
170,30041,30112,-1,-0.00157912,0.0040032
171,30113,30184,-1,-0.0002763,0.0037269
172,30185,30256,-1,0.00699651,0.01072341
173,30258,30329,-1,-0.00280897,0.00791444
174,30330,30401,-1,-0.00138065,0.00653379
175,30402,30473,-1,0.00259446,0.00912825
176,30474,30545,-1,-0.00120518,0.00792307
177,30546,30617,-1,0.00230529,0.01022837
178,30618,30689,-1,-0.00408117,0.0061472
179,30690,30761,-1,0.00304217,0.00918937
180,30762,30833,-1,-0.00649347,0.00269589
181,30834,30905,-1,-0.00118584,0.00151005
182,30906,30977,-1,-0.00829004,-0.00677999
183,30978,31049,-1,-0.00679331,-0.0135733
184,31050,31121,-1,0.00253247,-0.01104084
185,31122,31193,-1,-0.00041218,-0.01145302
186,31194,31265,-1,0.00058239,-0.01087063
187,31274,31345,-1,0.00547163,-0.005399
188,31346,31417,-1,0.00811437,0.00271537
189,31418,31489,-1,0.00023932,0.00295469
190,31493,31564,-1,0.00617126,0.00912595
191,31565,31636,-1,-0.00135484,0.00777111
192,31637,31708,-1,0.00103808,0.00880919
193,31709,31780,-1,-0.0022102,0.00659899
194,31781,31852,-1,0.004394,0.01099299
195,31853,31924,-1,-0.0011461,0.00984689
196,31925,31996,-1,-0.00240961,0.00743728
197,31997,32068,-1,0.00323549,0.01067278
198,32069,32140,-1,0.00032401,0.01099679
199,32141,32212,-1,-0.00116346,0.00983333
200,32213,32284,-1,0.00028928,0.01012261
