trade_num,entry_bar,exit_bar,direction,return_net,cumulative_equity
1,16954,17025,1,0.0082032,0.0082032
2,17026,17097,-1,0.0048843,0.0130875
3,17122,17193,-1,-0.0041771,0.0089104
4,17194,17265,-1,0.00263507,0.01154547
5,17274,17345,-1,-0.01018459,0.00136088
6,17346,17417,-1,0.00231718,0.00367806
7,17422,17493,-1,-0.00215451,0.00152356
8,17504,17575,-1,0.00270707,0.00423062
9,17576,17647,-1,-0.00241593,0.00181469
10,17656,17727,-1,0.00050404,0.00231873
11,17728,17799,-1,6.58e-06,0.00232531
12,17811,17882,-1,0.00295963,0.00528494
13,17885,17956,1,-0.00317161,0.00211333
14,18036,18107,1,0.00426692,0.00638025
15,18138,18209,1,-0.00131442,0.00506583
16,18217,18288,-1,-0.00040747,0.00465836
17,18289,18360,-1,0.00290159,0.00755995
18,18361,18432,-1,0.00519081,0.01275076
19,18433,18504,1,-0.00245554,0.01029522
20,18512,18583,-1,0.00155545,0.01185067
21,18593,18664,-1,0.0005701,0.01242077
22,18692,18763,1,0.00080483,0.0132256
23,18765,18836,1,0.00021921,0.01344481
24,18837,18908,1,0.0046142,0.01805901
25,18909,18980,-1,-0.00491904,0.01313997
26,18981,19052,-1,0.00083675,0.01397672
27,19053,19124,-1,0.0052101,0.01918682
28,19130,19201,-1,-0.00091091,0.01827591
29,19230,19301,1,0.00098139,0.0192573
30,19302,19373,-1,0.00582521,0.02508251
31,19374,19445,1,-0.00475694,0.02032557
32,19446,19517,1,0.00334738,0.02367295
33,19518,19589,1,0.00098623,0.02465918
34,19599,19670,1,-0.00165378,0.0230054
35,19671,19742,1,0.00486187,0.02786727
36,19778,19849,-1,-0.00441462,0.02345265
37,19864,19935,-1,0.00083002,0.02428266
38,19936,20007,-1,0.00130694,0.0255896
39,20010,20081,-1,0.00521286,0.03080246
40,20082,20153,1,-0.00034097,0.03046148
41,20172,20243,-1,-0.00721331,0.02324817
42,20244,20315,-1,0.00400541,0.02725358
43,20336,20407,1,0.00179844,0.02905203
44,20461,20532,-1,0.01035355,0.03940557
45,20554,20625,1,0.00267364,0.04207922
46,20630,20701,-1,0.00014426,0.04222348
47,20709,20780,-1,-0.00180317,0.04042031
48,20781,20852,-1,-0.00310469,0.03731562
49,20853,20924,-1,-0.00021289,0.03710273
50,20927,20998,1,0.00092546,0.03802819
51,20999,21070,-1,0.00192389,0.03995208
52,21071,21142,-1,0.01054531,0.05049739
53,21143,21214,1,-0.00018737,0.05031002
54,21215,21286,1,-0.00084864,0.04946138
55,21289,21360,1,0.00275322,0.05221461
56,21361,21432,-1,-0.00499709,0.04721752
57,21452,21523,1,-0.00212653,0.04509099
58,21554,21625,-1,0.00398861,0.0490796
59,21626,21697,1,-0.00806935,0.04101025
60,21698,21769,1,0.00426379,0.04527403
61,21782,21853,1,-4.68e-06,0.04526935
62,21854,21925,-1,-0.01788123,0.02738812
63,21926,21997,-1,0.00139944,0.02878757
64,21998,22069,-1,0.00134784,0.03013541
65,22070,22141,-1,-0.00243357,0.02770184
66,22142,22213,-1,-0.00898214,0.0187197
67,22214,22285,-1,0.00111041,0.01983012
68,22286,22357,-1,0.00138568,0.02121579
69,22365,22436,-1,-0.00269379,0.018522
70,22437,22508,-1,0.0058885,0.0244105
71,22511,22582,-1,0.00075921,0.02516972
72,22583,22654,1,-0.00260871,0.022561
73,22658,22729,-1,0.01797387,0.04053487
74,22730,22801,1,0.00098412,0.041519
75,22803,22874,1,0.00030121,0.0418202
76,22875,22946,-1,0.00139832,0.04321852
77,22947,23018,-1,0.00657675,0.04979527
78,23019,23090,-1,-0.00455284,0.04524243
79,23091,23162,-1,-0.0052032,0.04003922
80,23163,23234,-1,0.00258117,0.04262039
81,23235,23306,-1,-0.00597684,0.03664355
82,23307,23378,-1,0.00047059,0.03711414
83,23382,23453,-1,0.00012401,0.03723815
84,23454,23525,-1,-0.0078095,0.02942865
85,23526,23597,-1,0.0024,0.03182865
86,23598,23669,-1,-0.00136555,0.0304631
87,23670,23741,-1,0.00315341,0.03361651
88,23742,23813,-1,0.00124176,0.03485827
89,23814,23885,-1,-0.00231427,0.03254401
90,23886,23957,-1,0.00335769,0.0359017
91,23981,24052,-1,0.0021795,0.0380812
92,24053,24124,-1,0.00207533,0.04015653
93,24140,24211,1,0.00115196,0.0413085
94,24212,24283,-1,-0.00259071,0.03871779
95,24284,24355,-1,0.00098305,0.03970084
96,24360,24431,-1,-0.00148823,0.03821261
97,24467,24538,-1,0.00282408,0.04103669
98,24539,24610,-1,-0.003852,0.03718469
99,24611,24682,-1,0.00514698,0.04233167
100,24777,24848,-1,-0.00834571,0.03398596
101,24849,24920,-1,-0.00079976,0.0331862
102,24921,24992,-1,0.0010984,0.0342846
103,24993,25064,-1,-0.00046493,0.03381967
104,25065,25136,-1,-0.00352993,0.03028974
105,25137,25208,-1,-0.01577598,0.01451376
106,25209,25280,-1,0.00138677,0.01590052
107,25284,25355,-1,-0.00254312,0.01335741
108,25356,25427,-1,-0.00142405,0.01193336
109,25428,25499,-1,-0.00230482,0.00962854
110,25508,25579,-1,0.00197453,0.01160307
111,25596,25667,-1,0.00284989,0.01445296
112,25668,25739,-1,-0.00606411,0.00838885
113,25740,25811,-1,0.00030038,0.00868923
114,25812,25883,1,0.00492115,0.01361038
115,25884,25955,-1,0.00106398,0.01467436
116,25956,26027,-1,0.00164612,0.01632048
117,26033,26104,-1,0.00284902,0.0191695
118,26105,26176,-1,0.00206489,0.02123439
119,26177,26248,-1,0.00365336,0.02488775
120,26249,26320,-1,0.00476654,0.02965429
121,26343,26414,-1,6.72e-05,0.02972149
122,26415,26486,-1,-0.0002273,0.02949418
123,26487,26558,-1,-0.00076656,0.02872762
124,26576,26647,-1,0.00083273,0.02956035
125,26648,26719,-1,-0.00017028,0.02939007
126,26777,26848,-1,0.00258701,0.03197709
127,26849,26920,1,0.00170626,0.03368335
128,26929,27000,-1,-0.00508613,0.02859722
129,27001,27072,-1,0.00697947,0.03557669
130,27077,27148,1,0.00147608,0.03705278
131,27158,27229,-1,0.00125083,0.03830361
132,27231,27302,-1,0.00028577,0.03858938
133,27303,27374,-1,-0.00119495,0.03739443
134,27375,27446,-1,0.0059699,0.04336433
135,27459,27530,1,-0.00531006,0.03805427
136,27531,27602,1,-0.00186314,0.03619113
137,27628,27699,-1,-0.0013728,0.03481833
138,27700,27771,-1,0.00293207,0.0377504
139,27772,27843,-1,-0.00044575,0.03730465
140,27844,27915,-1,-0.00123882,0.03606583
141,27923,27994,-1,0.00026847,0.0363343
142,27995,28066,-1,0.00097846,0.03731276
143,28067,28138,-1,-0.00164384,0.03566892
144,28139,28210,-1,-6.248e-05,0.03560644
145,28211,28282,-1,-6.541e-05,0.03554103
146,28283,28354,-1,-0.00296856,0.03257248
147,28355,28426,-1,0.00115623,0.0337287
148,28435,28506,-1,0.0002159,0.03394461
149,28507,28578,-1,0.00370262,0.03764722
150,28579,28650,-1,-0.00200621,0.03564101
151,28657,28728,-1,0.00028744,0.03592845
152,28741,28812,1,0.00022925,0.0361577
153,28814,28885,-1,-0.00519998,0.03095772
154,28886,28957,-1,-0.00035625,0.03060147
155,28958,29029,-1,0.00103226,0.03163372
156,29030,29101,-1,0.00333417,0.03496789
157,29125,29196,-1,0.00401215,0.03898004
158,29200,29271,1,-0.00184914,0.0371309
159,29272,29343,1,-0.00540649,0.03172441
160,29344,29415,1,0.00114789,0.0328723
161,29421,29492,-1,0.00021346,0.03308576
162,29493,29564,-1,0.00721397,0.04029973
163,29565,29636,-1,-0.00355731,0.03674242
164,29651,29722,-1,-0.00043691,0.03630551
165,29733,29804,-1,-0.00261507,0.03369044
166,29805,29876,-1,-0.00195249,0.03173796
167,29877,29948,-1,0.00175207,0.03349002
168,29949,30020,-1,-0.00332208,0.03016795
169,30021,30092,-1,-0.00551049,0.02465746
170,30093,30164,-1,-0.00045727,0.02420019
171,30165,30236,-1,0.0064869,0.03068709
172,30237,30308,-1,-0.00191168,0.02877542
173,30309,30380,-1,-0.00143303,0.02734239
174,30381,30452,-1,0.00266757,0.03000996
175,30453,30524,-1,-0.00200377,0.02800619
176,30525,30596,-1,0.00324226,0.03124845
177,30597,30668,-1,-0.00329912,0.02794933
178,30669,30740,-1,0.00187279,0.02982212
179,30741,30812,-1,-0.00430665,0.02551546
180,30813,30884,-1,-0.00316917,0.02234629
181,30885,30956,-1,-0.00217666,0.02016963
182,30957,31028,-1,-0.00963971,0.01052992
183,31029,31100,-1,-0.00088332,0.0096466
184,31101,31172,-1,1.718e-05,0.00966378
185,31173,31244,-1,-0.00078278,0.008881
186,31245,31316,-1,0.0054466,0.01432759
187,31317,31388,-1,0.00761166,0.02193925
188,31394,31465,-1,-0.0002898,0.02164945
189,31466,31537,-1,0.00553073,0.02718018
190,31546,31617,-1,0.00071037,0.02789055
191,31619,31690,-1,-5.093e-05,0.02783962
192,31691,31762,-1,0.00054654,0.02838617
193,31763,31834,-1,0.0030881,0.03147426
194,31838,31909,-1,-0.00231705,0.02915722
195,31910,31981,-1,-0.00190061,0.02725661
196,31984,32055,-1,0.00151351,0.02877011
197,32056,32127,-1,0.00126035,0.03003047
198,32128,32199,-1,-0.00072478,0.02930569
199,32200,32271,-1,-0.00038523,0.02892046
200,32272,32343,-1,-0.00034305,0.02857741
