trade_num,entry_bar,exit_bar,direction,return_net,cumulative_equity
1,18896,18915,-1,-0.00100373,-0.00100373
2,18916,18935,-1,-0.00258968,-0.00359341
3,18936,18955,-1,0.00180819,-0.00178522
4,18956,18975,-1,0.00424191,0.00245668
5,18977,18996,-1,0.00168551,0.0041422
6,18997,19016,-1,0.00035484,0.00449703
7,19023,19042,-1,-0.00185533,0.00264171
8,19043,19062,-1,-0.00863864,-0.00599693
9,19063,19082,-1,-0.00081836,-0.00681529
10,19083,19102,-1,0.00327688,-0.00353841
11,19103,19122,-1,-0.00296696,-0.00650537
12,19123,19142,-1,0.00063865,-0.00586672
13,19143,19162,-1,0.00052641,-0.00534031
14,19163,19182,-1,0.00086685,-0.00447345
15,19188,19207,-1,0.00065887,-0.00381459
16,19208,19227,-1,-0.00186355,-0.00567814
17,19228,19247,-1,0.0011378,-0.00454034
18,19248,19267,-1,-0.00197067,-0.00651101
19,19274,19293,-1,-0.01418951,-0.02070052
20,19294,19313,-1,-0.00107749,-0.02177801
21,19314,19333,-1,-0.00240651,-0.02418452
22,19334,19353,-1,0.00140628,-0.02277824
23,19354,19373,-1,0.00046307,-0.02231517
24,19374,19393,-1,0.00094289,-0.02137228
25,19394,19413,-1,-0.00086023,-0.02223251
26,19423,19442,-1,-0.00176682,-0.02399933
27,19447,19466,1,0.00422565,-0.01977367
28,19472,19491,-1,-0.00108736,-0.02086103
29,19493,19512,-1,0.00034948,-0.02051156
30,19523,19542,-1,0.00053124,-0.01998031
31,19572,19591,1,-0.00238906,-0.02236938
32,19592,19611,1,-0.00080478,-0.02317416
33,19615,19634,-1,-0.00215291,-0.02532707
34,19635,19654,-1,0.00031336,-0.0250137
35,19655,19674,-1,0.00246873,-0.02254498
36,19677,19696,1,0.00214592,-0.02039905
37,19697,19716,-1,-0.00478996,-0.02518901
38,19719,19738,-1,-0.00109515,-0.02628416
39,19739,19758,-1,-0.00078466,-0.02706882
40,19759,19778,-1,0.00114251,-0.02592631
41,19788,19807,-1,-0.00094432,-0.02687063
42,19808,19827,-1,-0.00449461,-0.03136524
43,19848,19867,-1,0.0003271,-0.03103814
44,19879,19898,1,0.0013263,-0.02971184
45,19913,19932,-1,0.00120944,-0.02850241
46,19933,19952,1,-0.00119232,-0.02969472
47,19953,19972,1,-0.00193259,-0.03162732
48,19974,19993,1,0.00055951,-0.03106781
49,19994,20013,-1,0.00323872,-0.02782909
50,20025,20044,-1,0.00100405,-0.02682504
51,20045,20064,-1,0.00460408,-0.02222096
52,20094,20113,1,0.00054124,-0.02167973
53,20115,20134,1,0.00036487,-0.02131486
54,20138,20157,-1,0.00049524,-0.02081962
55,20172,20191,1,0.00179719,-0.01902243
56,20195,20214,1,0.00119241,-0.01783001
57,20222,20241,-1,0.0008941,-0.01693592
58,20243,20262,-1,0.00230287,-0.01463304
59,20263,20282,-1,-0.00080286,-0.0154359
60,20285,20304,-1,0.00084794,-0.01458796
61,20322,20341,1,0.00217496,-0.012413
62,20352,20371,-1,0.00121203,-0.01120097
63,20382,20401,-1,0.00183584,-0.00936513
64,20402,20421,1,-0.00184418,-0.01120931
65,20422,20441,1,-0.00203069,-0.01324
66,20467,20486,1,0.00033044,-0.01290956
67,20490,20509,-1,-0.00084217,-0.01375172
68,20510,20529,-1,-0.00111477,-0.0148665
69,20530,20549,-1,-0.00382605,-0.01869255
70,20550,20569,-1,-0.00123032,-0.01992287
71,20570,20589,-1,0.00065707,-0.0192658
72,20590,20609,-1,0.00654691,-0.01271889
73,20610,20629,1,0.00228987,-0.01042902
74,20641,20660,1,0.00109902,-0.00933
75,20665,20684,1,-0.00212642,-0.01145643
76,20685,20704,1,0.00085423,-0.01060219
77,20705,20724,1,0.00075089,-0.0098513
78,20725,20744,-1,0.00065857,-0.00919274
79,20745,20764,1,0.00130396,-0.00788877
80,20765,20784,-1,-0.00221565,-0.01010442
81,20785,20804,-1,0.00037546,-0.00972896
82,20805,20824,1,-0.00102564,-0.0107546
83,20828,20847,-1,0.00352871,-0.00722589
84,20877,20896,1,-0.00673105,-0.01395694
85,20912,20931,1,-0.00085621,-0.01481315
86,20932,20951,1,-0.00083948,-0.01565263
87,20956,20975,1,0.00030674,-0.01534589
88,20983,21002,-1,-0.00118691,-0.0165328
89,21007,21026,-1,0.00243853,-0.01409426
90,21027,21046,-1,-0.00072517,-0.01481943
91,21047,21066,-1,-0.00086233,-0.01568176
92,21067,21086,-1,-0.00097371,-0.01665548
93,21087,21106,-1,-0.00088242,-0.0175379
94,21108,21127,-1,-0.00087,-0.0184079
95,21128,21147,1,0.00168868,-0.01671922
96,21148,21167,-1,-0.00084389,-0.01756311
97,21183,21202,1,-0.00214557,-0.01970869
98,21207,21226,-1,0.0012102,-0.01849849
99,21227,21246,-1,-0.00125703,-0.01975551
100,21247,21266,-1,-0.00071089,-0.0204664
101,21267,21286,-1,0.00043226,-0.02003414
102,21287,21306,-1,-0.00126783,-0.02130197
103,21307,21326,-1,0.00080924,-0.02049273
104,21327,21346,-1,0.00072231,-0.01977042
105,21347,21366,-1,0.0008598,-0.01891062
106,21370,21389,1,0.00243758,-0.01647304
107,21394,21413,-1,0.00177375,-0.01469928
108,21415,21434,1,0.00128198,-0.0134173
109,21436,21455,-1,0.00082517,-0.01259213
110,21456,21475,-1,0.00068017,-0.01191197
111,21476,21495,-1,0.00239001,-0.00952196
112,21496,21515,-1,0.00047104,-0.00905092
113,21523,21542,-1,-0.00439827,-0.01344919
114,21543,21562,-1,-0.00786114,-0.02131033
115,21563,21582,-1,0.00643707,-0.01487326
116,21591,21610,1,0.00032531,-0.01454795
117,21611,21630,1,-0.00091703,-0.01546498
118,21631,21650,1,-0.00123109,-0.01669607
119,21651,21670,1,0.00071452,-0.01598154
120,21674,21693,1,-0.00081906,-0.01680061
121,21703,21722,-1,-0.00141495,-0.01821556
122,21724,21743,-1,-0.00176005,-0.01997561
123,21744,21763,-1,0.00031153,-0.01966408
124,21764,21783,-1,-0.00105617,-0.02072025
125,21784,21803,-1,-0.00082151,-0.02154176
126,21804,21823,-1,0.00185836,-0.0196834
127,21824,21843,1,0.000798,-0.0188854
128,21845,21864,-1,0.00185592,-0.01702948
129,21867,21886,-1,0.00248233,-0.01454716
130,21887,21906,-1,-0.00203531,-0.01658247
131,21910,21929,-1,-0.00093179,-0.01751426
132,21940,21959,1,-0.002244,-0.01975826
133,21964,21983,-1,-0.00076906,-0.02052732
134,21984,22003,1,-0.00196278,-0.0224901
135,22005,22024,1,-0.00395382,-0.02644392
136,22025,22044,1,-0.00301602,-0.02945994
137,22045,22064,1,0.00133156,-0.02812838
138,22065,22084,1,0.00094143,-0.02718695
139,22085,22104,1,0.00079897,-0.02638798
140,22105,22124,-1,-0.00076508,-0.02715306
141,22126,22145,-1,0.00131599,-0.02583707
142,22152,22171,-1,0.00095241,-0.02488465
143,22177,22196,1,0.00057936,-0.0243053
144,22203,22222,1,-0.00136347,-0.02566876
145,22227,22246,1,-0.0007445,-0.02641326
146,22249,22268,-1,0.00129408,-0.02511919
147,22310,22329,-1,-0.00114832,-0.02626751
148,22333,22352,-1,-0.00089345,-0.02716096
149,22353,22372,-1,0.00047179,-0.02668917
150,22373,22392,-1,-0.00276405,-0.02945322
151,22393,22412,-1,0.00096354,-0.02848968
152,22413,22432,-1,0.00247181,-0.02601787
153,22433,22452,-1,0.00073072,-0.02528716
154,22453,22472,1,0.00035472,-0.02493243
155,22473,22492,1,-0.00086676,-0.0257992
156,22493,22512,1,0.0039605,-0.0218387
157,22513,22532,-1,-0.00143114,-0.02326984
158,22533,22552,-1,-0.00109607,-0.02436591
159,22553,22572,-1,-0.00087279,-0.02523871
160,22573,22592,-1,0.00048567,-0.02475303
161,22595,22614,-1,0.00054183,-0.0242112
162,22615,22634,-1,0.00062701,-0.0235842
163,22647,22666,-1,0.00036608,-0.02321812
164,22670,22689,1,-0.00121843,-0.02443654
165,22690,22709,1,0.00058366,-0.02385288
166,22710,22729,-1,-0.00081656,-0.02466944
167,22730,22749,-1,-0.00100548,-0.02567493
168,22751,22770,-1,0.00283474,-0.02284019
169,22793,22812,-1,-0.00139776,-0.02423795
170,22813,22832,1,-0.00098252,-0.02522047
171,22834,22853,1,-0.00087294,-0.02609341
172,22861,22880,-1,0.00268369,-0.02340971
173,22881,22900,-1,0.00342318,-0.01998653
174,22904,22923,-1,-0.00551002,-0.02549655
175,22925,22944,-1,-0.00251791,-0.02801446
176,22950,22969,-1,0.0003202,-0.02769426
177,22970,22989,-1,0.0024841,-0.02521016
178,22995,23014,1,-0.00237198,-0.02758214
179,23016,23035,1,0.0062537,-0.02132844
180,23036,23055,-1,-0.00291467,-0.02424311
181,23056,23075,-1,0.00220095,-0.02204216
182,23076,23095,-1,-0.00083284,-0.02287501
183,23103,23122,-1,-0.00097121,-0.02384622
184,23123,23142,-1,-0.00266493,-0.02651116
185,23143,23162,-1,-0.00515556,-0.03166672
186,23163,23182,-1,-0.00114098,-0.0328077
187,23183,23202,-1,-0.00272947,-0.03553717
188,23203,23222,-1,0.00050213,-0.03503504
189,23223,23242,-1,-0.00293103,-0.03796607
190,23243,23262,-1,0.00031582,-0.03765026
191,23264,23283,-1,0.00069548,-0.03695478
192,23284,23303,-1,-0.00138094,-0.03833572
193,23309,23328,-1,0.00242993,-0.03590579
194,23329,23348,-1,-0.00117066,-0.03707645
