trade_num,entry_bar,exit_bar,direction,return_net,cumulative_equity
1,18897,18916,-1,-0.00120061,-0.00120061
2,18917,18936,-1,-0.00188032,-0.00308094
3,18938,18957,-1,0.00542436,0.00234343
4,18972,18991,-1,-0.00163639,0.00070703
5,19014,19033,1,0.00278944,0.00349647
6,19034,19053,-1,-0.0007397,0.00275677
7,19054,19073,-1,-0.00788367,-0.0051269
8,19076,19095,-1,0.00257439,-0.00255251
9,19096,19115,-1,-0.00189655,-0.00444906
10,19116,19135,-1,0.00065484,-0.00379422
11,19136,19155,-1,0.00098238,-0.00281183
12,19156,19175,-1,0.00065707,-0.00215477
13,19188,19207,-1,0.00065887,-0.0014959
14,19210,19229,-1,-0.00071249,-0.00220839
15,19230,19249,-1,-0.00071904,-0.00292743
16,19250,19269,-1,-0.00199507,-0.00492251
17,19279,19298,-1,-0.01016402,-0.01508652
18,19299,19318,-1,-0.00181695,-0.01690347
19,19319,19338,-1,0.00088215,-0.01602133
20,19339,19358,-1,-0.00158659,-0.01760792
21,19359,19378,-1,0.00086944,-0.01673848
22,19392,19411,-1,0.00046009,-0.01627839
23,19424,19443,-1,-0.00165313,-0.01793152
24,19447,19466,1,0.00422565,-0.01370587
25,19467,19486,-1,0.00101428,-0.01269158
26,19490,19509,-1,-0.00533348,-0.01802506
27,19526,19545,-1,0.00150735,-0.01651771
28,19589,19608,1,0.000525,-0.0159927
29,19622,19641,-1,0.00174575,-0.01424696
30,19655,19674,-1,0.00246873,-0.01177823
31,19677,19696,1,0.00214592,-0.00963231
32,19697,19716,-1,-0.00478996,-0.01442226
33,19734,19753,-1,0.00059886,-0.01382341
34,19763,19782,-1,0.00154646,-0.01227694
35,19816,19835,-1,0.00097285,-0.0113041
36,19901,19920,-1,-0.00114034,-0.01244444
37,19933,19952,1,-0.00119232,-0.01363676
38,19969,19988,1,-0.00121819,-0.01485495
39,19989,20008,-1,0.00202981,-0.01282514
40,20025,20044,-1,0.00100405,-0.01182108
41,20045,20064,-1,0.00460408,-0.00721701
42,20069,20088,-1,0.00652617,-0.00069084
43,20094,20113,1,0.00054124,-0.0001496
44,20115,20134,1,0.00036487,0.00021526
45,20160,20179,1,-0.00252892,-0.00231365
46,20184,20203,1,0.00100185,-0.0013118
47,20252,20271,-1,0.0019096,0.0005978
48,20272,20291,-1,-0.00154368,-0.00094588
49,20303,20322,1,-0.00093238,-0.00187827
50,20337,20356,-1,0.00062403,-0.00125424
51,20382,20401,-1,0.00183584,0.0005816
52,20403,20422,1,-0.00123952,-0.00065792
53,20425,20444,1,-0.00090399,-0.00156191
54,20476,20495,1,0.00139014,-0.00017177
55,20496,20515,-1,0.00070975,0.00053798
56,20523,20542,-1,-0.00283324,-0.00229526
57,20543,20562,-1,-0.00119857,-0.00349382
58,20563,20582,-1,0.0011741,-0.00231972
59,20583,20602,-1,0.00573517,0.00341544
60,20616,20635,-1,0.00050027,0.00391571
61,20646,20665,1,0.00096298,0.0048787
62,20678,20697,1,0.00030322,0.00518191
63,20720,20739,-1,0.00093707,0.00611898
64,20756,20775,-1,-0.00081108,0.0053079
65,20776,20795,-1,0.00246749,0.00777539
66,20796,20815,-1,0.00036008,0.00813547
67,20824,20843,-1,0.00595915,0.01409462
68,20871,20890,1,-0.00593309,0.00816153
69,20912,20931,1,-0.00085621,0.00730533
70,20932,20951,1,-0.00083948,0.00646584
71,20969,20988,-1,-0.00078917,0.00567667
72,20989,21008,-1,0.00103162,0.00670829
73,21031,21050,-1,0.00047748,0.00718577
74,21051,21070,-1,-0.0008629,0.00632288
75,21071,21090,-1,-0.00098782,0.00533505
