fold,entry_bar,exit_bar,direction,confidence,realized_return,source
1,18896,18915,-1,0.284906,-0.00080373,model
1,18916,18935,-1,0.235611,-0.00238968,model
1,18938,18957,-1,0.270941,0.00562436,model
1,18972,18991,-1,0.279293,-0.00143639,model
1,19013,19032,1,0.70804,0.0020334,model
1,19033,19052,-1,0.135486,0.00057061,model
1,19053,19072,-1,0.242588,-0.0079395,model
1,19073,19092,-1,0.275739,0.0029552,model
1,19096,19115,-1,0.268501,-0.00169655,model
1,19116,19135,-1,0.227417,0.00085484,model
1,19136,19155,-1,0.130892,0.00118238,model
1,19156,19175,-1,0.051642,0.00085707,model
1,19188,19207,-1,0.134582,0.00085887,model
1,19210,19229,-1,0.191126,-0.00051249,model
1,19230,19249,-1,0.135051,-0.00051904,model
1,19250,19269,-1,0.268317,-0.00179507,model
1,19274,19293,-1,0.281097,-0.01398951,model
1,19294,19313,-1,0.084904,-0.00087749,model
1,19314,19333,-1,0.066008,-0.00220651,model
1,19334,19353,-1,0.059758,0.00160628,model
1,19354,19373,-1,0.08135,0.00066307,model
1,19374,19393,-1,0.072192,0.00114289,model
1,19394,19413,-1,0.239196,-0.00066023,model
1,19424,19443,-1,0.270508,-0.00145313,model
1,19447,19466,1,0.741744,0.00442565,model
1,19467,19486,-1,0.278785,0.00121428,model
1,19490,19509,-1,0.256913,-0.00513348,model
1,19525,19544,-1,0.294448,0.00146459,model
1,19575,19594,1,0.7137,-0.00188236,model
1,19597,19616,1,0.782228,-0.00113613,model
1,19622,19641,-1,0.124007,0.00194575,model
1,19655,19674,-1,0.257677,0.00266873,model
1,19677,19696,1,0.787947,0.00234592,model
1,19697,19716,-1,0.277349,-0.00458996,model
1,19734,19753,-1,0.247732,0.00079886,model
1,19763,19782,-1,0.257274,0.00174646,model
1,19816,19835,-1,0.277251,0.00117285,model
1,19884,19903,1,0.700692,0.0005529,model
1,19905,19924,-1,0.206063,0.00071058,model
1,19933,19952,1,0.731007,-0.00099232,model
1,19969,19988,1,0.786712,-0.00101819,model
1,19989,20008,-1,0.206814,0.00222981,model
1,20025,20044,-1,0.149793,0.00120405,model
1,20045,20064,-1,0.142859,0.00480408,model
1,20069,20088,-1,0.229619,0.00672617,model
1,20094,20113,1,0.77846,0.00074124,model
1,20115,20134,1,0.768223,0.00056487,model
1,20160,20179,1,0.737898,-0.00232892,model
1,20184,20203,1,0.771082,0.00120185,model
1,20222,20241,-1,0.286874,0.0010941,model
1,20248,20267,-1,0.293197,0.00132456,model
1,20268,20287,-1,0.174996,-0.00160121,model
1,20303,20322,1,0.726936,-0.00073238,model
1,20336,20355,-1,0.284423,0.00069168,model
1,20382,20401,-1,0.278957,0.00203584,model
1,20403,20422,1,0.726004,-0.00103952,model
1,20423,20442,1,0.713324,-0.00112098,model
1,20476,20495,1,0.730173,0.00159014,model
1,20496,20515,-1,0.235013,0.00090975,model
1,20521,20540,-1,0.288044,-0.00144398,model
1,20541,20560,-1,0.133817,-0.00264258,model
1,20561,20580,-1,0.162631,0.00143243,model
1,20581,20600,-1,0.200062,0.00707963,model
1,20604,20623,-1,0.285458,-0.00093323,model
1,20624,20643,-1,0.229942,0.00137031,model
1,20644,20663,1,0.703731,0.00183495,model
1,20678,20697,1,0.874691,0.00050322,model
1,20720,20739,-1,0.262506,0.00113707,model
1,20754,20773,-1,0.293667,-0.00065467,model
1,20774,20793,-1,0.133574,0.00190364,model
1,20794,20813,-1,0.141542,0.00056832,model
1,20822,20841,-1,0.291319,0.00650892,model
1,20843,20862,-1,0.265541,0.00324543,model
1,20870,20889,1,0.718811,-0.00452175,model
1,20911,20930,1,0.702557,-0.00099048,model
1,20931,20950,1,0.803521,-0.00121248,model
1,20951,20970,1,0.770563,0.00059634,model
1,20971,20990,-1,0.252668,-0.00076253,model
1,20991,21010,-1,0.111424,0.00086609,model
1,21031,21050,-1,0.278878,0.00067748,model
1,21051,21070,-1,0.204356,-0.0006629,model
1,21071,21090,-1,0.261802,-0.00078782,model
1,21091,21110,-1,0.176573,0.00084698,model
1,21111,21130,-1,0.291851,0.00086092,model
1,21133,21152,1,0.704043,0.00134165,model
1,21153,21172,-1,0.255618,-0.00092253,model
1,21198,21217,-1,0.295151,0.00050531,model
1,21218,21237,-1,0.22687,-0.00489628,model
1,21238,21257,-1,0.169496,-0.0010779,model
1,21260,21279,-1,0.23095,-0.00073873,model
1,21280,21299,-1,0.140018,-0.00086767,model
1,21300,21319,-1,0.100534,0.00122721,model
1,21321,21340,-1,0.24737,0.00068556,model
1,21341,21360,-1,0.232728,0.00080458,model
1,21372,21391,-1,0.172769,-0.00128129,model
1,21392,21411,-1,0.271409,0.00183541,model
1,21418,21437,-1,0.292418,-0.00086933,model
1,21438,21457,-1,0.227516,0.00065143,model
1,21458,21477,-1,0.263373,0.00081739,model
1,21478,21497,-1,0.197403,0.0030859,model
1,21498,21517,-1,0.246696,0.00112922,model
1,21526,21545,-1,0.28941,-0.01213266,model
1,21546,21565,-1,0.163297,0.00404711,model
1,21591,21610,1,0.707363,0.00052531,model
1,21615,21634,1,0.801948,-0.00148137,model
1,21635,21654,1,0.791129,0.00079223,model
1,21662,21681,-1,0.29238,0.00137148,model
1,21688,21707,1,0.702347,0.00389207,model
1,21712,21731,-1,0.280014,-0.00106828,model
1,21732,21751,-1,0.24444,0.00081463,model
1,21752,21771,-1,0.179,-0.00127151,model
1,21776,21795,-1,0.242746,-0.00053616,model
1,21816,21835,1,0.73291,0.00058683,model
1,21844,21863,1,0.709139,-0.00203812,model
