trade_num,entry_bar,exit_bar,direction,return_net,cumulative_equity
1,12420,12439,-1,-0.00140871,-0.00140871
2,12443,12462,1,0.00071703,-0.00069167
3,12463,12482,1,-0.00110605,-0.00179772
4,12483,12502,1,-0.00145851,-0.00325623
5,12503,12522,1,-0.00122157,-0.0044778
6,12528,12547,-1,-0.0022558,-0.00673361
7,12548,12567,-1,-0.0011265,-0.00786011
8,12568,12587,-1,-0.00268419,-0.0105443
9,12588,12607,-1,-0.00278114,-0.01332544
10,12608,12627,-1,0.00103957,-0.01228587
11,12630,12649,-1,-0.00107132,-0.01335718
12,12650,12669,1,-0.00128228,-0.01463946
13,12670,12689,1,0.00186659,-0.01277287
14,12690,12709,1,0.00134183,-0.01143104
15,12711,12730,1,0.00154867,-0.00988238
16,12734,12753,-1,-0.01112456,-0.02100694
17,12754,12773,-1,0.00232309,-0.01868386
18,12774,12793,-1,0.00265391,-0.01602994
19,12796,12815,-1,0.0045025,-0.01152745
20,12818,12837,-1,0.0011996,-0.01032784
21,12838,12857,-1,0.00235622,-0.00797162
22,12858,12877,1,0.00082706,-0.00714456
23,12878,12897,1,-0.00194043,-0.00908499
24,12900,12919,1,-0.00143283,-0.01051783
25,12923,12942,-1,-0.00191839,-0.01243621
26,12943,12962,-1,0.00580651,-0.0066297
27,12963,12982,1,-0.00096554,-0.00759524
28,12983,13002,1,0.00215902,-0.00543621
29,13003,13022,1,-0.00092867,-0.00636489
30,13023,13042,1,0.00120193,-0.00516295
31,13043,13062,1,-0.00151641,-0.00667936
32,13063,13082,1,-0.00119533,-0.00787469
33,13083,13102,1,-0.00322109,-0.01109578
34,13103,13122,1,-0.00075302,-0.0118488
35,13125,13144,1,-0.00378936,-0.01563815
36,13145,13164,1,-0.00170338,-0.01734153
37,13165,13184,1,-0.00132617,-0.0186677
38,13185,13204,1,0.00167343,-0.01699427
39,13205,13224,1,-0.00181559,-0.01880986
40,13225,13244,1,0.00119334,-0.01761652
41,13245,13264,1,0.00033873,-0.0172778
42,13265,13284,1,-0.00169762,-0.01897542
43,13287,13306,1,-0.00266292,-0.02163834
44,13307,13326,1,-0.0012761,-0.02291444
45,13327,13346,1,-0.00082309,-0.02373753
46,13347,13366,1,0.00396141,-0.01977612
47,13368,13387,1,0.00188879,-0.01788733
48,13388,13407,1,0.00088332,-0.01700401
49,13413,13432,1,-0.00406968,-0.02107368
50,13433,13452,1,0.00085855,-0.02021513
51,13453,13472,1,0.00133936,-0.01887578
52,13473,13492,-1,-0.00173994,-0.02061572
53,13493,13512,-1,-0.00071362,-0.02132934
54,13513,13532,-1,0.00105345,-0.02027589
55,13533,13552,1,-0.00203022,-0.02230611
56,13553,13572,1,0.00039486,-0.02191125
57,13573,13592,1,0.00718328,-0.01472796
58,13593,13612,1,0.00723529,-0.00749267
59,13613,13632,-1,-0.00186638,-0.00935905
60,13633,13652,-1,-0.00112153,-0.01048058
61,13654,13673,-1,0.00068148,-0.0097991
62,13674,13693,1,-0.00162457,-0.01142367
63,13694,13713,1,0.00084063,-0.01058304
64,13714,13733,1,0.00189745,-0.00868559
65,13736,13755,1,-0.00408031,-0.0127659
66,13756,13775,1,0.00228594,-0.01047996
67,13776,13795,1,-0.00220933,-0.01268929
68,13807,13826,1,0.00209949,-0.0105898
69,13827,13846,-1,-0.00137878,-0.01196858
70,13861,13880,1,0.01405814,0.00208956
71,13881,13900,-1,0.00195434,0.0040439
72,13901,13920,-1,0.00033839,0.00438229
73,13921,13940,-1,-0.00394477,0.00043753
74,13941,13960,-1,0.00263127,0.00306879
75,13961,13980,1,0.0008965,0.00396529
76,13983,14002,-1,-0.00132491,0.00264039
77,14003,14022,-1,0.00148133,0.00412172
78,14023,14042,-1,0.00169419,0.0058159
79,14043,14062,1,-0.00240667,0.00340924
80,14063,14082,1,0.00041341,0.00382264
81,14083,14102,1,-0.00205269,0.00176995
82,14103,14122,1,0.00053998,0.00230993
83,14129,14148,-1,0.00054029,0.00285022
84,14149,14168,1,-0.0033846,-0.00053439
85,14169,14188,1,0.0025544,0.00202001
86,14189,14208,1,0.00199388,0.00401389
87,14209,14228,1,-0.00127668,0.00273721
88,14229,14248,1,-0.00212151,0.0006157
89,14249,14268,1,-0.00081228,-0.00019659
90,14269,14288,1,0.00076019,0.0005636
91,14292,14311,-1,-0.00268541,-0.00212181
92,14312,14331,-1,0.00046633,-0.00165548
93,14332,14351,-1,0.00169981,4.433e-05
94,14352,14371,-1,0.00197567,0.00202
95,14372,14391,1,0.0014453,0.00346531
96,14392,14411,-1,0.00391735,0.00738266
97,14412,14431,1,-0.00075294,0.00662972
98,14433,14452,-1,0.00172768,0.0083574
99,14453,14472,-1,-0.0013918,0.0069656
100,14473,14492,1,-0.00087504,0.00609056
101,14493,14512,1,-0.0027891,0.00330146
102,14513,14532,1,0.00056995,0.00387141
103,14533,14552,1,-0.0016804,0.00219101
104,14558,14577,-1,-0.002076,0.00011501
105,14578,14597,-1,-0.00284955,-0.00273454
106,14608,14627,-1,0.00065123,-0.00208331
107,14629,14648,1,-0.0015303,-0.00361361
108,14649,14668,1,-0.00114879,-0.0047624
109,14671,14690,1,0.0009733,-0.0037891
110,14693,14712,1,-0.00156278,-0.00535188
111,14714,14733,1,0.00703102,0.00167914
112,14734,14753,1,0.00031462,0.00199376
113,14764,14783,1,0.0056569,0.00765066
114,14784,14803,1,-0.00112544,0.00652522
115,14804,14823,1,-0.00212482,0.0044004
116,14825,14844,1,0.00148803,0.00588843
117,14846,14865,1,0.00065888,0.00654731
118,14866,14885,1,-0.00284551,0.0037018
119,14886,14905,1,-0.00119242,0.00250938
120,14906,14925,1,-0.00175779,0.00075159
121,14926,14945,-1,0.0034297,0.00418129
122,14954,14973,1,0.00340108,0.00758237
123,14974,14993,-1,0.00450689,0.01208926
124,14994,15013,1,0.00047741,0.01256668
125,15014,15033,1,-0.00112095,0.01144573
126,15034,15053,1,0.00094684,0.01239256
127,15054,15073,-1,0.00038905,0.01278161
128,15074,15093,-1,0.00310659,0.0158882
129,15097,15116,1,-0.00152238,0.01436582
130,15117,15136,1,-0.00150009,0.01286573
131,15137,15156,1,-0.00218448,0.01068125
132,15157,15176,1,0.00640996,0.01709121
133,15177,15196,1,0.00095949,0.0180507
134,15197,15216,1,-0.00469933,0.01335137
135,15217,15236,1,-0.00083532,0.01251605
136,15237,15256,1,0.00113075,0.0136468
137,15257,15276,-1,0.00193496,0.01558176
138,15280,15299,-1,-0.00124836,0.0143334
139,15300,15319,-1,0.00057299,0.01490639
140,15320,15339,-1,0.00160906,0.01651545
141,15342,15361,-1,-0.00141616,0.01509929
142,15362,15381,-1,-0.0009993,0.01409999
143,15385,15404,1,-0.00101218,0.01308781
144,15405,15424,1,0.00181803,0.01490584
145,15425,15444,1,0.00504876,0.0199546
146,15445,15464,-1,0.00052897,0.02048357
147,15465,15484,1,0.00356084,0.02404442
148,15486,15505,-1,0.00117433,0.02521874
149,15507,15526,1,-0.00366627,0.02155247
150,15527,15546,1,0.00378517,0.02533764
151,15547,15566,-1,-0.00214255,0.02319509
152,15576,15595,1,0.00243767,0.02563276
153,15607,15626,1,-0.00324555,0.02238721
154,15627,15646,1,-0.00387388,0.01851333
155,15647,15666,1,0.00203081,0.02054414
156,15677,15696,1,-0.00089203,0.0196521
157,15697,15716,1,0.00096473,0.02061683
158,15719,15738,-1,-0.00106062,0.01955621
159,15739,15758,-1,-0.00277783,0.01677838
160,15759,15778,-1,-0.00154624,0.01523214
161,15779,15798,1,0.00079863,0.01603077
162,15811,15830,-1,0.00221542,0.01824618
163,15835,15854,-1,0.00117361,0.01941979
164,15855,15874,1,0.00096371,0.02038351
165,15875,15894,1,0.00082507,0.02120858
166,15895,15914,1,-0.00095925,0.02024933
167,15915,15934,1,0.00052733,0.02077666
168,15935,15954,-1,-0.00138244,0.01939421
169,15955,15974,-1,0.00195933,0.02135355
170,15975,15994,-1,0.00447313,0.02582668
171,15995,16014,-1,0.00036428,0.02619096
172,16017,16036,-1,0.00231437,0.02850533
173,16043,16062,-1,-0.00132556,0.02717977
174,16063,16082,1,0.00081845,0.02799822
175,16083,16102,1,0.00083748,0.0288357
176,16103,16122,1,-0.00185411,0.02698159
177,16123,16142,1,0.00113707,0.02811866
178,16145,16164,1,-0.00179426,0.02632439
179,16165,16184,-1,-0.00127877,0.02504563
180,16185,16204,-1,-0.00270538,0.02234025
181,16205,16224,-1,-0.00075665,0.02158361
182,16225,16244,-1,0.00191306,0.02349666
183,16245,16264,-1,-0.00075356,0.0227431
184,16265,16284,-1,-0.00352575,0.01921735
185,16288,16307,1,0.0008695,0.02008685
186,16309,16328,1,-0.00216526,0.01792159
187,16329,16348,1,-0.00160662,0.01631497
188,16349,16368,1,0.00320975,0.01952472
189,16370,16389,-1,0.00336486,0.02288958
190,16390,16409,-1,-0.00364719,0.01924239
191,16410,16429,-1,0.00210397,0.02134636
192,16434,16453,-1,0.00919291,0.03053928
193,16456,16475,-1,-0.0007297,0.02980957
194,16476,16495,-1,0.00253132,0.0323409
195,16496,16515,1,-0.00070208,0.03163882
196,16516,16535,1,0.000522,0.03216082
197,16536,16555,1,-0.0016179,0.03054292
198,16556,16575,1,0.00073095,0.03127387
199,16576,16595,-1,0.00133025,0.03260412
200,16596,16615,1,0.00098972,0.03359384
201,16616,16635,1,0.00164834,0.03524218
202,16640,16659,1,-0.0016699,0.03357228
203,16661,16680,1,0.0039799,0.03755218
204,16691,16710,1,0.00375074,0.04130291
205,16711,16730,1,-0.00233772,0.03896519
206,16731,16750,1,-0.00097369,0.0379915
207,16751,16770,1,-0.0010467,0.0369448
208,16771,16790,1,0.00044717,0.03739197
209,16793,16812,1,0.00260166,0.03999362
210,16813,16832,-1,0.00189214,0.04188577
211,16833,16852,1,-0.0032187,0.03866707
212,16853,16872,1,-0.00798559,0.03068147
213,16873,16892,1,-0.00103884,0.02964263
214,16893,16912,1,0.00116773,0.03081036
215,16913,16932,1,0.0007409,0.03155127
216,16933,16952,1,0.00045321,0.03200448
217,16954,16973,-1,-0.00140067,0.03060381
218,16974,16993,1,0.00068048,0.03128429
219,16994,17013,-1,-0.00073852,0.03054576
220,17014,17033,-1,-0.00208801,0.02845775
221,17034,17053,-1,-0.00185325,0.0266045
222,17060,17079,-1,-0.01360332,0.01300118
223,17080,17099,-1,-0.00331432,0.00968685
224,17100,17119,-1,0.00196243,0.01164928
225,17120,17139,1,-0.00086036,0.01078892
226,17141,17160,1,-0.00218108,0.00860784
227,17161,17180,1,0.00119613,0.00980396
228,17181,17200,1,0.00054092,0.01034488
229,17201,17220,-1,-0.00099869,0.00934619
230,17221,17240,-1,-0.00214702,0.00719917
231,17241,17260,-1,-0.0079211,-0.00072194
232,17261,17280,-1,-0.00087006,-0.00159199
233,17281,17300,-1,0.00098448,-0.00060752
234,17301,17320,-1,0.00062407,1.655e-05
235,17321,17340,1,-0.00125526,-0.0012387
236,17341,17360,1,-0.00122196,-0.00246066
237,17361,17380,-1,0.0004297,-0.00203096
238,17383,17402,-1,0.00117566,-0.0008553
239,17403,17422,-1,-0.00170327,-0.00255857
240,17423,17442,1,0.00099689,-0.00156168
241,17443,17462,-1,0.00088808,-0.0006736
242,17463,17482,-1,0.00391256,0.00323896
243,17483,17502,-1,0.00059056,0.00382952
244,17503,17522,1,0.0004616,0.00429112
245,17523,17542,-1,0.00099956,0.00529068
