fold,entry_bar,exit_bar,direction,confidence,realized_return,source
1,18896,18915,-1,0.174491,-0.00080373,model
1,18916,18935,-1,0.178064,-0.00238968,model
1,18936,18955,-1,0.245347,0.00200819,model
1,18956,18975,-1,0.250634,0.00444191,model
1,18977,18996,-1,0.117886,0.00188551,model
1,18997,19016,-1,0.29533,0.00055484,model
1,19018,19037,1,0.650447,0.00191811,model
1,19038,19057,-1,0.289791,-0.0095928,model
1,19058,19077,-1,0.167152,0.00129134,model
1,19078,19097,-1,0.116987,0.0028621,model
1,19098,19117,-1,0.228683,-0.00241521,model
1,19118,19137,-1,0.225354,0.00091985,model
1,19138,19157,-1,0.095698,0.00075986,model
1,19158,19177,-1,0.116297,0.00092319,model
1,19178,19197,-1,0.351934,-0.0015695,model
1,19198,19217,-1,0.167569,-0.00121311,model
1,19218,19237,-1,0.081187,0.00198743,model
1,19239,19258,-1,0.369715,-0.00125035,model
1,19259,19278,-1,0.211333,-0.00719111,model
1,19279,19298,-1,0.30274,-0.00996402,model
1,19299,19318,-1,0.163866,-0.00161695,model
1,19319,19338,-1,0.043514,0.00108215,model
1,19339,19358,-1,0.117117,-0.00138659,model
1,19359,19378,-1,0.05752,0.00106944,model
1,19379,19398,1,0.658135,-0.00050092,model
1,19416,19435,-1,0.364719,-0.00414438,model
1,19436,19455,-1,0.222221,0.00102562,model
1,19458,19477,1,0.672776,0.00190602,model
1,19479,19498,-1,0.32185,-0.00305949,model
1,19499,19518,-1,0.352802,0.00247707,model
1,19523,19542,-1,0.296011,0.00073124,model
1,19557,19576,1,0.643197,0.00091299,model
1,19585,19604,1,0.654527,-0.00086597,model
1,19606,19625,1,0.628133,0.00157854,model
1,19626,19645,-1,0.059186,0.00138723,model
1,19646,19665,-1,0.160785,0.00405614,model
1,19671,19690,1,0.686955,0.00196413,model
1,19692,19711,-1,0.359329,-0.00500017,model
1,19712,19731,-1,0.340235,-0.00052464,model
1,19732,19751,-1,0.206801,-0.00056635,model
1,19752,19771,-1,0.259149,0.00169328,model
1,19772,19791,1,0.869611,0.00162474,model
1,19797,19816,-1,0.335836,-0.00384015,model
1,19817,19836,-1,0.325061,0.00246694,model
1,19837,19856,1,0.642301,0.00118151,model
1,19870,19889,1,0.642697,-0.00310465,model
1,19900,19919,-1,0.358177,-0.00073714,model
1,19921,19940,-1,0.375915,0.00214669,model
1,19947,19966,1,0.669567,-0.00076298,model
1,19967,19986,1,0.697873,-0.00131207,model
1,19987,20006,-1,0.308369,0.00086385,model
1,20007,20026,-1,0.379602,0.00179716,model
1,20027,20046,-1,0.263851,-0.00117808,model
1,20047,20066,-1,0.334624,0.00393523,model
1,20069,20088,-1,0.32496,0.00672617,model
1,20089,20108,1,0.658358,0.00054848,model
1,20109,20128,1,0.954667,0.00108019,model
1,20130,20149,1,0.624725,0.00169934,model
1,20171,20190,1,0.631021,0.00270814,model
1,20194,20213,1,0.652206,0.00080383,model
1,20219,20238,-1,0.375996,-0.00103025,model
1,20239,20258,-1,0.247856,0.00136457,model
1,20259,20278,-1,0.252365,0.00080575,model
1,20279,20298,-1,0.18644,-0.00189984,model
1,20299,20318,-1,0.360044,0.00067354,model
1,20320,20339,1,0.674706,0.00216502,model
1,20340,20359,-1,0.324121,-0.00072623,model
1,20360,20379,-1,0.259335,0.00252229,model
1,20382,20401,-1,0.245533,0.00203584,model
1,20402,20421,1,0.811462,-0.00164418,model
1,20422,20441,1,0.840716,-0.00183069,model
1,20444,20463,1,0.640322,-0.00110815,model
1,20467,20486,1,0.701047,0.00053044,model
1,20490,20509,-1,0.241953,-0.00064217,model
1,20510,20529,-1,0.140521,-0.00091477,model
1,20530,20549,-1,0.131615,-0.00362605,model
1,20550,20569,-1,0.278829,-0.00103032,model
1,20570,20589,-1,0.268314,0.00085707,model
1,20590,20609,-1,0.162341,0.00674691,model
1,20610,20629,1,0.689902,0.00248987,model
1,20640,20659,1,0.650252,0.00124928,model
1,20660,20679,1,0.625514,-0.00132435,model
1,20680,20699,1,0.864751,0.00110456,model
1,20703,20722,1,0.798146,0.00057663,model
1,20723,20742,-1,0.278991,0.00124652,model
1,20743,20762,1,0.695908,0.00199459,model
1,20763,20782,-1,0.233614,-0.00071139,model
1,20783,20802,-1,0.11889,0.00077126,model
1,20804,20823,1,0.729254,-0.00096222,model
1,20824,20843,-1,0.268125,0.00615915,model
1,20867,20886,1,0.644147,-0.00313087,model
1,20888,20907,1,0.62553,-0.0025491,model
1,20912,20931,1,0.69733,-0.00065621,model
1,20932,20951,1,0.871344,-0.00063948,model
1,20952,20971,1,0.667567,0.00056687,model
1,20973,20992,1,0.823925,0.00067923,model
1,20993,21012,-1,0.106765,0.0005377,model
1,21013,21032,-1,0.277756,0.00268564,model
1,21034,21053,-1,0.355269,0.00097384,model
1,21054,21073,-1,0.141108,0.00150622,model
1,21074,21093,-1,0.231317,-0.00148713,model
1,21094,21113,-1,0.32311,-0.0012482,model
1,21114,21133,-1,0.320386,0.00064089,model
1,21135,21154,-1,0.158814,-0.00060269,model
1,21155,21174,-1,0.23352,-0.00138671,model
1,21182,21201,1,0.638576,-0.0018046,model
1,21203,21222,-1,0.358627,0.0032369,model
1,21223,21242,-1,0.124574,-0.00137317,model
1,21243,21262,-1,0.225004,-0.00066964,model
1,21263,21282,-1,0.275989,-0.00080377,model
1,21283,21302,-1,0.242731,-0.00105257,model
1,21303,21322,-1,0.140426,0.00105495,model
1,21323,21342,-1,0.187688,0.00070117,model
1,21343,21362,-1,0.143322,0.00146746,model
1,21370,21389,1,0.713556,0.00263758,model
1,21393,21412,-1,0.32477,0.00208211,model
1,21415,21434,1,0.686338,0.00148198,model
1,21435,21454,-1,0.354922,0.00073937,model
1,21456,21475,-1,0.248962,0.00088017,model
1,21476,21495,-1,0.253007,0.00259001,model
1,21496,21515,-1,0.260672,0.00067104,model
1,21523,21542,-1,0.308621,-0.00419827,model
1,21543,21562,-1,0.156456,-0.00766114,model
1,21563,21582,-1,0.271364,0.00663707,model
1,21591,21610,1,0.709572,0.00052531,model
1,21611,21630,1,0.702172,-0.00071703,model
1,21631,21650,1,0.851537,-0.00103109,model
1,21651,21670,1,0.807276,0.00091452,model
