trade_num,entry_bar,exit_bar,direction,return_net,cumulative_equity
1,12411,12430,1,0.00123465,0.00123465
2,12431,12450,-1,-0.00217139,-0.00093674
3,12451,12470,1,-0.0009703,-0.00190704
4,12471,12490,1,-0.00076661,-0.00267365
5,12491,12510,1,-0.00211997,-0.00479362
6,12511,12530,-1,0.00121617,-0.00357744
7,12531,12550,-1,-0.00200398,-0.00558142
8,12551,12570,-1,0.00178801,-0.00379341
9,12571,12590,-1,-0.00275814,-0.00655155
10,12591,12610,-1,-0.00385067,-0.01040222
11,12611,12630,-1,0.00239689,-0.00800533
12,12631,12650,-1,-0.00070984,-0.00871517
13,12651,12670,1,-0.00129912,-0.01001429
14,12671,12690,1,0.00138425,-0.00863004
15,12691,12710,1,0.00218502,-0.00644502
16,12711,12730,1,0.00154867,-0.00489636
17,12734,12753,-1,-0.01112456,-0.01602092
18,12754,12773,-1,0.00232309,-0.01369784
19,12778,12797,1,0.00047457,-0.01322327
20,12798,12817,-1,0.00485626,-0.008367
21,12818,12837,-1,0.0011996,-0.0071674
22,12838,12857,-1,0.00235622,-0.00481118
23,12858,12877,1,0.00082706,-0.00398412
24,12878,12897,1,-0.00194043,-0.00592455
25,12898,12917,1,-0.00177406,-0.00769861
26,12918,12937,-1,-0.00094808,-0.0086467
27,12938,12957,-1,0.00356211,-0.00508459
28,12958,12977,1,-0.00211768,-0.00720227
29,12978,12997,1,0.00227663,-0.00492563
30,12998,13017,1,-0.0043147,-0.00924033
31,13018,13037,1,0.00100342,-0.00823691
32,13038,13057,1,0.00043222,-0.00780469
33,13058,13077,1,-0.0026524,-0.01045709
34,13078,13097,1,-0.00361637,-0.01407346
35,13098,13117,1,0.00049634,-0.01357713
36,13118,13137,-1,0.00431346,-0.00926367
37,13138,13157,1,-0.00130598,-0.01056965
38,13159,13178,1,-0.00369676,-0.01426641
39,13179,13198,1,0.0027224,-0.01154401
40,13200,13219,-1,0.00180618,-0.00973783
41,13220,13239,1,0.00064282,-0.00909501
42,13240,13259,1,0.00060393,-0.00849108
43,13260,13279,1,-0.00169045,-0.01018153
44,13280,13299,1,-0.00295153,-0.01313306
45,13300,13319,1,0.00112032,-0.01201274
46,13320,13339,1,-0.00275482,-0.01476756
47,13340,13359,1,0.00269871,-0.01206885
48,13360,13379,1,0.00212928,-0.00993957
49,13380,13399,1,0.00172914,-0.00821043
50,13400,13419,1,-0.00071817,-0.0089286
51,13420,13439,1,-0.00383048,-0.01275908
52,13440,13459,1,0.00049638,-0.0122627
53,13460,13479,1,0.00410338,-0.00815932
54,13480,13499,-1,-0.00176154,-0.00992087
55,13500,13519,-1,0.00043913,-0.00948174
56,13520,13539,1,-0.00170297,-0.01118471
57,13540,13559,-1,0.00209418,-0.00909053
58,13560,13579,1,0.00124551,-0.00784502
59,13580,13599,1,0.00712296,-0.00072206
60,13605,13624,-1,-0.00386154,-0.0045836
