fold,entry_bar,exit_bar,direction,confidence,realized_return,source
1,14784,14855,1,0.809334,-0.00097349,model
1,14856,14927,1,0.957657,-0.00601234,model
1,14979,15050,1,0.843205,-0.00475515,model
1,15060,15131,1,0.773743,0.0011842,model
1,15145,15216,1,0.767704,-0.00214246,model
1,15217,15288,1,0.990701,0.00482353,model
1,15289,15360,1,0.883585,-0.00391532,model
1,15361,15432,1,0.97776,0.00345274,model
1,15449,15520,-1,0.224777,0.00505004,model
1,15521,15592,1,0.983787,0.01676587,model
1,15594,15665,-1,0.217959,-0.00137174,model
1,15670,15741,-1,0.238705,-0.00141573,model
1,15754,15825,-1,0.176442,0.00456244,model
1,15826,15897,1,0.757491,0.01430491,model
1,15898,15969,-1,0.242981,-0.00453975,model
1,15970,16041,-1,0.017128,-0.00208649,model
1,16044,16115,1,0.742578,-0.00454421,model
1,16116,16187,1,0.939091,-0.00112422,model
1,16188,16259,1,0.833937,-0.00322289,model
1,16260,16331,1,0.879642,-0.00093307,model
1,16370,16441,1,0.773581,0.00157607,model
1,16528,16599,1,0.829734,-0.00090377,model
1,16600,16671,1,0.848759,-0.00470848,model
1,16673,16744,-1,0.225435,-0.00573368,model
1,16745,16816,1,0.734129,-0.00433501,model
1,16817,16888,1,0.954905,0.00210306,model
1,16889,16960,1,0.811356,0.00623679,model
1,16962,17033,1,0.765549,0.00589752,model
1,17051,17122,-1,0.079979,0.00391829,model
1,17123,17194,-1,0.182536,0.00354547,model
1,17195,17266,1,0.768506,0.00068545,model
1,17284,17355,-1,0.182718,0.00660847,model
1,17356,17427,1,0.98367,0.00252499,model
1,17428,17499,1,0.748545,-0.00414655,model
1,17500,17571,-1,0.042348,0.00144228,model
1,17572,17643,1,0.902167,0.00114914,model
1,17644,17715,1,0.915952,0.00726348,model
1,17716,17787,-1,0.170531,-0.00170818,model
1,17789,17860,1,0.782526,0.00474149,model
1,17861,17932,-1,0.185039,0.00879704,model
1,17933,18004,1,0.98802,0.00192027,model
1,18038,18109,-1,0.073307,-0.00533747,model
1,18111,18182,1,0.760579,0.00113761,model
1,18223,18294,1,0.743174,-0.00281717,model
1,18342,18413,1,0.823044,0.00262021,model
1,18435,18506,-1,0.255308,-0.00311061,model
1,18507,18578,-1,0.14403,-0.00136754,model
1,18579,18650,-1,0.24205,0.00081081,model
1,18651,18722,-1,0.172912,0.00137443,model
1,18723,18794,-1,0.103695,0.01024895,model
1,18795,18866,-1,0.085753,0.00076329,model
1,18879,18950,1,0.75851,0.00089834,model
1,18969,19040,1,0.76082,0.00675142,model
1,19041,19112,-1,0.073279,0.00412232,model
1,19177,19248,1,0.772119,-0.01195235,model
1,19249,19320,1,0.985168,0.00235106,model
1,19321,19392,1,0.894931,0.00152436,model
1,19393,19464,-1,0.220628,-0.01468434,model
1,19465,19536,-1,0.254293,-0.00204879,model
1,19538,19609,1,0.734491,-0.00142257,model
1,19639,19710,-1,0.258562,-0.00890237,model
1,19711,19782,-1,0.18077,0.00084098,model
1,19787,19858,1,0.945007,-0.00186881,model
1,19887,19958,-1,0.235105,-0.0040611,model
1,19959,20030,-1,0.208159,0.00380359,model
1,20031,20102,-1,0.261751,0.00196048,model
1,20103,20174,-1,0.233684,0.02024825,model
1,20185,20256,1,0.852792,0.0032636,model
1,20265,20336,1,0.758987,-0.00110917,model
1,20338,20409,-1,0.260012,0.00636014,model
1,20410,20481,-1,0.126516,-0.00183217,model
1,20485,20556,1,0.74825,0.00637088,model
1,20557,20628,-1,0.037305,0.00310829,model
1,20629,20700,-1,0.049885,-0.00678097,model
1,20701,20772,-1,0.110521,0.00256573,model
1,20779,20850,-1,0.222832,-0.00098043,model
1,20851,20922,-1,0.078696,-0.0045031,model
1,20923,20994,-1,0.218627,-0.00064679,model
1,21000,21071,-1,0.239598,-0.00093932,model
1,21074,21145,-1,0.145327,0.0010385,model
1,21146,21217,-1,0.23867,-0.0017718,model
1,21232,21303,1,0.801959,-0.00412606,model
1,21318,21389,-1,0.218103,0.00066327,model
1,21390,21461,1,0.8874,0.00102026,model
1,21462,21533,-1,0.110587,-0.00093426,model
1,21534,21605,-1,0.158206,-0.00300194,model
1,21618,21689,-1,0.274632,0.0034518,model
1,21690,21761,-1,0.037752,-0.00196173,model
1,21762,21833,-1,0.029989,0.00350322,model
1,21849,21920,1,0.776636,0.01058732,model
1,21921,21992,-1,0.066751,0.00155854,model
1,21993,22064,-1,0.19146,-0.00072322,model
1,22065,22136,-1,0.079449,-0.00312872,model
1,22137,22208,-1,0.007364,-0.01591685,model
1,22221,22292,-1,0.248594,0.0028979,model
1,22307,22378,-1,0.242671,-0.00422035,model
1,22379,22450,-1,0.031202,-0.00395897,model
1,22510,22581,-1,0.134565,0.00250124,model
1,22582,22653,-1,0.12596,0.00240085,model
1,22654,22725,-1,0.137409,-0.00665276,model
1,22750,22821,-1,0.239463,-0.00409909,model
1,22822,22893,-1,0.024885,0.00114568,model
1,22894,22965,-1,0.064381,0.00187918,model
1,22966,23037,-1,0.08736,0.00295533,model
1,23038,23109,-1,0.016736,0.00217039,model
1,23110,23181,-1,0.009337,0.00961684,model
1,23182,23253,1,0.870273,0.00080525,model
1,23254,23325,-1,0.268487,-0.00057654,model
1,23326,23397,-1,0.09893,-0.00095428,model
1,23417,23488,1,0.793643,0.00090507,model
1,23511,23582,1,0.727686,-0.00420992,model
1,23602,23673,-1,0.266125,-0.00090805,model
1,23674,23745,-1,0.073665,-0.00546551,model
1,23746,23817,-1,0.011624,0.00486347,model
1,23818,23889,-1,0.153231,0.00110408,model
1,23891,23962,-1,0.24049,-0.00103678,model
1,23963,24034,-1,0.038155,-0.00157866,model
1,24038,24109,-1,0.27161,0.00629744,model
1,24110,24181,-1,0.223617,0.0066694,model
1,24182,24253,1,0.854108,0.00081965,model
1,24261,24332,-1,0.236644,-0.0013359,model
1,24333,24404,-1,0.022255,0.00068951,model
1,24405,24476,-1,0.012534,-0.00084145,model
1,24477,24548,-1,0.190185,-0.00224951,model
1,24549,24620,-1,0.015952,-0.00050505,model
1,24621,24692,-1,0.07371,0.00053936,model
1,24693,24764,-1,0.103093,0.00081937,model
1,24765,24836,-1,0.015545,0.00151401,model
1,24837,24908,-1,0.039683,0.00323264,model
1,24909,24980,-1,0.003748,-0.01422504,model
1,24981,25052,-1,0.04526,0.00927371,model
1,25053,25124,1,0.792737,-0.00110077,model
1,25125,25196,-1,0.215744,-0.00416863,model
1,25197,25268,-1,0.0249,-0.00200748,model
1,25269,25340,-1,0.052247,0.00362141,model
1,25341,25412,-1,0.223561,-0.00066826,model
1,25413,25484,-1,0.035993,0.00324679,model
1,25485,25556,1,0.786759,-0.00867344,model
1,25557,25628,1,0.937276,0.00248027,model
1,25629,25700,-1,0.054444,0.00138891,model
1,25701,25772,-1,0.010878,0.00250099,model
1,25773,25844,-1,0.129078,0.00052034,model
1,25845,25916,-1,0.062173,-0.00198792,model
1,25917,25988,-1,0.037841,-0.00477976,model
1,25989,26060,-1,0.005099,0.0030017,model
1,26061,26132,-1,0.178283,-0.0031347,model
1,26133,26204,-1,0.031527,-0.00521301,model
1,26205,26276,-1,0.203228,0.00086418,model
1,26277,26348,-1,0.038782,0.0013018,model
1,26349,26420,-1,0.005803,-0.0010357,model
1,26421,26492,-1,0.064031,0.00126812,model
1,26493,26564,-1,0.169278,-0.00074862,model
1,26565,26636,-1,0.016213,0.00283853,model
1,26637,26708,-1,0.03347,-0.00262995,model
1,26709,26780,-1,0.012508,0.00201612,model
1,26782,26853,-1,0.242453,-0.00658001,model
1,26854,26925,-1,0.090604,0.00059508,model
1,26926,26997,-1,0.086995,-0.00700439,model
1,26998,27069,-1,0.017921,-0.00527131,model
1,27070,27141,-1,0.214273,-0.00090507,model
1,27142,27213,-1,0.279647,-0.00205723,model
1,27215,27286,-1,0.236818,0.0056466,model
1,27287,27358,-1,0.079916,0.00781166,model
1,27359,27430,-1,0.139397,-0.00151507,model
1,27431,27502,-1,0.075115,0.00559156,model
1,27503,27574,-1,0.028874,-0.00084105,model
1,27575,27646,-1,0.077676,-0.0020102,model
1,27647,27718,-1,0.009378,0.00373884,model
1,27719,27790,-1,0.109963,-0.00223436,model
1,27801,27872,-1,0.131533,0.00122159,model
1,27874,27945,-1,0.214168,0.00156303,model
1,27946,28017,-1,0.127593,-0.00093745,model
1,28018,28089,-1,0.028659,-0.00279153,model
1,28090,28161,-1,0.019401,0.00098333,model
1,28162,28233,-1,0.007757,-0.00589434,model
1,28240,28311,-1,0.277363,0.00254262,model
1,28312,28383,-1,0.168361,0.00248446,model
1,28384,28455,-1,0.046188,-0.00157863,model
1,28456,28527,-1,0.049904,0.00166368,model
1,28528,28599,-1,0.180747,0.00362776,model
1,28616,28687,1,0.832298,0.00379125,model
1,28699,28770,-1,0.270307,0.00167345,model
1,28771,28842,-1,0.219378,0.00277979,model
1,28843,28914,-1,0.132319,0.00137098,model
1,28915,28986,-1,0.276366,0.00273309,model
1,29001,29072,-1,0.179339,0.0005868,model
1,29073,29144,-1,0.24092,-0.00119386,model
1,29145,29216,-1,0.056419,-0.00060017,model
1,29217,29279,-1,0.091327,-0.001903,model
2,29280,29351,-1,0.185537,-0.0007946,model
2,29352,29423,-1,0.0339,0.00316606,model
2,29435,29506,-1,0.273902,-0.00648655,model
2,29507,29578,-1,0.105335,0.00360467,model
2,29579,29650,-1,0.096355,0.00113976,model
2,29651,29722,-1,0.109936,0.01213679,model
2,29723,29794,1,0.944939,0.00372037,model
2,29795,29866,1,0.734736,-0.00089245,model
2,29867,29938,1,0.870695,0.00486654,model
2,29949,30020,1,0.787635,0.0070119,model
2,30021,30092,-1,0.243983,0.00272845,model
2,30093,30164,-1,0.15023,-0.0043878,model
2,30165,30236,-1,0.112521,0.00123087,model
2,30279,30350,1,0.721873,0.0014949,model
2,30351,30422,-1,0.102273,-0.00168071,model
2,30423,30494,-1,0.1641,-0.00083108,model
2,30496,30567,1,0.823607,0.00166649,model
2,30568,30639,-1,0.198509,0.0058253,model
2,30677,30748,1,0.735434,0.00302672,model
2,30775,30846,-1,0.095747,0.00172539,model
2,30847,30918,-1,0.154464,-0.00192472,model
2,30919,30990,-1,0.235263,0.00222306,model
2,30991,31062,-1,0.243089,0.00184851,model
2,31113,31184,1,0.783016,0.00076217,model
2,31243,31314,-1,0.259469,0.00067523,model
2,31315,31386,-1,0.193081,0.00141065,model
2,31415,31486,-1,0.141459,-0.00050658,model
2,31487,31558,-1,0.253495,0.01132311,model
2,31559,31630,1,0.896996,0.00201304,model
2,31631,31702,-1,0.132198,0.01174804,model
2,31712,31783,-1,0.271625,0.00292204,model
2,31790,31861,1,0.729761,-0.0028839,model
2,31862,31933,1,0.975446,0.00417054,model
2,31944,32015,-1,0.268697,-0.00248099,model
2,32017,32088,-1,0.250283,0.00308448,model
2,32089,32160,1,0.780967,-0.0042134,model
2,32161,32232,1,0.803517,-0.00342086,model
2,32233,32304,1,0.720139,-0.00267014,model
2,32305,32376,1,0.834334,0.00406735,model
2,32379,32450,-1,0.248692,-0.00348077,model
2,32451,32522,-1,0.03469,-0.00350091,model
2,32523,32594,-1,0.143254,0.00731069,model
2,32595,32666,1,0.962816,-0.00327687,model
2,32667,32738,1,0.831417,-0.00699084,model
2,32739,32810,1,0.757182,-0.00628331,model
2,32811,32882,1,0.869571,0.0161266,model
2,32883,32954,-1,0.041453,0.00383974,model
2,32955,33026,-1,0.015885,0.00173853,model
2,33035,33106,1,0.769575,0.00320278,model
2,33118,33189,1,0.723064,0.00107375,model
2,33190,33261,-1,0.208641,-0.00134653,model
2,33262,33333,-1,0.212569,-0.00263486,model
2,33334,33405,-1,0.181782,-0.00107762,model
2,33406,33477,-1,0.026301,0.00109102,model
2,33478,33549,-1,0.087751,0.00079329,model
2,33550,33621,-1,0.279552,0.00204757,model
2,33622,33693,-1,0.125562,0.00791533,model
2,33694,33765,1,0.810718,0.00435518,model
2,33766,33837,-1,0.101078,0.00418689,model
2,33838,33909,1,0.76672,-0.00352285,model
2,33910,33981,1,0.844617,-0.00248037,model
2,33982,34053,1,0.921202,0.01232883,model
2,34054,34125,-1,0.191096,0.00224182,model
2,34126,34197,-1,0.026274,0.00343577,model
2,34198,34269,-1,0.221064,0.0021436,model
2,34270,34341,-1,0.222279,0.00493967,model
2,34342,34413,1,0.898999,-0.00077503,model
2,34414,34485,-1,0.078772,-0.00703287,model
2,34486,34557,-1,0.043751,0.0062004,model
2,34558,34629,1,0.817341,-0.00134919,model
2,34630,34701,-1,0.101645,0.00080715,model
2,34702,34773,-1,0.082231,0.00324417,model
2,34797,34868,-1,0.26744,-0.00057978,model
2,34870,34941,-1,0.277052,-0.00573454,model
2,34943,35014,-1,0.268233,0.00153081,model
2,35015,35086,-1,0.086651,-0.00248318,model
2,35087,35158,-1,0.20787,-0.00472826,model
2,35159,35230,-1,0.105137,0.0029157,model
2,35235,35306,-1,0.238018,-0.00558433,model
2,35307,35378,-1,0.177119,-0.00500564,model
2,35379,35450,-1,0.037367,-0.00348846,model
2,35451,35522,-1,0.263815,0.00310123,model
2,35557,35628,-1,0.185288,-0.00529755,model
2,35648,35719,-1,0.213978,-0.00116633,model
2,35720,35791,-1,0.199673,-0.00312348,model
2,35792,35863,-1,0.026532,-0.00391002,model
2,35864,35935,-1,0.037907,-0.00594828,model
2,35936,36007,-1,0.088641,0.00174102,model
2,36008,36079,-1,0.213241,0.00339627,model
2,36080,36151,-1,0.252538,0.00189779,model
2,36153,36224,-1,0.252947,0.00143905,model
2,36299,36370,-1,0.222812,-0.00062924,model
2,36385,36456,-1,0.179954,0.00446708,model
2,36457,36528,1,0.847019,0.00167389,model
