fold,entry_bar,exit_bar,direction,confidence,realized_return,source
1,14784,14855,1,0.833791,-0.00097349,model
1,14856,14927,1,0.948311,-0.00601234,model
1,14986,15057,1,0.738341,-0.00257818,model
1,15060,15131,1,0.744182,0.0011842,model
1,15147,15218,-1,0.280908,0.00329303,model
1,15219,15290,1,0.981304,0.00653725,model
1,15291,15362,1,0.78904,-0.00377867,model
1,15363,15434,1,0.955609,0.0033609,model
1,15435,15506,-1,0.23672,0.00267806,model
1,15515,15586,1,0.734822,0.01537094,model
1,15587,15658,-1,0.053305,-0.00228347,model
1,15659,15730,1,0.781883,0.00254551,model
1,15732,15803,-1,0.285101,0.00290707,model
1,15804,15875,-1,0.275225,-0.00448798,model
1,15876,15947,1,0.870935,0.0121754,model
1,15948,16019,-1,0.069237,-0.00169787,model
1,16023,16094,-1,0.167619,0.00480566,model
1,16095,16166,1,0.943393,-0.00185551,model
1,16175,16246,1,0.719617,-0.00252316,model
1,16252,16323,1,0.710357,-0.00087681,model
1,16324,16395,1,0.771145,-0.00121204,model
1,16396,16467,1,0.702641,0.00112032,model
1,16471,16542,1,0.701822,-0.00674291,model
1,16543,16614,1,0.889556,-0.00179762,model
1,16615,16686,1,0.83564,-0.00576829,model
1,16687,16758,1,0.703431,0.0020876,model
1,16759,16830,1,0.781072,-0.00066782,model
1,16836,16907,1,0.783034,-0.00089932,model
1,16908,16979,1,0.857441,0.00911791,model
1,16980,17051,-1,0.116727,0.00071769,model
1,17052,17123,-1,0.229447,0.00354184,model
1,17131,17202,-1,0.287524,0.00418082,model
1,17203,17274,1,0.914326,-0.0005837,model
1,17284,17355,-1,0.219258,0.00660847,model
1,17356,17427,1,0.969242,0.00252499,model
1,17428,17499,1,0.837278,-0.00414655,model
1,17500,17571,-1,0.058079,0.00144228,model
1,17572,17643,1,0.897704,0.00114914,model
1,17644,17715,1,0.886309,0.00726348,model
1,17716,17787,-1,0.215699,-0.00170818,model
1,17788,17859,1,0.814528,0.00460111,model
1,17860,17931,-1,0.178426,0.00944522,model
1,17932,18003,1,0.968542,0.00120887,model
1,18038,18109,-1,0.11649,-0.00533747,model
1,18110,18181,1,0.724198,0.00062043,model
1,18182,18253,1,0.7482,-0.00120058,model
1,18267,18338,1,0.733131,-0.01057962,model
1,18341,18412,1,0.721306,0.00287364,model
1,18427,18498,-1,0.256358,-0.00160317,model
1,18499,18570,-1,0.285693,-0.00124357,model
1,18571,18642,-1,0.134166,0.00273454,model
1,18671,18742,-1,0.29865,-0.00203426,model
1,18743,18814,-1,0.093049,0.01090344,model
1,18817,18888,1,0.878447,-0.00067244,model
1,18889,18960,-1,0.16634,-0.00069087,model
1,18967,19038,1,0.707308,0.00616144,model
1,19039,19110,-1,0.087427,0.00335346,model
1,19111,19182,1,0.888883,0.00216799,model
1,19183,19254,1,0.715235,-0.01201836,model
1,19255,19326,1,0.980839,0.00333719,model
1,19327,19398,1,0.954937,0.00218277,model
1,19399,19470,-1,0.209443,-0.01622313,model
1,19476,19547,-1,0.28759,0.0018656,model
1,19550,19621,1,0.877374,0.00080955,model
1,19622,19693,-1,0.28234,-0.00964017,model
1,19694,19765,-1,0.161743,-0.00076409,model
1,19768,19839,-1,0.290754,0.00083943,model
1,19840,19911,-1,0.217296,0.00428133,model
1,19912,19983,-1,0.130326,-0.00192125,model
1,19984,20055,-1,0.204191,0.00485386,model
1,20064,20135,-1,0.22459,0.00132981,model
1,20136,20207,-1,0.243295,0.01828473,model
1,20208,20279,1,0.983816,0.00257007,model
1,20282,20353,-1,0.275646,0.00062124,model
1,20354,20425,-1,0.046141,0.0076951,model
1,20426,20497,-1,0.257381,-0.00477024,model
1,20506,20577,1,0.716602,0.0055199,model
1,20578,20649,-1,0.042386,-0.00568658,model
1,20650,20721,-1,0.036699,0.00251986,model
1,20722,20793,-1,0.126951,0.00181464,model
1,20794,20865,-1,0.074791,-0.00225311,model
1,20866,20937,-1,0.042711,-0.00259456,model
