fold,entry_bar,exit_bar,direction,confidence,realized_return,source
1,14784,14855,1,0.809334,-0.00097349,model
1,14856,14927,1,0.957657,-0.00601234,model
1,14935,15006,1,0.651743,-0.00297616,model
1,15008,15079,1,0.722364,-0.00503622,model
1,15080,15151,1,0.815118,0.00107302,model
1,15152,15223,1,0.765269,-0.00423551,model
1,15224,15295,1,0.987955,0.00502796,model
1,15296,15367,1,0.876907,-0.00234334,model
1,15368,15439,1,0.978725,0.00316347,model
1,15443,15514,-1,0.331611,0.00456786,model
1,15515,15586,1,0.984584,0.01537094,model
1,15587,15658,-1,0.174805,-0.00228347,model
1,15669,15740,-1,0.336007,-0.00195451,model
1,15749,15820,-1,0.322005,0.00407338,model
1,15821,15892,1,0.840393,0.01543999,model
1,15893,15964,-1,0.214061,-0.00207819,model
1,15965,16036,-1,0.014668,0.00050631,model
1,16038,16109,-1,0.262143,0.00558593,model
1,16110,16181,1,0.93424,-0.00151825,model
1,16182,16253,1,0.77282,-0.00229305,model
1,16254,16325,1,0.839911,-0.000562,model
1,16327,16398,1,0.677064,-0.00146811,model
1,16400,16471,-1,0.31433,-0.0005728,model
1,16479,16550,1,0.704382,-0.0037024,model
1,16551,16622,1,0.754033,-0.00224541,model
1,16623,16694,1,0.740315,-0.00218451,model
1,16709,16780,1,0.75742,-0.00201007,model
1,16781,16852,1,0.883725,0.00060227,model
1,16853,16924,1,0.817264,0.00681811,model
1,16925,16996,-1,0.307485,-0.00436849,model
1,17011,17082,1,0.760433,0.0030324,model
1,17083,17154,-1,0.260528,0.0040361,model
1,17164,17235,-1,0.34748,-0.00071091,model
1,17245,17316,1,0.672283,0.00160219,model
1,17327,17398,-1,0.22705,0.00725116,model
1,17399,17470,1,0.990229,0.00465301,model
1,17471,17542,1,0.974254,-0.00082696,model
1,17545,17616,1,0.653132,-0.00126129,model
1,17617,17688,1,0.925058,0.00786615,model
1,17689,17760,-1,0.302134,-0.00421462,model
1,17762,17833,-1,0.334491,0.00174892,model
1,17848,17919,-1,0.303735,0.00717899,model
1,17920,17991,1,0.984861,0.00173173,model
1,17992,18063,1,0.844041,0.00190855,model
1,18064,18135,1,0.706722,0.00102876,model
1,18136,18207,1,0.807885,0.00134624,model
1,18208,18279,-1,0.349079,-0.00187758,model
1,18280,18351,1,0.843776,-0.00865658,model
1,18352,18423,1,0.784202,0.0009262,model
1,18424,18495,1,0.658616,0.00174533,model
1,18496,18567,-1,0.160289,-0.00249442,model
1,18568,18639,-1,0.085449,0.00188176,model
1,18644,18715,-1,0.318524,0.00056831,model
1,18716,18787,-1,0.24376,0.00785064,model
1,18788,18859,-1,0.119016,0.00238798,model
1,18861,18932,1,0.716612,0.00059073,model
1,18933,19004,1,0.712761,0.00436465,model
1,19011,19082,1,0.759237,0.00155384,model
1,19083,19154,1,0.655276,-0.00206617,model
1,19175,19246,1,0.658408,-0.01325943,model
1,19247,19318,1,0.984177,0.00122915,model
1,19319,19390,1,0.943873,0.00207927,model
1,19391,19462,-1,0.207049,-0.01437791,model
1,19463,19534,-1,0.277788,-0.00231834,model
1,19535,19606,1,0.853893,-0.00098498,model
1,19635,19706,-1,0.31685,-0.00898159,model
1,19707,19778,-1,0.212569,0.00132854,model
1,19779,19850,1,0.763873,-0.00128382,model
1,19851,19922,1,0.699424,-0.00201367,model
1,19923,19994,-1,0.075571,0.0050056,model
1,19995,20066,1,0.734113,-0.00098832,model
1,20067,20138,-1,0.121204,0.00114038,model
1,20140,20211,-1,0.331876,0.01729669,model
1,20212,20283,1,0.961818,0.00068797,model
1,20299,20370,1,0.666718,-0.00174208,model
1,20371,20442,-1,0.094888,0.00602204,model
1,20455,20526,1,0.706358,0.00882575,model
1,20527,20598,-1,0.048852,0.00102231,model
1,20599,20670,-1,0.019481,-0.00620021,model
1,20671,20742,-1,0.061932,0.00243123,model
1,20755,20826,-1,0.167554,-0.00067603,model
1,20827,20898,-1,0.12588,-0.00801623,model
1,20899,20970,-1,0.010022,0.00476657,model
1,20972,21043,-1,0.331697,-0.00130039,model
1,21044,21115,-1,0.028157,0.00567118,model
1,21116,21187,-1,0.057745,0.00182748,model
1,21188,21259,-1,0.032582,0.00335504,model
1,21260,21331,-1,0.089187,0.00390285,model
1,21332,21403,-1,0.113138,0.0024593,model
1,21404,21475,1,0.784301,0.00070172,model
1,21476,21547,-1,0.133047,-0.00373543,model
1,21548,21619,-1,0.24192,-0.0020387,model
1,21620,21691,-1,0.200151,0.0028062,model
1,21692,21763,-1,0.02369,-0.00098795,model
1,21764,21835,-1,0.038539,0.00233447,model
1,21848,21919,1,0.669813,0.00967315,model
1,21920,21991,-1,0.092069,0.00137243,model
1,21992,22063,-1,0.147127,-0.00085613,model
1,22064,22135,-1,0.154767,-0.00354457,model
1,22136,22207,-1,0.006968,-0.01589334,model
1,22220,22291,-1,0.296362,0.00270337,model
1,22296,22367,-1,0.340609,-0.00244146,model
1,22368,22439,-1,0.045576,-0.00391839,model
1,22440,22511,-1,0.231445,0.00275969,model
1,22512,22583,-1,0.132488,0.00246567,model
1,22584,22655,-1,0.129751,0.00197019,model
1,22656,22727,-1,0.184522,-0.00700814,model
1,22728,22799,1,0.665631,0.00507857,model
1,22800,22871,-1,0.024774,0.0021143,model
1,22872,22943,-1,0.045829,-0.00114273,model
1,22944,23015,-1,0.051804,0.00243224,model
1,23016,23087,-1,0.019436,0.00103812,model
1,23088,23159,-1,0.005668,0.00984951,model
1,23166,23237,1,0.664401,0.00186152,model
1,23253,23324,-1,0.284851,-0.00098265,model
1,23325,23396,-1,0.102536,-0.00112292,model
1,23400,23471,1,0.680062,0.00153303,model
1,23491,23562,-1,0.337818,0.0041798,model
1,23563,23634,1,0.813906,0.00061643,model
1,23635,23706,-1,0.137395,-0.00108748,model
1,23707,23778,-1,0.254958,-0.00287724,model
1,23779,23850,-1,0.090707,0.00504134,model
1,23851,23922,1,0.89948,0.00108465,model
1,23923,23994,-1,0.0516,0.00067177,model
1,23995,24066,-1,0.030224,-0.00064421,model
1,24067,24138,-1,0.039795,0.00880774,model
1,24163,24234,-1,0.194655,0.00648339,model
1,24245,24316,-1,0.344432,-0.0011728,model
1,24317,24388,-1,0.070457,0.00323359,model
1,24389,24460,-1,0.013215,-0.00066493,model
1,24461,24532,-1,0.088953,-0.0011355,model
1,24533,24604,-1,0.008032,0.00299042,model
1,24605,24676,-1,0.096331,-0.00166287,model
1,24677,24748,-1,0.10581,0.00055853,model
1,24749,24820,-1,0.076701,-0.00327059,model
1,24821,24892,-1,0.227718,-0.00091945,model
1,24893,24964,-1,0.015027,0.00401077,model
1,24965,25036,-1,0.002562,-0.00100337,model
1,25045,25116,1,0.663902,-0.00164409,model
1,25118,25189,-1,0.217,-0.00071087,model
1,25190,25261,-1,0.030277,-0.00251611,model
1,25262,25333,-1,0.03614,0.00144481,model
1,25334,25405,-1,0.307617,-0.00060286,model
1,25406,25477,-1,0.031428,0.00404804,model
1,25478,25549,1,0.717218,-0.00945607,model
1,25550,25621,1,0.941609,0.00120308,model
1,25622,25693,-1,0.257156,0.00057372,model
1,25694,25765,-1,0.008187,0.00718629,model
1,25766,25837,-1,0.082546,0.00329412,model
1,25838,25909,-1,0.054256,-0.00127698,model
1,25910,25981,-1,0.039758,-0.00350341,model
1,25982,26053,-1,0.00584,0.00270053,model
1,26054,26125,-1,0.141062,-0.00289144,model
1,26126,26197,-1,0.058577,-0.004732,model
1,26198,26269,-1,0.006622,0.00350352,model
1,26270,26341,-1,0.129629,0.00650654,model
1,26342,26413,-1,0.034514,-0.00248962,model
1,26414,26485,-1,0.213639,-0.0009983,model
1,26486,26557,-1,0.04534,0.00077412,model
1,26558,26629,-1,0.023974,0.00317399,model
1,26630,26701,-1,0.062174,-0.00269711,model
1,26702,26773,-1,0.011602,0.00226515,model
1,26774,26845,-1,0.332477,-0.00182271,model
1,26846,26917,-1,0.014342,-0.00314781,model
1,26918,26989,-1,0.152834,-0.00348386,model
1,26990,27061,-1,0.022629,-0.00912313,model
1,27062,27133,-1,0.016682,0.00185201,model
1,27134,27205,-1,0.283391,-0.00209676,model
1,27206,27277,-1,0.090451,0.00575455,model
1,27278,27349,-1,0.154554,0.00926455,model
1,27351,27422,-1,0.213297,-0.00052669,model
1,27423,27494,-1,0.252808,0.00379349,model
1,27495,27566,-1,0.048168,-0.00115484,model
1,27567,27638,-1,0.077758,0.00062437,model
1,27639,27710,-1,0.016027,0.00506373,model
1,27711,27782,-1,0.084696,-0.00124798,model
1,27783,27854,-1,0.048625,-0.00140051,model
1,27855,27926,-1,0.178469,0.00224272,model
1,27927,27998,-1,0.132995,-0.00099244,model
1,27999,28070,-1,0.163478,0.00326526,model
1,28071,28142,-1,0.013007,0.00504675,model
1,28143,28214,-1,0.016753,-0.01096358,model
1,28215,28286,-1,0.134867,0.00142197,model
1,28287,28358,-1,0.017784,0.00441509,model
1,28360,28431,-1,0.231474,-0.00348308,model
1,28432,28503,-1,0.080623,0.00168438,model
1,28504,28575,-1,0.118952,0.00270501,model
1,28582,28653,-1,0.327869,0.00085154,model
1,28659,28730,1,0.702425,0.00175258,model
1,28731,28802,-1,0.041721,0.00159135,model
1,28803,28874,-1,0.122244,0.00203785,model
1,28875,28946,-1,0.104124,0.00098108,model
1,28947,29018,-1,0.051909,0.00283711,model
1,29019,29090,-1,0.27343,-0.0018444,model
1,29091,29162,-1,0.346956,-0.00078027,model
1,29163,29234,-1,0.346788,-0.00164276,model
1,29235,29279,-1,0.022886,0.00115527,model
2,29280,29351,-1,0.185537,-0.0007946,model
2,29352,29423,-1,0.0339,0.00316606,model
2,29429,29500,-1,0.28555,-0.00674279,model
2,29501,29572,-1,0.171423,0.00341872,model
2,29573,29644,-1,0.142711,0.00069325,model
2,29645,29716,-1,0.100641,0.00869588,model
2,29717,29788,1,0.852171,-0.00093028,model
2,29789,29860,1,0.877731,-0.00062517,model
2,29861,29932,1,0.794173,0.00424798,model
2,29949,30020,1,0.787635,0.0070119,model
2,30021,30092,-1,0.243983,0.00272845,model
2,30093,30164,-1,0.15023,-0.0043878,model
2,30165,30236,-1,0.112521,0.00123087,model
2,30245,30316,-1,0.342172,0.000622,model
2,30317,30388,-1,0.240362,-0.00132704,model
2,30389,30460,-1,0.18948,0.00237939,model
2,30467,30538,1,0.687728,0.00302686,model
2,30542,30613,1,0.691263,-0.0011696,model
2,30614,30685,-1,0.122067,0.0047471,model
2,30686,30757,1,0.687881,0.00425368,model
2,30759,30830,-1,0.325432,0.00177926,model
2,30831,30902,-1,0.178005,0.00075315,model
2,30908,30979,-1,0.305636,0.00187623,model
2,30980,31051,-1,0.320446,0.00072368,model
2,31052,31123,-1,0.162482,0.00674278,model
2,31124,31195,1,0.720582,0.00147145,model
2,31224,31295,-1,0.333645,0.00068453,model
2,31296,31367,-1,0.154662,0.00265353,model
2,31390,31461,1,0.692007,-0.0009174,model
2,31462,31533,-1,0.075046,0.00408575,model
2,31539,31610,1,0.708892,-0.00331397,model
2,31614,31685,1,0.666868,-0.0241206,model
2,31711,31782,-1,0.304691,0.00286443,model
2,31787,31858,1,0.666058,-0.00454097,model
2,31859,31930,1,0.962406,0.0012765,model
2,31931,32002,-1,0.228463,-0.00358379,model
2,32003,32074,-1,0.243487,0.00218461,model
2,32083,32154,-1,0.269684,0.00700419,model
2,32155,32226,1,0.873188,-0.00663245,model
2,32227,32298,1,0.654407,-0.00262275,model
2,32299,32370,1,0.873625,0.00582732,model
2,32373,32444,-1,0.319245,-0.00400638,model
2,32445,32516,-1,0.019391,-0.00322325,model
2,32517,32588,-1,0.125927,0.00743633,model
2,32589,32660,1,0.977164,-0.00240683,model
2,32661,32732,1,0.806413,-0.00783233,model
2,32733,32804,1,0.743322,-0.00412834,model
2,32805,32876,1,0.96758,0.0107588,model
2,32877,32948,-1,0.229896,-0.00616066,model
2,32949,33020,-1,0.010965,-0.00171051,model
2,33021,33092,-1,0.262224,0.00161133,model
2,33093,33164,-1,0.319732,0.00275971,model
2,33165,33236,-1,0.20825,-0.00102156,model
2,33237,33308,-1,0.140402,-0.00125073,model
2,33309,33380,-1,0.144222,0.00067234,model
2,33381,33452,-1,0.172366,-0.00257326,model
2,33453,33524,-1,0.093878,0.0025146,model
2,33526,33597,-1,0.344584,-0.00105437,model
2,33598,33669,-1,0.231352,0.00446295,model
2,33671,33742,1,0.838392,-0.00358573,model
2,33746,33817,-1,0.297154,-0.00120719,model
2,33818,33889,1,0.77667,-0.00355064,model
2,33890,33961,1,0.762186,-0.00281793,model
2,33962,34033,1,0.732054,0.0108019,model
2,34034,34105,-1,0.220809,-0.00123645,model
2,34106,34177,-1,0.133382,-0.00216482,model
2,34178,34249,-1,0.033821,0.00235263,model
2,34250,34321,-1,0.120142,0.00568068,model
2,34322,34393,1,0.911442,-0.00213456,model
2,34394,34465,-1,0.166879,-0.00542031,model
2,34466,34537,-1,0.02055,0.00136784,model
2,34538,34609,-1,0.097393,0.00486438,model
2,34610,34681,-1,0.093753,-0.00124641,model
2,34682,34753,-1,0.132122,0.0007887,model
2,34754,34825,1,0.657259,-0.00152253,model
2,34826,34897,-1,0.099596,0.00106789,model
2,34904,34975,-1,0.322017,-0.00288771,model
2,34976,35047,-1,0.139842,0.00111675,model
2,35048,35119,-1,0.068918,-0.00135951,model
2,35122,35193,-1,0.343101,-0.00297468,model
2,35221,35292,-1,0.212279,-0.00274225,model
2,35293,35364,-1,0.059494,0.00140998,model
2,35365,35436,-1,0.088114,-0.00601083,model
2,35437,35508,-1,0.177154,0.002447,model
2,35509,35580,-1,0.199526,-0.00980712,model
2,35581,35652,-1,0.163904,0.00377431,model
