trade_num,entry_bar,exit_bar,direction,return_net,cumulative_equity
1,14784,14855,1,-0.00117349,-0.00117349
2,14856,14927,1,-0.00621234,-0.00738583
3,14945,15016,1,-0.00605693,-0.01344276
4,15017,15088,1,-0.00211706,-0.01555982
5,15089,15160,1,0.00105584,-0.01450398
6,15161,15232,1,-0.00467776,-0.01918173
7,15233,15304,1,0.00563532,-0.01354641
8,15305,15376,1,-0.0039826,-0.01752901
9,15377,15448,1,0.00358899,-0.01394002
10,15449,15520,-1,0.00485004,-0.00908998
11,15521,15592,1,0.01656587,0.00747589
12,15593,15664,-1,-0.00175794,0.00571795
13,15670,15741,-1,-0.00161573,0.00410222
14,15751,15822,-1,0.00395342,0.00805564
15,15823,15894,1,0.01440707,0.02246272
16,15895,15966,-1,-0.0012458,0.02121692
17,15967,16038,-1,-0.00082138,0.02039554
18,16040,16111,-1,0.0053074,0.02570294
19,16112,16183,1,-0.00119682,0.02450612
20,16184,16255,1,-0.00287802,0.0216281
21,16256,16327,1,-0.00114291,0.02048519
22,16336,16407,-1,-0.00077957,0.01970562
23,16450,16521,1,-0.00426626,0.01543936
24,16528,16599,1,-0.00110377,0.01433559
25,16600,16671,1,-0.00490848,0.00942711
26,16673,16744,-1,-0.00593368,0.00349343
27,16745,16816,1,-0.00453501,-0.00104158
28,16817,16888,1,0.00190306,0.00086148
29,16889,16960,1,0.00603679,0.00689827
30,16962,17033,1,0.00569752,0.01259579
31,17051,17122,-1,0.00371829,0.01631407
32,17123,17194,-1,0.00334547,0.01965954
33,17195,17266,1,0.00048545,0.02014499
34,17283,17354,-1,0.00618401,0.026329
35,17355,17426,1,0.0008585,0.0271875
36,17427,17498,1,-0.00311677,0.02407073
37,17499,17570,-1,0.000913,0.02498373
38,17571,17642,1,0.00217093,0.02715466
39,17643,17714,1,0.00688548,0.03404014
40,17715,17786,-1,-0.00200876,0.03203137
41,17787,17858,1,0.00409668,0.03612805
42,17859,17930,-1,0.00872391,0.04485196
43,17931,18002,1,0.00098815,0.04584011
44,18012,18083,-1,-0.0056148,0.04022531
45,18084,18155,-1,0.00331427,0.04353958
46,18156,18227,1,0.00093907,0.04447865
47,18229,18300,1,-0.00438026,0.04009838
48,18342,18413,1,0.00242021,0.04251859
49,18414,18485,1,0.00063052,0.04314911
50,18487,18558,-1,-0.00443259,0.03871652
51,18559,18630,-1,0.00049722,0.03921374
52,18644,18715,-1,0.00036831,0.03958205
53,18716,18787,-1,0.00765064,0.04723268
54,18788,18859,-1,0.00218798,0.04942067
55,18861,18932,1,0.00039073,0.04981139
56,18933,19004,1,0.00416465,0.05397604
57,19011,19082,1,0.00135384,0.05532988
58,19097,19168,1,-0.00142737,0.05390251
59,19177,19248,1,-0.01215235,0.04175017
60,19249,19320,1,0.00215106,0.04390122
61,19321,19392,1,0.00132436,0.04522558
62,19393,19464,-1,-0.01488434,0.03034124
63,19465,19536,-1,-0.00224879,0.02809245
64,19537,19608,1,-0.00158872,0.02650373
65,19635,19706,-1,-0.00918159,0.01732214
66,19707,19778,-1,0.00112854,0.01845068
67,19779,19850,1,-0.00148382,0.01696686
68,19851,19922,1,-0.00221367,0.01475318
69,19923,19994,-1,0.0048056,0.01955879
70,19995,20066,1,-0.00118832,0.01837047
71,20067,20138,-1,0.00094038,0.01931085
72,20145,20216,-1,0.01815465,0.0374655
73,20217,20288,1,0.00113648,0.03860198
74,20300,20371,1,-0.0019006,0.03670138
75,20372,20443,-1,0.00607856,0.04277994
76,20455,20526,1,0.00862575,0.05140569
77,20527,20598,-1,0.00082231,0.052228
78,20599,20670,-1,-0.00640021,0.04582779
79,20671,20742,-1,0.00223123,0.04805902
80,20755,20826,-1,-0.00087603,0.04718299
81,20827,20898,-1,-0.00821623,0.03896675
82,20899,20970,-1,0.00456657,0.04353332
83,20974,21045,-1,-0.00175538,0.04177794
84,21046,21117,-1,0.0053479,0.04712584
85,21118,21189,-1,-0.00170405,0.04542179
86,21190,21261,-1,0.00358026,0.04900205
87,21262,21333,-1,0.00313248,0.05213453
88,21334,21405,-1,0.00276308,0.05489762
89,21406,21477,1,0.0012992,0.05619682
90,21478,21549,-1,-0.00337978,0.05281704
91,21550,21621,-1,-0.00198121,0.05083583
92,21622,21693,-1,0.00234504,0.05318086
93,21694,21765,-1,0.00258539,0.05576625
94,21766,21837,-1,-0.0033309,0.05243536
95,21849,21920,1,0.01038732,0.06282267
96,21921,21992,-1,0.00135854,0.06418121
97,21993,22064,-1,-0.00092322,0.06325799
98,22065,22136,-1,-0.00332872,0.05992927
99,22137,22208,-1,-0.01611685,0.04381242
100,22220,22291,-1,0.00250337,0.04631578
101,22307,22378,-1,-0.00442035,0.04189543
102,22379,22450,-1,-0.00415897,0.03773646
103,22485,22556,-1,0.00098141,0.03871787
104,22557,22628,-1,0.00385247,0.04257034
105,22629,22700,-1,-0.00844949,0.03412085
106,22701,22772,-1,0.00152493,0.03564578
107,22773,22844,-1,-0.0045545,0.03109128
108,22845,22916,-1,0.00127942,0.0323707
109,22917,22988,-1,0.00136937,0.03374007
110,22989,23060,-1,0.00208051,0.03582057
111,23061,23132,-1,0.00266085,0.03848143
112,23133,23204,-1,0.00485513,0.04333656
113,23205,23276,-1,0.0010141,0.04435066
114,23277,23348,-1,-0.00249744,0.04185322
115,23349,23420,-1,0.00142358,0.0432768
116,23425,23496,-1,0.00114472,0.04442152
117,23507,23578,1,-0.00368608,0.04073544
118,23579,23650,1,0.00088117,0.04161661
119,23663,23734,-1,-0.00508613,0.03653048
120,23735,23806,-1,0.00697947,0.04350995
121,23807,23878,-1,-0.00181713,0.04169282
122,23879,23950,-1,0.00135494,0.04304776
123,23951,24022,-1,-0.00198249,0.04106527
124,24023,24094,-1,0.00582833,0.04689359
125,24095,24166,-1,0.00639323,0.05328682
126,24168,24239,1,-0.00147332,0.0518135
127,24246,24317,-1,-0.00130418,0.05050932
128,24318,24389,-1,0.00235914,0.05286846
129,24390,24461,-1,-0.00072095,0.05214751
130,24462,24533,-1,-0.00340263,0.04874488
131,24534,24605,-1,0.00206243,0.05080731
132,24606,24677,-1,-0.00117627,0.04963105
133,24678,24749,-1,0.00065182,0.05028287
134,24750,24821,-1,-0.00325952,0.04702334
135,24822,24893,-1,-0.00075039,0.04627295
136,24894,24965,-1,0.00195997,0.04823293
137,24966,25037,-1,-0.00073412,0.0474988
138,25050,25121,1,-0.00141449,0.04608432
139,25122,25193,-1,-0.00220059,0.04388373
140,25194,25265,-1,-0.00115259,0.04273114
141,25266,25337,-1,0.00277292,0.04550406
142,25338,25409,-1,0.00033479,0.04583884
143,25410,25481,-1,0.00286773,0.04870657
144,25483,25554,1,-0.00861803,0.04008854
145,25555,25626,1,0.00214883,0.04223737
146,25627,25698,-1,0.00089354,0.04313091
147,25699,25770,-1,0.00362125,0.04675216
148,25771,25842,-1,0.00078461,0.04753677
149,25843,25914,-1,-0.00221115,0.04532563
150,25915,25986,-1,-0.00434137,0.04098426
151,25987,26058,-1,0.00275998,0.04374424
152,26059,26130,-1,-0.00345971,0.04028453
153,26131,26202,-1,-0.00473468,0.03554985
154,26203,26274,-1,0.00246515,0.038015
155,26275,26346,-1,0.00301698,0.04103198
156,26347,26418,-1,0.00085695,0.04188894
157,26419,26490,-1,0.00055197,0.04244091
158,26491,26562,-1,-0.00091068,0.04153023
159,26563,26634,-1,0.00256193,0.04409216
160,26635,26706,-1,-0.0029497,0.04114246
161,26707,26778,-1,0.00234122,0.04348368
162,26779,26850,-1,-0.0037031,0.03978059
163,26851,26922,-1,-0.00367234,0.03610825
164,26923,26994,-1,-0.00804737,0.02806088
165,26995,27066,-1,-0.00413234,0.02392854
