trade_num,entry_bar,exit_bar,direction,return_net,cumulative_equity
1,16853,16924,1,0.0022614,0.0022614
2,16927,16998,1,-0.00081009,0.00145131
3,16999,17070,1,0.00011966,0.00157097
4,17073,17144,1,0.00113789,0.00270886
5,17145,17216,1,-0.00080292,0.00190593
6,17226,17297,-1,-0.00929209,-0.00738616
7,17298,17369,-1,0.00084079,-0.00654537
8,17375,17446,-1,0.00034243,-0.00620294
9,17461,17532,1,-0.00349292,-0.00969586
10,17536,17607,-1,-0.01712672,-0.02682258
11,17608,17679,-1,-5.679e-05,-0.02687937
12,17680,17751,-1,-0.00316307,-0.03004244
13,17752,17823,-1,0.00295963,-0.02708281
14,17826,17897,1,-0.00317161,-0.03025442
15,17898,17969,1,-0.00068025,-0.03093467
16,17970,18041,1,-0.00139772,-0.03233239
17,18042,18113,1,-0.0006315,-0.03296389
18,18114,18185,-1,0.00118039,-0.0317835
19,18191,18262,1,0.00130551,-0.03047799
20,18263,18334,-1,0.00536081,-0.02511718
21,18335,18406,1,-0.00063415,-0.02575133
22,18409,18480,1,-0.0042513,-0.03000262
23,18486,18557,1,0.00210716,-0.02789546
24,18568,18639,-1,0.00409356,-0.0238019
25,18665,18736,1,0.00094466,-0.02285724
26,18744,18815,-1,-0.0061422,-0.02899944
27,18828,18899,-1,-0.00136019,-0.03035963
28,18900,18971,1,0.00252891,-0.02783072
29,18972,19043,1,-0.00568858,-0.0335193
30,19044,19115,1,-0.00019418,-0.03371347
31,19116,19187,-1,0.0011629,-0.03255057
32,19195,19266,1,0.0007531,-0.03179747
33,19267,19338,1,-0.00778529,-0.03958276
34,19339,19410,1,0.00381578,-0.03576699
35,19414,19485,1,-0.00271413,-0.03848112
36,19486,19557,-1,-0.00017653,-0.03865765
37,19558,19629,-1,0.00106129,-0.03759636
38,19638,19709,1,0.00875385,-0.02884252
39,19710,19781,-1,-0.004011,-0.03285352
40,19782,19853,-1,0.00123303,-0.03162049
41,19854,19925,-1,-0.00054683,-0.03216733
42,19926,19997,-1,0.00438743,-0.02777989
43,20006,20077,1,-0.00038645,-0.02816634
44,20078,20149,1,0.00411647,-0.02404987
45,20151,20222,-1,-2.651e-05,-0.02407639
46,20223,20294,-1,-0.00045316,-0.02452955
47,20295,20366,-1,0.00060661,-0.02392294
48,20368,20439,-1,0.00466105,-0.0192619
49,20440,20511,1,-0.00443325,-0.02369515
50,20514,20585,-1,-0.00068223,-0.02437738
51,20586,20657,-1,-0.00061758,-0.02499496
52,20658,20729,-1,-0.00379243,-0.0287874
53,20730,20801,-1,-0.0025648,-0.03135219
54,20802,20873,-1,0.00061081,-0.03074138
55,20875,20946,-1,0.00036831,-0.03037307
56,20947,21018,-1,0.00214241,-0.02823066
57,21025,21096,1,-0.00235793,-0.03058859
58,21097,21168,1,0.00034644,-0.03024215
59,21169,21240,-1,-0.00024293,-0.03048508
60,21242,21313,1,0.00443162,-0.02605346
61,21314,21385,-1,-0.0009949,-0.02704837
62,21387,21458,-1,0.00194418,-0.02510418
63,21459,21530,1,7.478e-05,-0.02502941
64,21534,21605,1,-0.0118586,-0.03688801
65,21606,21677,1,0.00516517,-0.03172284
66,21678,21749,-1,-0.00032135,-0.03204419
67,21750,21821,-1,-0.01027438,-0.04231857
68,21822,21893,-1,-0.0068136,-0.04913217
69,21895,21966,1,-0.00070913,-0.0498413
70,21967,22038,-1,0.00033603,-0.04950527
71,22039,22110,-1,-0.00996979,-0.05947506
72,22112,22183,-1,0.00043757,-0.05903749
73,22184,22255,-1,0.00053127,-0.05850622
74,22256,22327,1,-0.00425023,-0.06275645
75,22329,22400,1,0.00310368,-0.05965277
76,22401,22472,-1,0.0043298,-0.05532297
77,22473,22544,1,-0.00167694,-0.05699991
78,22550,22621,1,-0.01156039,-0.0685603
79,22622,22693,1,-0.00480639,-0.0733667
80,22697,22768,1,0.00099974,-0.07236695
81,22776,22847,1,-0.00179832,-0.07416527
82,22850,22921,-1,0.0065599,-0.06760537
83,22922,22993,-1,-0.00424784,-0.07185321
84,22994,23065,-1,-0.00553996,-0.07739318
85,23066,23137,-1,0.0024643,-0.07492887
86,23138,23209,-1,-0.00546848,-0.08039736
87,23211,23282,-1,0.00030852,-0.08008884
88,23285,23356,1,0.00086061,-0.07922822
89,23357,23428,-1,-0.00727332,-0.08650155
90,23429,23500,-1,0.00313274,-0.08336881
91,23501,23572,-1,-0.00136764,-0.08473645
92,23575,23646,1,-0.00326654,-0.08800298
93,23647,23718,-1,0.00029724,-0.08770574
94,23723,23794,-1,-0.0014372,-0.08914294
95,23795,23866,-1,0.00415796,-0.08498498
96,23867,23938,1,-0.00300121,-0.08798618
97,23940,24011,1,-0.00182258,-0.08980876
98,24025,24096,1,-0.00026426,-0.09007303
99,24097,24168,1,0.00391079,-0.08616224
100,24169,24240,-1,-0.00414005,-0.09030229
101,24245,24316,-1,-0.00289183,-0.09319412
102,24317,24388,-1,-0.00029973,-0.09349385
103,24390,24461,1,-0.00134311,-0.09483696
104,24462,24533,-1,0.00230087,-0.09253609
105,24534,24605,-1,-0.00011553,-0.09265162
106,24606,24677,-1,0.00029928,-0.09235234
107,24678,24749,-1,-0.00897527,-0.10132762
108,24750,24821,-1,1.529e-05,-0.10131232
109,24822,24893,-1,0.00128444,-0.10002788
110,24895,24966,-1,-0.00274665,-0.10277453
111,24967,25038,-1,-0.00974769,-0.11252222
112,25039,25110,-1,-0.00668585,-0.11920807
113,25111,25182,-1,0.00057341,-0.11863465
114,25183,25254,-1,-0.0020658,-0.12070046
115,25255,25326,-1,-0.00833,-0.12903045
116,25331,25402,-1,0.00348272,-0.12554773
117,25403,25474,-1,0.00098141,-0.12456633
118,25475,25546,1,-0.00261426,-0.12718059
119,25547,25618,-1,-0.00540944,-0.13259003
120,25619,25690,-1,0.00038344,-0.13220658
121,25691,25762,-1,-0.00622325,-0.13842983
122,25763,25834,-1,0.00337157,-0.13505826
123,25836,25907,-1,0.00165724,-0.13340103
124,25914,25985,1,-0.00229625,-0.13569727
125,25986,26057,1,-0.00280866,-0.13850593
126,26058,26129,-1,0.00403197,-0.13447396
127,26130,26201,-1,0.00429691,-0.13017705
128,26202,26273,1,-3.249e-05,-0.13020954
129,26274,26345,1,-0.00012804,-0.13033758
130,26357,26428,-1,8.079e-05,-0.1302568
131,26429,26500,-1,-0.00050104,-0.13075784
132,26501,26572,1,0.00032418,-0.13043367
133,26575,26646,-1,0.00222796,-0.12820571
134,26647,26718,1,-0.00108858,-0.12929429
135,26724,26795,-1,-0.00092512,-0.1302194
136,26796,26867,-1,-0.00465722,-0.13487662
137,26868,26939,-1,0.00672933,-0.12814729
138,26940,27011,1,0.00114402,-0.12700327
139,27012,27083,-1,0.0012769,-0.12572637
140,27084,27155,1,-7.584e-05,-0.12580221
141,27158,27229,1,0.00066015,-0.12514206
142,27238,27309,1,-0.00715998,-0.13230204
143,27310,27381,1,-0.00866564,-0.14096768
144,27382,27453,1,0.00061965,-0.14034803
145,27454,27525,1,0.00094272,-0.13940531
146,27527,27598,1,-0.00199682,-0.14140213
147,27599,27670,-1,-0.00062181,-0.14202394
148,27671,27742,-1,-0.00135106,-0.143375
149,27748,27819,-1,-0.00136036,-0.14473536
150,27820,27891,-1,0.00243231,-0.14230305
151,27894,27965,-1,-0.00255718,-0.14486023
152,27966,28037,-1,-0.00024123,-0.14510146
153,28040,28111,-1,-0.001054,-0.14615547
154,28112,28183,-1,-5.919e-05,-0.14621465
155,28184,28255,-1,-0.00103365,-0.14724831
156,28258,28329,-1,-0.00127335,-0.14852165
157,28331,28402,-1,0.00541069,-0.14311097
158,28409,28480,-1,-0.00274451,-0.14585548
159,28482,28553,1,-0.00028075,-0.14613622
160,28554,28625,1,-0.00119092,-0.14732714
161,28633,28704,-1,-0.00015039,-0.14747753
162,28705,28776,-1,-0.0040606,-0.15153813
163,28777,28848,-1,-0.00055934,-0.15209748
164,28852,28923,1,-0.00390021,-0.15599769
165,28924,28995,1,0.00038586,-0.15561183
166,28996,29067,-1,0.00278206,-0.15282977
167,29070,29141,1,-0.00887344,-0.16170321
168,29142,29213,1,0.00037621,-0.161327
169,29214,29285,1,0.00117646,-0.16015054
170,29286,29357,-1,0.0014524,-0.15869814
171,29358,29429,-1,0.0001428,-0.15855533
172,29430,29501,1,-0.00117674,-0.15973208
173,29506,29577,-1,-0.00162238,-0.16135446
174,29581,29652,-1,-0.00035342,-0.16170788
175,29653,29724,-1,-0.00151141,-0.16321928
176,29725,29796,1,-0.00056988,-0.16378916
177,29803,29874,-1,-0.00670193,-0.17049109
178,29875,29946,-1,-0.00139205,-0.17188314
179,29948,30019,1,-0.00181041,-0.17369355
180,30020,30091,-1,0.00256331,-0.17113024
181,30092,30163,-1,-0.00104926,-0.1721795
182,30164,30235,-1,0.00256306,-0.16961644
183,30273,30344,-1,-0.00124334,-0.17085978
184,30345,30416,1,-0.00600083,-0.17686061
185,30417,30488,1,0.00584457,-0.17101604
186,30489,30560,-1,0.00257224,-0.1684438
187,30561,30632,1,0.00757776,-0.16086605
188,30633,30704,-1,0.00028331,-0.16058274
189,30705,30776,-1,-0.0078348,-0.16841754
190,30777,30848,-1,-0.00463158,-0.17304912
191,30849,30920,-1,-0.00023744,-0.17328656
192,30921,30992,-1,-0.00046581,-0.17375237
193,30993,31064,-1,0.00048235,-0.17327003
194,31070,31141,1,-0.00577982,-0.17904984
195,31150,31221,-1,0.00679727,-0.17225257
196,31238,31309,-1,0.00015764,-0.17209493
197,31310,31381,1,-0.0047159,-0.17681083
198,31382,31453,-1,0.00030344,-0.1765074
199,31458,31529,1,-0.00049668,-0.17700407
