fold,entry_bar,exit_bar,direction,confidence,realized_return,source
1,16853,16924,1,0.794529,0.0024614,model
1,16929,17000,1,0.681792,-0.00048136,model
1,17004,17075,1,0.732611,0.00190267,model
1,17076,17147,1,0.655405,0.00063356,model
1,17153,17224,-1,0.323615,-0.00491106,model
1,17229,17300,-1,0.349401,-0.01009381,model
1,17301,17372,-1,0.329316,0.00087611,model
1,17396,17467,1,0.672586,0.0001695,model
1,17471,17542,-1,0.288641,0.00456244,model
1,17543,17614,-1,0.287761,-0.01460707,model
1,17615,17686,-1,0.145173,-0.00083226,model
1,17687,17758,-1,0.131352,-0.0016858,model
1,17759,17830,-1,0.272608,0.00456532,model
1,17831,17902,1,0.852886,-0.00091335,model
1,17903,17974,1,0.810109,-0.00267731,model
1,17976,18047,1,0.700416,0.00318758,model
1,18070,18141,-1,0.316732,0.00244838,model
1,18144,18215,1,0.718943,0.00183138,model
1,18216,18287,-1,0.32598,0.00200172,model
1,18288,18359,-1,0.296647,0.00414504,model
1,18362,18433,-1,0.306203,0.00308789,model
1,18443,18514,1,0.666808,-0.00352834,model
1,18520,18591,-1,0.314769,0.00114704,model
1,18595,18666,-1,0.336564,0.00073998,model
1,18668,18739,1,0.671706,0.00089769,model
1,18764,18835,1,0.716484,0.00671166,model
1,18872,18943,-1,0.336853,0.00018125,model
1,18944,19015,-1,0.293761,0.00354184,model
1,19016,19087,1,0.818462,-0.00404471,model
1,19088,19159,1,0.699716,0.0005678,model
1,19162,19233,-1,0.334963,7.914e-05,model
1,19235,19306,-1,0.296141,0.00545622,model
1,19307,19378,1,0.69085,-0.00463334,model
1,19379,19450,1,0.66865,0.00307115,model
1,19456,19527,1,0.689234,-0.00115771,model
1,19541,19612,-1,0.278998,-0.00057822,model
1,19704,19775,-1,0.284378,-0.00434209,model
1,19776,19847,-1,0.095502,0.00232395,model
1,19848,19919,-1,0.282731,-0.00128208,model
1,19937,20008,-1,0.313309,0.00541286,model
1,20016,20087,1,0.728421,-0.00136501,model
1,20088,20159,1,0.791871,0.00559752,model
1,20198,20269,-1,0.264443,-0.00080855,model
1,20277,20348,-1,0.342345,0.0003159,model
1,20370,20441,-1,0.315154,0.00480536,model
1,20442,20513,1,0.669063,-0.00413913,model
1,20540,20611,-1,0.306175,-0.00050042,model
1,20623,20694,-1,0.341098,-0.00083052,model
1,20695,20766,-1,0.182242,-0.00101382,model
1,20767,20838,-1,0.200208,-0.00397856,model
1,20839,20910,-1,0.334553,0.00269283,model
1,20911,20982,1,0.661054,0.0017317,model
1,20988,21059,-1,0.325439,0.01207808,model
1,21065,21136,1,0.681643,-0.00029063,model
1,21137,21208,1,0.670406,0.00115232,model
1,21231,21302,-1,0.309379,0.0006585,model
1,21303,21374,-1,0.323053,-0.00504333,model
1,21381,21452,-1,0.346021,0.00170194,model
1,21453,21524,1,0.707901,8.305e-05,model
1,21526,21597,1,0.711286,-0.00978752,model
1,21598,21669,1,0.833927,0.00201229,model
1,21674,21745,-1,0.317242,-0.00060939,model
1,21746,21817,-1,0.289783,-0.00273537,model
1,21821,21892,-1,0.270075,-0.01268214,model
1,21896,21967,1,0.694457,-0.0002542,model
1,21968,22039,-1,0.310054,0.00067513,model
1,22040,22111,-1,0.311602,-0.00938869,model
1,22112,22183,-1,0.320154,0.00063757,model
1,22184,22255,-1,0.280876,0.00073127,model
1,22257,22328,1,0.652335,-0.00421998,model
1,22359,22430,-1,0.303996,0.00270067,model
1,22431,22502,1,0.665024,-0.0003154,model
1,22503,22574,1,0.738078,0.0007062,model
1,22585,22656,-1,0.327001,0.01881771,model
1,22661,22732,1,0.687027,0.00347696,model
1,22742,22813,1,0.710465,-0.00172068,model
1,22823,22894,-1,0.318551,0.00755214,model
1,22909,22980,-1,0.283837,-0.00036067,model
1,22981,23052,-1,0.29057,-0.00437704,model
1,23054,23125,-1,0.241355,0.00083347,model
1,23126,23197,-1,0.237657,-0.00567775,model
1,23198,23269,-1,0.226825,0.00110075,model
1,23270,23341,-1,0.297209,0.00015525,model
1,23343,23414,-1,0.261581,-0.00174032,model
1,23419,23490,-1,0.301151,0.00186813,model
1,23491,23562,-1,0.331266,-0.00075186,model
1,23563,23634,1,0.689008,-0.00112799,model
1,23638,23709,-1,0.311305,0.00180826,model
1,23723,23794,-1,0.274439,-0.0012372,model
1,23800,23871,-1,0.315428,0.00417892,model
1,23890,23961,1,0.746033,-0.0022136,model
1,23968,24039,-1,0.34736,0.0032329,model
1,24044,24115,-1,0.324875,0.00042994,model
1,24116,24187,-1,0.32085,-0.00252924,model
1,24192,24263,-1,0.347824,0.00061204,model
1,24270,24341,-1,0.284872,-7.189e-05,model
1,24343,24414,1,0.683765,-0.00401951,model
1,24425,24496,-1,0.283744,-0.00304996,model
1,24498,24569,-1,0.323543,0.00524553,model
1,24575,24646,1,0.698619,0.00021113,model
1,24649,24720,-1,0.307317,-0.00436279,model
1,24721,24792,-1,0.27126,-0.00331338,model
1,24793,24864,-1,0.248632,0.00050997,model
1,24865,24936,-1,0.315614,-0.00038889,model
1,24944,25015,-1,0.332653,-0.0028985,model
1,25016,25087,-1,0.251264,-0.01740475,model
1,25088,25159,-1,0.048469,0.00389899,model
1,25178,25249,-1,0.343264,-0.00087846,model
1,25250,25321,-1,0.276811,-0.00819206,model
1,25322,25393,-1,0.24605,0.00252778,model
1,25401,25472,-1,0.322887,0.00149181,model
1,25474,25545,1,0.657085,-0.00253662,model
1,25546,25617,-1,0.292325,-0.00498055,model
1,25618,25689,-1,0.30043,0.00011983,model
1,25692,25763,-1,0.34176,-0.00507857,model
1,25764,25835,-1,0.341388,0.00140521,model
1,25836,25907,-1,0.345787,0.00185724,model
1,25914,25985,1,0.691679,-0.00209625,model
1,25986,26057,1,0.675168,-0.00260866,model
1,26058,26129,-1,0.247953,0.00423197,model
1,26130,26201,-1,0.278086,0.00449691,model
1,26202,26273,1,0.752318,0.00016751,model
1,26276,26347,1,0.657272,-4.013e-05,model
1,26358,26429,-1,0.321604,-0.00015087,model
